"","user.self","sys.self","elapsed","user.child","sys.child"
"1",159.478,1.549,161.074,0,0
"2",160.763,1.223,162.008,0,0
"3",159.996,0.994000000000001,161.019,0,0
"4",159.205,0.794,160.032,0,0
"5",159.102,0.639,159.755,0,0
"6",164.027,0.569,164.607,0,0
"7",160.899,0.597,161.505,0,0
"8",161.048,0.666,161.727,0,0
"9",162.616,0.706,163.327,0,0
"10",158.039,0.653,158.698,0,0
"11",159.568,0.613,160.187,0,0
"12",153.542,0.49,154.042,0,0
"13",165.818,0.794,166.62,0,0
"14",160.697,0.584,161.286,0,0
"15",160.686,0.642999999999999,161.334,0,0
"16",162.854,0.701000000000001,163.559,0,0
"17",159.497,0.647,160.148,0,0
"18",157.693,0.725999999999999,158.424,0,0
"19",163.867,0.66,164.531,0,0
"20",160.845,0.585000000000001,161.434,0,0
