array	sample	call status	purity	ploidy	Genome doublings	delta	Coverage for 80% power	Cancer DNA fraction	Subclonal genome fraction	tau	E_CR
KMRC3_KIDNEY	KMRC3_KIDNEY	called	1	1.99	0	0.5	8	1	0.01	1.80398841539786	1.10364077229585
KM12_LARGE_INTESTINE	KM12_LARGE_INTESTINE	called	1	2	0	0.5	8	1	0.03	1.87761057926434	1.05739430632339
SKMEL24_SKIN	SKMEL24_SKIN	called	1	1.94	0	0.52	7	1	0.03	1.95423732063594	0.993193354614617
PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.01	0	0.5	8	1	0	1.87761057926434	1.06978282264319
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.99	2.12	0	0.47	8	0.99	0	2.07497615934942	1.02771162941195
RT112_URINARY_TRACT	RT112_URINARY_TRACT	called	1	2.04	0	0.49	8	1	0.12	1.93479233440203	1.06827955374756
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	high non-clonal	1	3.35	1	0.3	14	1	0.08	3.32011692273655	1.00643138091085
CAL12T_LUNG	CAL12T_LUNG	high non-clonal	1	2.54	1	0.39	10	1	0.09	2.43512965128987	1.0357914116715
HT1080_SOFT_TISSUE	HT1080_SOFT_TISSUE	called	0.98	2.04	0	0.48	8	0.98	0	2.09551069608688	0.975990902219799
KPNRTBM1_AUTONOMIC_GANGLIA	KPNRTBM1_AUTONOMIC_GANGLIA	called	1	1.99	0	0.5	8	1	0	1.95423732063594	1.02103346038732
JHUEM2_ENDOMETRIUM	JHUEM2_ENDOMETRIUM	called	0.93	2.18	0	0.43	9	0.93	0.01	2.11156484890514	1.02930017763772
CL11_LARGE_INTESTINE	CL11_LARGE_INTESTINE	called	1	2.02	0	0.5	8	1	0.02	1.85892804184634	1.0851443265763
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.99	0	0.5	8	1	0	1.82211880039051	1.09454889817832
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.96	0	0.51	8	1	0.01	1.78603843075007	1.09424074379046
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.06	0	0.48	8	1	0.03	1.99371553324308	1.03415726481443
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.07	0	0.48	8	1	0	2.03399125864675	1.02165837269616
SNUC1_LARGE_INTESTINE	SNUC1_LARGE_INTESTINE	high non-clonal	0.98	3.32	1	0.3	14	0.99	0.14	3.59645869019528	0.927742766630601
MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.99	0	0.5	8	1	0	1.9155408290139	1.03678887471939
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.08	0	0.48	8	1	0	1.93479233440203	1.07658832191093
SNU1_STOMACH	SNU1_STOMACH	called	1	2.01	0	0.5	8	1	0.01	1.93479233440203	1.04113122166509
