array	sample	call status	purity	ploidy	Genome doublings	delta	Coverage for 80% power	Cancer DNA fraction	Subclonal genome fraction	tau	E_CR
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.98	2.03	0	0.48	8	0.98	0	1.93440017758584	1.04678761731391
T173_BONE	T173_BONE	called	0.95	2	0	0.48	8	0.95	0	1.93229169571441	1.03489042647333
DM3_PLEURA	DM3_PLEURA	called	0.95	2	0	0.48	8	0.95	0	1.95171155011169	1.02514871198101
KMRC3_KIDNEY	KMRC3_KIDNEY	called	1	1.99	0	0.5	8	1	0.01	1.80398841539786	1.10364077229585
JHUEM7_ENDOMETRIUM	JHUEM7_ENDOMETRIUM	called	0.99	2	0	0.49	8	0.99	0	1.99361518039577	0.999102339013402
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.99	2.12	0	0.47	8	0.99	0	2.07497615934942	1.02771162941195
M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.99	2.02	0	0.49	8	0.99	0	1.99361518039577	1.01018294160328
HRT18_LARGE_INTESTINE	HRT18_LARGE_INTESTINE	called	0.98	2.03	0	0.48	8	0.98	0	2.07466001628042	0.98252065555854
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.99	2.19	0	0.45	9	0.99	0	2.29320330701328	0.95385606372563
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.99	2.07	0	0.48	8	0.99	0	1.95413895490814	1.05811320746653
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.01	0	0.5	8	1	0	1.99371553324308	1.00006336873219
COV434_OVARY	COV434_OVARY	called	1	2	0	0.5	8	1	0	2.13827622049682	0.932076153213885
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2	0	0.5	8	1	0	1.99371553324308	1.00582080149334
SNU407_LARGE_INTESTINE	SNU407_LARGE_INTESTINE	called	0.99	2.08	0	0.47	8	0.99	0	2.09583001644655	1.00018429024633
SKMEL24_SKIN	SKMEL24_SKIN	called	1	1.94	0	0.52	7	1	0.03	1.95423732063594	0.993193354614617
MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.99	0	0.5	8	1	0	1.9155408290139	1.03678887471939
769P_KIDNEY	769P_KIDNEY	called	1	1.99	0	0.5	8	1	0	2.03399125864675	0.980608569767984
HLFA_LUNG	HLFA_LUNG	called	0.98	2	0	0.49	8	0.98	0	1.87723001243362	1.06304243525821
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2	0	0.5	8	1	0	1.93479233440203	1.03737710658445
KM12_LARGE_INTESTINE	KM12_LARGE_INTESTINE	called	1	2	0	0.5	8	1	0.03	1.87761057926434	1.05739430632339
TOV21G_OVARY	TOV21G_OVARY	called	0.97	2.05	0	0.47	8	0.97	0	2.09497326617137	0.978972554256782
