#hypeR	v1.3.1
#Signature Head	ALG9,ALKBH6,AMH,ANKRD23,ARL5B,ATL2
#Signature Size	106
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_E2F_TARGETS	3e-04	0.015	106	200	6	23467	CKS2,HELLS,ILF3,LIG1,RFC3,SMC4
HALLMARK_DNA_REPAIR	0.0048	0.12	106	150	4	23467	LIG1,POLB,RFC3,TAF1C
HALLMARK_G2M_CHECKPOINT	0.013	0.22	106	200	4	23467	CKS2,ILF3,KPNB1,SMC4
HALLMARK_APICAL_JUNCTION	0.062	0.62	106	200	3	23467	AMH,CLDN15,WNK4
HALLMARK_MYC_TARGETS_V1	0.062	0.62	106	200	3	23467	HNRNPA1,HNRNPA2B1,KPNB1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.23	1	106	200	2	23467	KDM4B,MYBL1
HALLMARK_MITOTIC_SPINDLE	0.23	1	106	199	2	23467	CYTH2,SMC4
HALLMARK_ANDROGEN_RESPONSE	0.36	1	106	100	1	23467	CENPN
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.4	1	106	113	1	23467	FUS
HALLMARK_SPERMATOGENESIS	0.46	1	106	135	1	23467	YBX2
HALLMARK_COAGULATION	0.47	1	106	138	1	23467	CASP9
HALLMARK_UV_RESPONSE_UP	0.51	1	106	158	1	23467	GGH
HALLMARK_APOPTOSIS	0.52	1	106	161	1	23467	CASP9
HALLMARK_ADIPOGENESIS	0.6	1	106	200	1	23467	ATL2
HALLMARK_COMPLEMENT	0.6	1	106	200	1	23467	CASP9
HALLMARK_GLYCOLYSIS	0.6	1	106	200	1	23467	DPYSL4
HALLMARK_HEME_METABOLISM	0.6	1	106	200	1	23467	SLC30A10
HALLMARK_HYPOXIA	0.6	1	106	200	1	23467	DPYSL4
HALLMARK_IL2_STAT5_SIGNALING	0.6	1	106	200	1	23467	GPR83
HALLMARK_KRAS_SIGNALING_DN	0.6	1	106	200	1	23467	YBX2
HALLMARK_MYOGENESIS	0.6	1	106	200	1	23467	ATP2A1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.6	1	106	200	1	23467	TIMM8B
HALLMARK_XENOBIOTIC_METABOLISM	0.6	1	106	200	1	23467	TTPA
HALLMARK_ALLOGRAFT_REJECTION	1	1	106	200	0	23467	
HALLMARK_ANGIOGENESIS	1	1	106	36	0	23467	
HALLMARK_APICAL_SURFACE	1	1	106	44	0	23467	
HALLMARK_BILE_ACID_METABOLISM	1	1	106	112	0	23467	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1	1	106	74	0	23467	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	106	200	0	23467	
HALLMARK_ESTROGEN_RESPONSE_LATE	1	1	106	200	0	23467	
HALLMARK_FATTY_ACID_METABOLISM	1	1	106	158	0	23467	
HALLMARK_HEDGEHOG_SIGNALING	1	1	106	36	0	23467	
HALLMARK_IL6_JAK_STAT3_SIGNALING	1	1	106	87	0	23467	
HALLMARK_INFLAMMATORY_RESPONSE	1	1	106	200	0	23467	
HALLMARK_INTERFERON_ALPHA_RESPONSE	1	1	106	97	0	23467	
HALLMARK_INTERFERON_GAMMA_RESPONSE	1	1	106	200	0	23467	
HALLMARK_KRAS_SIGNALING_UP	1	1	106	200	0	23467	
HALLMARK_MTORC1_SIGNALING	1	1	106	200	0	23467	
HALLMARK_MYC_TARGETS_V2	1	1	106	58	0	23467	
HALLMARK_NOTCH_SIGNALING	1	1	106	32	0	23467	
HALLMARK_P53_PATHWAY	1	1	106	200	0	23467	
HALLMARK_PANCREAS_BETA_CELLS	1	1	106	40	0	23467	
HALLMARK_PEROXISOME	1	1	106	104	0	23467	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1	1	106	105	0	23467	
HALLMARK_PROTEIN_SECRETION	1	1	106	96	0	23467	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1	1	106	49	0	23467	
HALLMARK_TGF_BETA_SIGNALING	1	1	106	54	0	23467	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1	1	106	200	0	23467	
HALLMARK_UV_RESPONSE_DN	1	1	106	144	0	23467	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1	1	106	42	0	23467	
