#hypeR	v1.3.1
#Signature Head	A2M,A4GALT,AADACL4,AARSD1,AASDH,AASS
#Signature Size	3012
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.8e-64	9.2e-63	3012	200	128	23467	ADAR,ARL4A,B2M,BATF2,BST2,BTG1,C1R,C1S,CASP1,CASP4,CASP8,CCL5,CD274,CD40,CD69,CD74,CD86,CDKN1A,CFB,CFH,CIITA,CMKLR1,DDX58,DDX60,DHX58,EPSTI1,FAS,FCGR1A,FGL2,FPR1,GPR18,GZMA,HERC6,HIF1A,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-DRB1,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IFITM2,IFITM3,IL10RA,IL15,IL15RA,IL18BP,IL2RB,IL4R,IL7,IRF1,IRF4,IRF7,IRF8,IRF9,ISG20,ITGB7,JAK2,KLRK1,LAP3,LATS2,LCP2,LGALS3BP,LY6E,LYSMD2,MVP,MX1,NAMPT,NFKB1,NLRC5,NMI,NOD1,OAS2,OASL,OGFR,PARP12,PARP14,PDE4B,PFKP,PLA2G4A,PML,PNP,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTPN1,PTPN2,PTPN6,RBCK1,RIPK1,RNF31,RTP4,SAMD9L,SECTM1,SERPING1,SLAMF7,SLC25A28,SOCS1,SOCS3,SOD2,SP110,ST8SIA4,STAT1,STAT2,STAT3,STAT4,TAP1,TAPBP,TNFSF10,TRIM14,TRIM21,TXNIP,UBE2L6,VAMP5,WARS,XAF1,ZBP1,ZNFX1
HALLMARK_ALLOGRAFT_REJECTION	5.7e-56	1.4e-54	3012	200	120	23467	ACHE,B2M,BCL10,C2,CCL22,CCL4,CCL5,CCND2,CCND3,CCR1,CCR2,CCR5,CD1D,CD2,CD247,CD28,CD3D,CD3E,CD3G,CD4,CD40,CD40LG,CD47,CD7,CD74,CD79A,CD86,CD8A,CD8B,CFP,CRTAM,CSF1,CTSS,CXCR3,DEGS1,EIF3D,ELANE,ETS1,FAS,FASLG,FCGR2B,FGR,FLNA,GCNT1,GPR65,GZMA,GZMB,HCLS1,HIF1A,HLA-A,HLA-DMA,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DRA,HLA-E,IFNG,IFNGR1,IFNGR2,IGSF6,IKBKB,IL12RB1,IL15,IL16,IL18,IL18RAP,IL2RA,IL2RB,IL2RG,IL4R,IL7,INHBB,IRF4,IRF7,IRF8,ITGAL,ITGB2,ITK,JAK2,KLRD1,LCK,LCP2,LTB,LY86,LYN,MAP4K1,NCF4,NCK1,NLRP3,NOS2,PF4,PRF1,PRKCB,PSMB10,PTPN6,PTPRC,RPS3A,RPS9,SIT1,SOCS1,SPI1,SRGN,ST8SIA4,STAB1,STAT1,STAT4,TAP1,TAP2,TAPBP,TGFB1,TGFB2,TIMP1,TLR1,TLR2,TLR3,TLR6,TRAT1,WARS,WAS,ZAP70
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.2e-42	3.6e-41	3012	97	71	23467	ADAR,B2M,BATF2,BST2,C1S,CASP1,CASP8,CCRL2,CD47,CD74,CNP,CSF1,DDX60,DHX58,EPSTI1,GMPR,HERC6,HLA-C,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFITM1,IFITM2,IFITM3,IL15,IL4R,IL7,IRF1,IRF7,IRF9,ISG20,LAMP3,LAP3,LGALS3BP,LPAR6,LY6E,MOV10,MX1,NCOA7,NMI,NUB1,OASL,OGFR,PARP12,PARP14,PARP9,PROCR,PSMB8,PSMB9,PSME1,PSME2,RNF31,RTP4,SAMD9,SAMD9L,SLC25A28,SP110,STAT2,TAP1,TMEM140,TRIM14,TRIM21,TXNIP,UBA7,UBE2L6,WARS
HALLMARK_INFLAMMATORY_RESPONSE	5e-30	6.2e-29	3012	200	91	23467	ADM,ADORA2B,AXL,BEST1,BST2,C3AR1,CALCRL,CCL20,CCL22,CCL5,CCRL2,CD14,CD40,CD48,CD69,CD82,CDKN1A,CHST2,CMKLR1,CSF1,CSF3R,CX3CL1,CXCL6,CXCR6,CYBB,EBI3,EDN1,EMP3,F3,FPR1,GABBR1,GPR132,GPR183,HIF1A,HRH1,IFITM1,IFNAR1,IFNGR2,IL10RA,IL15,IL15RA,IL18,IL18RAP,IL2RB,IL4R,IL7R,IRF1,IRF7,KCNA3,KCNJ2,LAMP3,LCK,LCP2,LPAR1,LTA,LY6E,LYN,MEFV,MMP14,MYC,NAMPT,NFKB1,NLRP3,NMI,NMUR1,OSMR,PCDH7,PDE4B,PDPN,PIK3R5,PTAFR,PTGER2,PTGIR,RHOG,RNF144B,RTP4,SCARF1,SCN1B,SLAMF1,SLC7A1,STAB1,TACR1,TAPBP,TIMP1,TLR1,TLR2,TLR3,TNFRSF9,TNFSF10,TNFSF9,TPBG
HALLMARK_TNFA_SIGNALING_VIA_NFKB	7e-25	7e-24	3012	200	84	23467	BCL2A1,BIRC2,BIRC3,BMP2,BTG1,CCL20,CCL4,CCL5,CCND1,CCRL2,CD44,CD69,CDKN1A,CEBPB,CFLAR,CSF1,CXCL1,CXCL6,DDX58,DNAJB4,DRAM1,DUSP1,EDN1,EIF1,ETS2,F3,FOS,GADD45A,GADD45B,GPR183,ID2,IFIH1,IFIT2,IFNGR2,IL15RA,IL18,IL7R,IRF1,IRS2,JAG1,JUNB,KLF2,KYNU,LAMB3,LITAF,MAP2K3,MCL1,MSC,MYC,NAMPT,NFAT5,NFE2L2,NFKB1,NFKB2,NFKBIE,NINJ1,PDE4B,PDLIM5,PFKFB3,PLAU,PLEK,PLK2,PMEPA1,PNRC1,RELB,RNF19B,SAT1,SERPINB2,SERPINB8,SGK1,SMAD3,SOCS3,SOD2,SPSB1,TANK,TAP1,TLR2,TNFAIP8,TNFRSF9,TNFSF9,TNIP1,TRAF1,TSC22D1,ZC3H12A
HALLMARK_COMPLEMENT	3.9e-22	3.2e-21	3012	200	80	23467	ANXA5,ATOX1,C1QA,C1QC,C1R,C1S,C2,C3,CALM1,CASP1,CASP10,CASP4,CASP5,CCL5,CD40LG,CD59,CEBPB,CFB,CFH,CLU,CP,CR1,CSRP1,CTSB,CTSC,CTSD,CTSO,CTSS,CXCL1,DGKG,DOCK10,ERAP2,F10,F3,FCER1G,FCN1,GNAI2,GNB4,GNG2,GNGT2,GZMA,GZMB,GZMK,IRF1,IRF7,ITGAM,JAK2,KYNU,L3MBTL4,LAP3,LCK,LCP2,LGMN,LIPA,LRP1,LYN,MMP12,MMP13,MMP14,NOTCH4,PDP1,PFN1,PIK3CG,PIK3R5,PLA2G4A,PLEK,PRCP,PRSS36,PSMB9,RHOG,SERPINB2,SERPING1,SH2B3,SPOCK2,TFPI2,TIMP1,USP15,WAS,XPNPEP1,ZEB1
HALLMARK_P53_PATHWAY	8.1e-21	5.8e-20	3012	200	78	23467	ABAT,ABCC5,ALOX15B,APP,BAK1,BLCAP,BMP2,BTG1,CASP1,CCND2,CCND3,CD81,CD82,CDKN1A,CLCA2,CTSD,DDB2,DDIT4,DEF6,DGKA,DRAM1,EPHA2,ERCC5,FAS,FGF13,FOS,GADD45A,GM2A,HINT1,IFI30,INHBB,ISCU,ITGB4,JAG2,KRT17,LDHB,LRMP,MXD4,NINJ1,NOTCH1,OSGIN1,PDGFA,PHLDA3,PITPNC1,PLK2,PLK3,POLH,PRKAB1,PRMT2,PROCR,PVT1,RAP2B,RHBDF2,RNF19B,RPS12,RPS27L,S100A10,SAT1,SERPINB5,SERTAD3,SLC35D1,SLC7A11,SOCS1,STOM,TAP1,TAX1BP3,TGFB1,TM4SF1,TM7SF3,TNFSF9,TSC22D1,TXNIP,VDR,VWA5A,XPC,ZFP36L1,ZMAT3,ZNF365
HALLMARK_IL2_STAT5_SIGNALING	1.6e-19	9.7e-19	3012	200	76	23467	ABCB1,AGER,AHNAK,ARL4A,BATF3,BMP2,CAPN3,CCND2,CCND3,CCR4,CD44,CD48,CD79B,CD81,CD86,CDC42SE2,CKAP4,COL6A1,CSF1,CST7,CTLA4,DHRS3,ECM1,EMP1,ENPP1,EOMES,FAH,FGL2,FLT3LG,FURIN,GABARAPL1,GADD45B,GPR65,GSTO1,HIPK2,ICOS,IFITM3,IFNGR1,IGF1R,IL10RA,IL2RA,IL2RB,IL4R,IRF4,IRF8,ITGAV,ITIH5,LRRC8C,LTB,MAP6,MAPKAPK2,MYC,MYO1C,NT5E,P4HA1,PLEC,PNP,PRNP,PTGER2,PTH1R,RHOH,RNH1,SCN9A,SHE,SOCS1,SPP1,SWAP70,SYT11,TGM2,TNFRSF18,TNFRSF4,TNFRSF8,TNFRSF9,TNFSF10,TNFSF11,TRAF1
HALLMARK_KRAS_SIGNALING_UP	2.7e-18	1.5e-17	3012	200	74	23467	ABCB1,ALDH1A3,ANKH,ANXA10,BIRC3,BMP2,C3AR1,CCL20,CCND2,CD37,CDADC1,CFB,CFH,CLEC4A,CMKLR1,CTSS,CXCR4,DOCK2,EMP1,ENG,ETS1,ETV5,F13A1,FBXO4,FCER1G,FGF9,GLRX,GNG11,GYPC,HKDC1,HSD11B1,ID2,IKZF1,IL10RA,IL2RG,IL33,IL7R,IRF8,ITGA2,ITGB2,LAPTM5,LAT2,LY96,MALL,MAP4K1,MMP10,MTMR10,NIN,PDCD1LG2,PECAM1,PIGR,PLAU,PRDM1,PSMB8,SCN1B,SDCCAG8,SERPINA3,SLPI,SPARCL1,SPON1,SPP1,SPRY2,ST6GAL1,TFPI,TLR8,TMEM100,TMEM176A,TMEM176B,TRAF1,TRIB2,TSPAN1,TSPAN7,VWA5A,ZNF277
HALLMARK_IL6_JAK_STAT3_SIGNALING	2e-13	1e-12	3012	87	39	23467	A2M,ACVRL1,BAK1,CCR1,CD14,CD44,CSF1,CSF3R,CXCL1,EBI3,FAS,IFNAR1,IFNGR1,IFNGR2,IL10RB,IL12RB1,IL15RA,IL2RA,IL2RG,IL4R,IL7,INHBE,IRF1,IRF9,LEPR,LTB,OSMR,PF4,PIK3R5,PTPN1,PTPN2,SOCS1,SOCS3,STAT1,STAT2,STAT3,TGFB1,TLR2,TNFRSF1A
