#hypeR	v1.3.1
#Signature Head	A1BG,A2M,A4GALT,AAK1,AASDH,AASS
#Signature Size	7174
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.3e-31	1.2e-29	7174	200	141	23467	ABI3BP,ACTA2,ADAM12,ANPEP,AREG,BASP1,BGN,CALD1,CD44,CD59,CDH11,CDH6,COL12A1,COL16A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL5A3,COL6A2,COL6A3,COL7A1,COL8A2,COMP,CXCL1,CXCL12,CXCL6,DAB2,DCN,DPYSL3,DST,ECM1,ECM2,EDIL3,EFEMP2,ELN,EMP3,FAP,FAS,FBLN1,FBLN2,FBLN5,FBN1,FERMT2,FGF2,FMOD,FOXC2,FSTL1,FSTL3,FUCA1,FZD8,GADD45A,GADD45B,GAS1,GEM,GJA1,GLIPR1,GPC1,HTRA1,IGFBP3,IGFBP4,IL15,IL6,ITGA2,ITGAV,ITGB3,ITGB5,JUN,LAMA1,LAMA2,LAMA3,LAMC1,LAMC2,LOXL1,LRP1,LRRC15,LUM,MAGEE1,MATN2,MATN3,MFAP5,MGP,MMP2,MMP3,MSX1,MXRA5,MYL9,MYLK,NID2,NNMT,NOTCH2,NTM,OXTR,PCOLCE,PCOLCE2,PDGFRB,PDLIM4,PMEPA1,PMP22,POSTN,PRRX1,PTHLH,PTX3,QSOX1,RGS4,RHOB,SCG2,SDC4,SERPINE1,SERPINE2,SFRP1,SFRP4,SGCB,SGCD,SGCG,SLIT2,SLIT3,SNAI2,SPARC,SPOCK1,TAGLN,TFPI2,TGFB1,TGFBR3,TGM2,THBS2,THY1,TIMP1,TIMP3,TNC,TNFAIP3,TNFRSF11B,TPM1,TPM2,VCAM1,VCAN,VEGFC,VIM,WIPF1,WNT5A
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.4e-22	3.6e-21	7174	200	128	23467	ABCA1,AREG,ATF3,B4GALT1,BCL3,BCL6,BHLHE40,BIRC3,BMP2,BTG1,BTG2,CCL2,CCL5,CCND1,CCNL1,CCRL2,CD44,CD69,CD83,CDKN1A,CEBPD,CLCF1,CSF1,CXCL1,CXCL2,CXCL6,DENND5A,DNAJB4,DUSP1,DUSP4,EDN1,EGR1,EGR2,EGR3,ETS2,F2RL1,F3,FOS,FOSB,FOSL2,FUT4,G0S2,GADD45A,GADD45B,GEM,GFPT2,GPR183,HBEGF,HES1,ICAM1,IER2,IER3,IER5,IFNGR2,IL12B,IL15RA,IL18,IL1B,IL6,IL6ST,IL7R,IRF1,IRS2,JAG1,JUN,JUNB,KLF10,KLF2,KLF4,KLF6,KLF9,LAMB3,LIF,MAP3K8,MCL1,MSC,NFAT5,NFE2L2,NFKB1,NFKB2,NFKBIA,NFKBIE,NINJ1,NR4A1,NR4A2,NR4A3,PDE4B,PDLIM5,PFKFB3,PHLDA1,PLEK,PLK2,PMEPA1,PNRC1,PPP1R15A,PTGER4,PTGS2,PTPRE,PTX3,RCAN1,REL,RELA,RELB,RHOB,SDC4,SERPINB8,SERPINE1,SGK1,SIK1,SLC16A6,SLC2A3,SMAD3,SOCS3,STAT5A,TANK,TIPARP,TLR2,TNC,TNFAIP3,TNFAIP6,TNFAIP8,TNIP1,TRAF1,TRIB1,TRIP10,TSC22D1,ZC3H12A,ZFP36
HALLMARK_INFLAMMATORY_RESPONSE	1.7e-18	2.8e-17	7174	200	121	23467	ABCA1,ACVR1B,ACVR2A,AHR,APLNR,AXL,BEST1,BST2,BTG2,C3AR1,CALCRL,CCL17,CCL2,CCL22,CCL24,CCL5,CCR7,CCRL2,CD14,CD40,CD48,CD69,CD82,CDKN1A,CMKLR1,CSF1,CSF3,CX3CL1,CXCL6,CXCR6,CYBB,EBI3,EDN1,EMP3,F3,FPR1,GABBR1,GNA15,GP1BA,GPC3,GPR132,GPR183,HAS2,HBEGF,HPN,HRH1,ICAM1,ICAM4,IFNAR1,IFNGR2,IL10RA,IL12B,IL15,IL15RA,IL18,IL18R1,IL18RAP,IL1B,IL1R1,IL2RB,IL4R,IL6,IL7R,IRAK2,IRF1,ITGB3,ITGB8,KCNA3,KCNJ2,KLF6,LCK,LCP2,LIF,LPAR1,LTA,MET,NDP,NFKB1,NFKBIA,NLRP3,NMUR1,NPFFR2,OSMR,P2RX4,P2RX7,P2RY2,PCDH7,PDE4B,PDPN,PIK3R5,PTAFR,PTGER2,PTGER4,PTGIR,PTPRE,RELA,RGS1,RNF144B,SCARF1,SCN1B,SELE,SELL,SERPINE1,SLAMF1,SLC1A2,SLC31A2,SLC4A4,SLC7A2,SRI,STAB1,TACR1,TAPBP,TIMP1,TLR1,TLR2,TLR3,TNFAIP6,TNFRSF1B,TNFSF10,TPBG,VIP
HALLMARK_ESTROGEN_RESPONSE_EARLY	2e-17	2.5e-16	7174	200	119	23467	ABAT,ABCA3,ABHD2,ABLIM1,ADCY1,ADCY9,ADD3,AFF1,AMFR,ANXA9,AR,AREG,ASB13,B4GALT1,BAG1,BCL11B,BCL2,BHLHE40,CA12,CALCR,CANT1,CBFA2T3,CCND1,CD44,CELSR1,CELSR2,CHPT1,CISH,CXCL12,CYP26B1,DLC1,EGR3,ELF1,ELOVL2,ELOVL5,FAM102A,FHL2,FOS,FRK,GAB2,GFRA1,GJA1,GLA,GREB1,HES1,IGF1R,IGFBP4,IL6ST,JAK2,KCNK15,KDM4B,KLF10,KLF4,KRT15,KRT18,LRIG1,MAPT,MAST4,MED13L,MLPH,MPPED2,MREG,MUC1,MYB,MYOF,NADSYN1,NAV2,NBL1,NCOR2,NPY1R,NRIP1,OLFM1,OLFML3,OVOL2,P2RY2,PDZK1,PEX11A,PGR,PMAIP1,PODXL,PRSS23,RAB17,RAB31,RARA,RBBP8,REEP1,RET,RHOD,RPS6KA2,SCNN1A,SEC14L2,SEMA3B,SH3BP5,SIAH2,SLC19A2,SLC1A1,SLC1A4,SLC22A5,SLC27A2,SLC39A6,SLC7A2,STC2,SVIL,SYBU,TFF1,TFF3,TGM2,THSD4,TIPARP,TJP3,TMEM164,TMPRSS3,TOB1,TPBG,TTC39A,UGCG,WFS1,XBP1,ZNF185
HALLMARK_MYOGENESIS	2.3e-16	2.3e-15	7174	200	117	23467	ABLIM1,ACHE,ADAM12,ADCY9,AEBP1,AGRN,ANKRD2,APLNR,APOD,BAG1,BHLHE40,BIN1,CACNG1,CASQ1,CASQ2,CD36,CDH13,CDKN1A,CFD,CKMT2,CLU,CNN3,COL15A1,COL1A1,COL3A1,COL6A2,COL6A3,COX7A1,CRAT,CTF1,DES,DMD,DMPK,EIF4A2,ERBB3,FGF2,FHL1,FKBP1B,FLII,FOXO4,FST,FXYD1,GAA,GADD45B,GJA5,GNAO1,GPX3,GSN,HBEGF,HRC,HSPB2,IGF1,IGFBP3,IGFBP7,ITGA7,ITGB4,ITGB5,KCNH1,KIFC3,LAMA2,LDB3,LSP1,MEF2A,MEF2C,MEF2D,MRAS,MYH1,MYH11,MYH2,MYH3,MYH4,MYH8,MYL2,MYL3,MYL7,MYLK,MYO1C,MYOM1,MYOM2,MYOZ1,NAV2,NCAM1,PDE4DIP,PDLIM7,PKIA,PLXNB2,PPP1R3C,PSEN2,PTGIS,PYGM,RB1,REEP1,RIT1,SCHIP1,SGCA,SGCD,SGCG,SH2B1,SH3BGR,SOD3,SORBS1,SORBS3,SPARC,SPDEF,SPTAN1,SSPN,ST5,STC2,SVIL,SYNGR2,TAGLN,TGFB1,TNNI2,TNNT3,TPM2,VIPR1,WWTR1
HALLMARK_KRAS_SIGNALING_UP	7.3e-16	6.1e-15	7174	200	116	23467	ABCB1,ACE,AKAP12,ALDH1A2,ALDH1A3,ANKH,ANO1,APOD,ARG1,BIRC3,BMP2,C3AR1,CA2,CAB39L,CBR4,CCND2,CD37,CDADC1,CFB,CFH,CIDEA,CLEC4A,CMKLR1,CPE,CROT,DNMBP,DOCK2,DUSP6,EMP1,ENG,EPB41L3,ETS1,ETV1,ETV5,EVI5,F13A1,F2RL1,FBXO4,FGF9,FLT4,FUCA1,G0S2,GADD45G,GFPT2,GLRX,GNG11,GYPC,HBEGF,HSD11B1,IGF2,IGFBP3,IKZF1,IL10RA,IL1B,IL2RG,IL33,IL7R,IRF8,ITGA2,ITGB2,ITGBL1,KIF5C,KLF4,LAPTM5,LAT2,LCP1,LIF,LY96,MAFB,MALL,MAP3K1,MAP4K1,MAP7,MMP10,MTMR10,NAP1L2,NGF,NIN,NRP1,PECAM1,PIGR,PLAT,PLVAP,PPP1R15A,PRDM1,PRRX1,PTGS2,PTPRR,RABGAP1L,RBP4,RELN,SATB1,SCG5,SCN1B,SDCCAG8,SEMA3B,SERPINA3,SPARCL1,SPON1,SPRY2,ST6GAL1,TFPI,TLR8,TMEM100,TNFAIP3,TNFRSF1B,TPH1,TRAF1,TRIB1,TRIB2,TSPAN1,TSPAN13,TSPAN7,VWA5A,WNT7A,ZNF277
HALLMARK_UV_RESPONSE_DN	2.3e-15	1.7e-14	7174	144	90	23467	ACVR2A,ADD3,AKT3,AMPH,ANXA4,APBB2,ATP2B4,ATRN,ATXN1,BCKDHB,BHLHE40,CACNA1A,CAV1,CDKN1B,CDON,CELF2,CITED2,COL1A1,COL1A2,COL3A1,COL5A2,DAB2,DBP,DDAH1,DLC1,DUSP1,EFEMP1,ERBB2,F3,FBLN5,FHL2,FYN,GJA1,GRK5,HAS2,ICA1,ID1,IGF1R,INPP4B,IRS1,ITGB3,KCNMA1,KIT,LAMC1,LPAR1,MAGI2,MAP1B,MAP2K5,MET,MGLL,MIOS,MMP16,MT1E,NFKB1,NOTCH2,NR3C1,NRP1,PDGFRB,PDLIM5,PHF3,PIAS3,PIK3CD,PIK3R3,PMP22,PPARG,PRDM2,PRKAR2B,PRKCA,PRKCE,PTEN,PTGFR,PTPRM,RBPMS,RGS4,RND3,RUNX1,RXRA,SCHIP1,SERPINE1,SLC22A18,SMAD3,SNAI2,SPOP,SRI,SYNE1,TFPI,TGFBR2,TGFBR3,TJP1,WDR37
HALLMARK_ALLOGRAFT_REJECTION	6.5e-14	3.6e-13	7174	200	112	23467	ACHE,ACVR2A,APBB1,BCL10,BCL3,CCL19,CCL2,CCL22,CCL5,CCND2,CCND3,CCR2,CCR5,CD1D,CD2,CD247,CD28,CD3D,CD3E,CD3G,CD4,CD40,CD40LG,CD74,CD79A,CD8A,CD8B,CD96,CFP,CRTAM,CSF1,CXCR3,DYRK3,EGFR,ELANE,ETS1,F2R,FAS,FASLG,FGR,GBP2,GPR65,GZMA,HCLS1,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DRA,HLA-E,ICAM1,IFNAR2,IFNGR1,IFNGR2,IGSF6,IKBKB,IL12B,IL12RB1,IL15,IL16,IL18,IL18RAP,IL1B,IL2,IL27RA,IL2RB,IL2RG,IL4R,IL6,IL7,IRF4,IRF8,ITGAL,ITGB2,ITK,JAK2,KRT1,LCK,LCP2,LIF,LTB,LY75,LY86,MAP4K1,NCF4,NLRP3,PRF1,PRKCB,PTPN6,PTPRC,RPS3A,RPS9,SIT1,SOCS5,SPI1,SRGN,ST8SIA4,STAB1,STAT4,TAPBP,TGFB1,TGFB2,THY1,TIMP1,TLR1,TLR2,TLR3,TLR6,TRAT1,WAS,ZAP70
HALLMARK_IL2_STAT5_SIGNALING	6.5e-14	3.6e-13	7174	200	112	23467	ABCB1,AGER,AHNAK,AHR,AKAP2,ALCAM,AMACR,ANXA4,ARL4A,BATF,BATF3,BCL2,BCL2L1,BHLHE40,BMP2,BMPR2,CA2,CAPN3,CCND2,CCND3,CCR4,CD44,CD48,CD79B,CD81,CD83,CDC42SE2,CDKN1C,CISH,COL6A1,CSF1,CST7,DENND5A,ECM1,EMP1,ENPP1,EOMES,F2RL2,FAH,FGL2,FLT3LG,GABARAPL1,GADD45B,GATA1,GPR65,HIPK2,IFNGR1,IGF1R,IKZF2,IKZF4,IL10RA,IL18R1,IL1RL1,IL2RB,IL4R,IRF4,IRF8,ITGA6,ITGAV,ITIH5,KLF6,LIF,LRIG1,LRRC8C,LTB,MAP3K8,MAP6,MAPKAPK2,MUC1,MYO1C,NFKBIZ,NRP1,P2RX4,PENK,PHLDA1,PLAGL1,PLEC,PRKCH,PTGER2,PTH1R,RABGAP1L,RHOB,RHOH,RNH1,RORA,S100A1,SCN9A,SELL,SELP,SERPINB6,SERPINC1,SH3BGRL2,SHE,SLC2A3,SMPDL3A,SNX9,SOCS2,SPRED2,SPRY4,SWAP70,SYNGR2,SYT11,TGM2,TLR7,TNFRSF1B,TNFRSF8,TNFSF10,TNFSF11,TRAF1,TWSG1,WLS,XBP1
HALLMARK_APOPTOSIS	7.3e-13	3.6e-12	7174	161	93	23467	ADD1,ANKH,ANXA1,ATF3,AVPR1A,BCL10,BCL2L1,BCL2L11,BCL2L2,BGN,BIRC3,BMP2,BNIP3L,BTG2,CASP1,CASP4,CASP6,CASP8,CASP9,CAV1,CCND1,CCND2,CD14,CD2,CD44,CD69,CDKN1A,CDKN1B,CLU,CREBBP,CTH,CYLD,DAP,DCN,DPYD,EGR3,EMP1,ERBB2,ERBB3,F2R,FAS,FASLG,FDXR,FEZ1,GADD45A,GADD45B,GNA15,GPX1,GPX3,GSN,HGF,IER3,IFNGR1,IGFBP6,IL18,IL1B,IL6,IRF1,JUN,KRT18,LEF1,LGALS3,LMNA,LUM,MADD,MCL1,MMP2,NEDD9,NEFH,PAK1,PDCD4,PDGFRB,PEA15,PLAT,PLCB2,PMAIP1,PRF1,PSEN2,RARA,RELA,RETSAT,RHOB,RHOT2,RNASEL,SATB1,SPTAN1,TGFB2,TGFBR3,TIMP1,TIMP2,TIMP3,TNFSF10,TXNIP
