#hypeR	v1.3.1
#Signature Head	A1CF,A2ML1,AADAT,AARS,AASDHPPT,AATF
#Signature Size	2984
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_E2F_TARGETS	1e-95	5.2e-94	2984	200	153	23467	AK2,ASF1A,ASF1B,ATAD2,AURKA,AURKB,BIRC5,BRCA1,BRCA2,BRMS1L,BUB1B,CCNB2,CCNE1,CDC20,CDC25A,CDC25B,CDCA3,CDCA8,CDK1,CDK4,CDKN2A,CDKN2C,CDKN3,CENPE,CENPM,CHEK1,CHEK2,CIT,CKS1B,CKS2,CSE1L,DCLRE1B,DCTPP1,DEK,DEPDC1,DIAPH3,DLGAP5,DNMT1,DONSON,DSCC1,DUT,E2F8,EIF2S1,ESPL1,EXOSC8,EZH2,GINS1,GINS3,GINS4,H2AFX,H2AFZ,HELLS,HMGA1,HMGB2,HMGB3,HMMR,HNRNPD,IPO7,KIF18B,KIF22,KIF2C,KIF4A,KPNA2,LBR,LIG1,LMNB1,LYAR,MAD2L1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MELK,MKI67,MSH2,MTHFD2,MXD3,MYBL2,NASP,NCAPD2,NME1,NOLC1,NOP56,NUP107,NUP205,PA2G4,PAICS,PCNA,PHF5A,PLK1,PLK4,POLA2,POLD1,POLD2,POLD3,POLE,POP7,PPP1R8,PRDX4,PRIM2,PRKDC,PSIP1,PSMC3IP,PTTG1,RACGAP1,RAD1,RAD21,RAD51AP1,RAD51C,RAN,RANBP1,RBBP7,RFC2,RFC3,RNASEH2A,RPA1,RPA3,RRM2,SLBP,SMC1A,SMC3,SMC4,SMC6,SNRPB,SPAG5,SPC24,SPC25,SSRP1,STMN1,SUV39H1,SYNCRIP,TACC3,TBRG4,TCF19,TFRC,TIMELESS,TIPIN,TK1,TMPO,TOP2A,TRA2B,TRIP13,TUBB,TUBG1,UBE2S,UBE2T,UNG,USP1,XPO1,XRCC6,ZW10
HALLMARK_MYC_TARGETS_V1	1.3e-82	3.3e-81	2984	200	143	23467	ABCE1,ACP1,AIMP2,AP3S1,APEX1,BUB3,C1QBP,CANX,CBX3,CCNA2,CCT2,CCT3,CCT4,CCT5,CCT7,CDC20,CDC45,CDK2,CDK4,CLNS1A,COX5A,CSTF2,DDX18,DDX21,DEK,DHX15,DUT,EIF2S1,EIF2S2,EIF3B,EIF3J,EIF4A1,EPRS,ERH,EXOSC7,G3BP1,GLO1,GNL3,GOT2,H2AFZ,HDAC2,HDGF,HNRNPA2B1,HNRNPD,HNRNPR,HPRT1,HSP90AB1,HSPD1,HSPE1,IARS,IFRD1,ILF2,KARS,KPNA2,KPNB1,LDHA,LSM2,LSM7,MAD2L1,MCM2,MCM4,MCM5,MCM6,MCM7,MRPL9,NCBP1,NCBP2,NDUFAB1,NHP2,NME1,NOLC1,NOP16,NOP56,NPM1,PA2G4,PABPC4,PCNA,PGK1,PHB,POLD2,POLE3,PPIA,PPM1G,PRDX4,PRPS2,PSMA1,PSMA2,PSMA4,PSMA6,PSMA7,PSMB2,PSMB3,PSMC4,PSMC6,PSMD1,PSMD14,PSMD3,PSMD7,PSMD8,PTGES3,PWP1,RAD23B,RAN,RANBP1,RFC4,RNPS1,RRM1,RRP9,RUVBL2,SERBP1,SET,SF3B3,SMARCC1,SNRPA,SNRPA1,SNRPB2,SNRPD1,SNRPD2,SNRPD3,SNRPG,SRM,SRPK1,SSB,SSBP1,SYNCRIP,TARDBP,TCP1,TFDP1,TRA2B,TXNL4A,TYMS,U2AF1,UBA2,UBE2L3,USP1,VBP1,VDAC1,VDAC3,XPO1,XPOT,XRCC6,YWHAE,YWHAQ
HALLMARK_G2M_CHECKPOINT	1.1e-61	1.8e-60	2984	200	125	23467	AMD1,AURKA,AURKB,BIRC5,BRCA2,BUB1,BUB3,CBX1,CCNA2,CCNB2,CCNF,CDC20,CDC25A,CDC25B,CDC45,CDC6,CDC7,CDK1,CDK4,CDKN2C,CDKN3,CENPA,CENPE,CENPF,CHAF1A,CHEK1,CHMP1A,CKS1B,CKS2,DBF4,DKC1,DTYMK,E2F1,E2F2,E2F3,ESPL1,EXO1,EZH2,FANCC,FBXO5,G3BP1,GINS2,H2AFX,H2AFZ,HIF1A,HIRA,HIST1H2BK,HMGA1,HMGB3,HMGN2,HMMR,HNRNPD,HOXC10,HSPA8,INCENP,KIF11,KIF15,KIF20B,KIF22,KIF2C,KIF4A,KPNA2,KPNB1,LBR,LIG3,LMNB1,MAD2L1,MCM2,MCM3,MCM5,MCM6,MKI67,MNAT1,MYBL2,NASP,NCL,NDC80,NEK2,NOLC1,NUP50,NUSAP1,PBK,PLK1,PLK4,POLA2,POLE,POLQ,PRC1,PRIM2,PTTG1,PTTG3P,RACGAP1,RAD21,RAD23B,RAD54L,RBL1,RBM14,SAP30,SFPQ,SLC7A1,SLC7A5,SMARCC1,SMC1A,SMC2,SMC4,SNRPD1,SQLE,STIL,STMN1,SUV39H1,SYNCRIP,TACC3,TFDP1,TMPO,TOP1,TOP2A,TPX2,TRA2B,TRAIP,TROAP,TTK,UBE2C,UBE2S,UCK2,XPO1
HALLMARK_MTORC1_SIGNALING	8.2e-44	1e-42	2984	200	107	23467	ABCF2,ACLY,ACTR3,ALDOA,ARPC5L,ASNS,ATP2A2,ATP6V1D,AURKA,BUB1,CACYBP,CALR,CANX,CCNF,CCT6A,CDC25A,CYB5B,DDIT3,DHCR7,DHFR,EBP,EEF1E1,EIF2S2,ELOVL6,ENO1,EPRS,FADS1,FADS2,G6PD,GAPDH,GMPS,GOT1,GPI,GSK3B,HMBS,HMGCR,HMGCS1,HPRT1,HSP90B1,HSPA4,HSPA5,HSPA9,HSPD1,HSPE1,IDI1,IFRD1,IMMT,INSIG1,LDHA,MCM2,MCM4,ME1,MTHFD2,NUFIP1,NUP205,P4HA1,PDAP1,PDK1,PGK1,PHGDH,PITPNB,PLK1,PLOD2,PNO1,PNP,POLR3G,PPA1,PPIA,PRDX1,PSAT1,PSMA3,PSMA4,PSMB5,PSMC2,PSMC4,PSMC6,PSMD12,PSMD13,PSMD14,PSME3,PSMG1,PSPH,RAB1A,RPA1,RPN1,RRM2,RRP9,SCD,SHMT2,SLC1A5,SLC2A1,SLC37A4,SLC7A11,SLC7A5,SQLE,SRD5A1,STIP1,TFRC,TMEM97,TOMM40,TPI1,TRIB3,TUBG1,TXNRD1,UCHL5,UNG,WARS
HALLMARK_MYC_TARGETS_V2	1e-33	1e-32	2984	58	48	23467	AIMP2,BYSL,CBX3,CDK4,DCTPP1,DDX18,EXOSC5,FARSA,GNL3,HSPD1,HSPE1,IMP4,IPO4,LAS1L,MCM4,MCM5,MPHOSPH10,MRTO4,MYBBP1A,NDUFAF4,NIP7,NOC4L,NOLC1,NOP16,NOP2,NOP56,NPM1,PA2G4,PES1,PHB,PLK1,PLK4,PPAN,PPRC1,PRMT3,PUS1,RRP12,RRP9,SLC19A1,SRM,SUPV3L1,TBRG4,TCOF1,TFB2M,TMEM97,UNG,WDR43,WDR74
HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.1e-22	1.8e-21	2984	200	80	23467	ACO2,AFG3L2,AIFM1,ALAS1,ATP6V0B,ATP6V1D,ATP6V1E1,ATP6V1F,BAX,COX10,COX17,COX5A,COX5B,COX6A1,COX6B1,COX7A2,COX7A2L,COX7B,CS,CYCS,DLAT,DLD,ETFA,FH,GOT2,GPI,GRPEL1,HCCS,HSD17B10,HSPA9,IDH2,IDH3A,IDH3B,IDH3G,IMMT,LDHA,LRPPRC,MDH2,MRPL11,MRPL15,MRPS11,MRPS12,MRPS15,MRPS22,MTX2,NDUFA1,NDUFA6,NDUFA7,NDUFA8,NDUFA9,NDUFAB1,NDUFB3,NDUFB6,NDUFS1,NDUFS3,OPA1,PDHA1,PDHX,PMPCA,POLR2F,POR,SDHB,SDHC,SLC25A11,SLC25A4,SLC25A5,SUPV3L1,TIMM10,TIMM17A,TIMM50,TIMM8B,TIMM9,TOMM22,UQCR10,UQCRC1,UQCRFS1,UQCRH,VDAC1,VDAC2,VDAC3
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	2e-17	1.4e-16	2984	113	51	23467	ALDH18A1,ASNS,ATF4,BANF1,CALR,CEBPB,CEBPG,CHAC1,CKS1B,DDX10,DKC1,EIF2S1,EIF4A1,EIF4A3,EIF4EBP1,EIF4G1,EXOSC1,EXOSC10,EXOSC2,EXOSC5,EXOSC9,GEMIN4,H2AFX,HSP90B1,HSPA5,HSPA9,HYOU1,IARS,KHSRP,LSM1,LSM4,MTHFD2,NHP2,NOLC1,NOP14,NOP56,NPM1,PAIP1,PDIA6,POP4,PSAT1,RRP9,SDAD1,SLC7A5,SPCS1,SRPRB,TARS,VEGFA,XPOT,YIF1A,YWHAZ
HALLMARK_GLYCOLYSIS	2e-14	1.2e-13	2984	200	67	23467	ABCB6,ALDH7A1,ALDOA,AURKA,B4GALT2,CDK1,CENPA,CLDN3,CLDN9,DEPDC1,DLD,DSC2,EFNA3,ENO1,ENO2,FKBP4,G6PD,GALE,GALK2,GNPDA1,GOT1,GOT2,HAX1,HMMR,HOMER1,HS2ST1,HSPA5,KIF20A,LCT,LDHA,LHX9,MDH2,ME1,ME2,MIOX,NANP,NASP,NSDHL,P4HA1,P4HA2,PDK3,PGAM1,PGK1,PLOD1,PLOD2,PMM2,POLR3K,PPFIA4,PPIA,PSMC4,RARS,RPE,RRAGD,SAP30,SDC1,SDHC,SLC16A3,SLC25A10,SLC25A13,SLC37A4,SOD1,SPAG4,STMN1,TALDO1,TPI1,TXN,VEGFA
HALLMARK_DNA_REPAIR	1.3e-11	7.4e-11	2984	150	51	23467	ADRM1,APRT,ARL6IP1,BCAP31,BOLA2,CETN2,CMPK2,COX17,CSTF3,DUT,ERCC3,FEN1,GTF2A2,GTF3C5,HPRT1,LIG1,NCBP2,NME1,PCNA,PNP,POLA1,POLA2,POLD1,POLD3,POLR1C,POLR2C,POLR2D,POLR2F,POLR2G,POLR2H,POLR2J,POLR2K,PRIM1,RAD51,RAE1,RBX1,RFC2,RFC3,RFC4,RFC5,RPA3,SAC3D1,SF3A3,SSRP1,STX3,TAF12,TMED2,TYMS,UMPS,UPF3B,ZWINT
HALLMARK_UV_RESPONSE_UP	3.4e-11	1.7e-10	2984	158	52	23467	ALAS1,ALDOA,AMD1,AP2S1,ASNS,ATP6V1F,BID,BSG,CASP3,CCK,CCNE1,CDC34,CDK2,CEBPG,CHKA,CHRNA5,CNP,COL2A1,CYB5B,DDX21,DNAJA1,DNAJB1,EIF2S3,ENO2,EPCAM,FEN1,FKBP4,GAL,GCH1,GGH,GRPEL1,H2AFX,LHX2,NKX2-5,ONECUT1,PARP2,PDAP1,POLE3,POLR2H,PPAT,PPIF,PRKCD,PSMC3,RFC4,RPN1,SIGMAR1,SLC25A4,SLC6A8,STIP1,TARS,TCHH,TFRC
