#hypeR	v1.3.1
#Signature Head	ABCA10,ABCA12,ABCA3,ABCA7,ABCC8,ABCD2
#Signature Size	2421
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_INTERFERON_GAMMA_RESPONSE	4.4e-70	2.2e-68	2421	200	123	23467	ADAR,APOL6,B2M,BANK1,BST2,CASP1,CASP4,CASP7,CCL5,CCL7,CD274,CD40,CD69,CD74,CD86,CDKN1A,CFB,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,CXCL11,CXCL9,DDX58,DDX60,DHX58,EIF4E3,FAS,FCGR1A,FGL2,FPR1,GBP4,GBP6,GCH1,GPR18,GZMA,HIF1A,HLA-DMA,HLA-DQA1,HLA-DRB1,ICAM1,IDO1,IFI27,IFI30,IFI35,IFI44L,IFIH1,IFIT2,IFIT3,IL10RA,IL15,IL15RA,IL18BP,IL2RB,IL4R,IL7,IRF1,IRF4,IRF7,ISG20,ITGB7,JAK2,KLRK1,LAP3,LATS2,LCP2,LGALS3BP,LYSMD2,MARCH1,MT2A,MTHFD2,MX1,NLRC5,NMI,OAS2,OAS3,OASL,PARP12,PARP14,PDE4B,PFKP,PLA2G4A,PML,PSMB10,PSMB8,PSME1,PSME2,PTGS2,RIPK1,RSAD2,RTP4,SAMD9L,SAMHD1,SECTM1,SLAMF7,SLC25A28,SOCS1,SOCS3,SOD2,SP110,SPPL2A,ST8SIA4,STAT1,STAT2,STAT3,STAT4,TAP1,TAPBP,TNFAIP2,TNFSF10,TRAFD1,TRIM21,TRIM25,TRIM26,TXNIP,UBE2L6,UPP1,USP18,WARS,XAF1,ZBP1,ZNFX1
HALLMARK_ALLOGRAFT_REJECTION	1.2e-53	2.9e-52	2421	200	108	23467	B2M,BCAT1,CCL13,CCL19,CCL22,CCL4,CCL5,CCL7,CCR1,CCR2,CCR5,CD2,CD247,CD3D,CD3E,CD3G,CD4,CD40,CD7,CD74,CD80,CD86,CD8A,CD8B,CD96,CFP,CRTAM,CSF1,CXCL13,CXCL9,DEGS1,ETS1,FAS,FASLG,FCGR2B,FGR,GBP2,GPR65,GZMA,HCLS1,HIF1A,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DRA,HLA-E,ICAM1,IFNG,IFNGR1,IGSF6,IL10,IL12RB1,IL15,IL16,IL18,IL18RAP,IL1B,IL27RA,IL2RA,IL2RB,IL4R,IL7,IRF4,IRF7,ITGAL,ITGB2,ITK,JAK2,KLRD1,LCK,LCP2,LIF,LTB,LY86,LYN,MAP4K1,NCK1,NCR1,NLRP3,NOS2,PRF1,PRKCB,PRKCG,PSMB10,PTPRC,SOCS1,SPI1,SRGN,ST8SIA4,STAT1,STAT4,TAP1,TAP2,TAPBP,TGFB1,TIMP1,TLR1,TLR2,TLR3,TLR6,TNF,TPD52,TRAT1,WARS,WAS,ZAP70
HALLMARK_INFLAMMATORY_RESPONSE	3.8e-40	6.3e-39	2421	200	94	23467	ADM,AHR,ATP2A2,ATP2B1,BST2,C3AR1,C5AR1,CCL22,CCL5,CCL7,CCR7,CD14,CD40,CD48,CD55,CD69,CD82,CDKN1A,CLEC5A,CMKLR1,CSF1,CSF3R,CX3CL1,CXCL10,CXCL11,CXCL9,CXCR6,CYBB,EMP3,F3,FFAR2,FPR1,GCH1,GNA15,GP1BA,GPR183,HIF1A,HRH1,ICAM1,IL10,IL10RA,IL15,IL15RA,IL18,IL18R1,IL18RAP,IL1A,IL1B,IL2RB,IL4R,IRF1,IRF7,KCNA3,LAMP3,LCK,LCP2,LDLR,LIF,LTA,LYN,MARCO,MEFV,NLRP3,NMI,OSM,P2RX4,PDE4B,PIK3R5,PLAUR,PTAFR,PTGER2,RAF1,RASGRP1,RGS1,RNF144B,RTP4,SELL,SGMS2,SLAMF1,SLC1A2,SLC31A1,SLC31A2,SLC4A4,SLC7A2,SPHK1,TAPBP,TIMP1,TLR1,TLR2,TLR3,TNFRSF9,TNFSF10,TNFSF9,TPBG
HALLMARK_INTERFERON_ALPHA_RESPONSE	5.9e-35	7.4e-34	2421	97	60	23467	ADAR,B2M,BST2,CASP1,CD74,CMPK2,CSF1,CXCL10,CXCL11,DDX60,DHX58,GBP2,GBP4,GMPR,IFI27,IFI30,IFI35,IFI44L,IFIH1,IFIT2,IFIT3,IL15,IL4R,IL7,IRF1,IRF7,ISG20,LAMP3,LAP3,LGALS3BP,MOV10,MX1,NMI,NUB1,OASL,PARP12,PARP14,PARP9,PSMB8,PSME1,PSME2,RSAD2,RTP4,SAMD9,SAMD9L,SELL,SLC25A28,SP110,STAT2,TAP1,TRAFD1,TRIM21,TRIM25,TRIM26,TRIM5,TXNIP,UBA7,UBE2L6,USP18,WARS
HALLMARK_COMPLEMENT	1.3e-24	1.3e-23	2421	200	75	23467	ADAM9,APOBEC3F,APOBEC3G,C1QA,C1QC,C4BPB,CA2,CALM3,CASP1,CASP10,CASP4,CASP5,CASP7,CCL5,CD55,CFB,CP,CR1,CR2,CSRP1,CTSC,CTSD,CXCL1,DOCK10,DOCK4,DPP4,DUSP6,EHD1,F3,F5,FCER1G,FCN1,FYN,GNAI2,GNG2,GNGT2,GP1BA,GP9,GRB2,GZMA,GZMK,HSPA5,IRF1,IRF7,ITGAM,JAK2,KLK1,KYNU,LAP3,LCK,LCP2,LGMN,LYN,MAFF,ME1,MMP12,PIK3CG,PIK3R5,PLA2G4A,PLA2G7,PLAUR,PLEK,RAF1,RASGRP1,RNF4,S100A12,S100A13,S100A9,SERPINA1,SERPINB2,SH2B3,SPOCK2,TIMP1,WAS,XPNPEP1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.9e-22	1.6e-21	2421	200	72	23467	ATP2B1,B4GALT1,BCL2A1,BCL6,BIRC3,BMP2,CCL4,CCL5,CD69,CD80,CDKN1A,CSF1,CXCL1,CXCL10,CXCL11,DDX58,DRAM1,DUSP4,EHD1,F3,FOSL2,GCH1,GPR183,ICAM1,IER5,IFIH1,IFIT2,IL15RA,IL18,IL1A,IL1B,IRF1,JAG1,KLF2,KLF4,KLF9,KYNU,LDLR,LIF,LITAF,MAFF,MCL1,NFKB2,NR4A2,PDE4B,PDLIM5,PFKFB3,PHLDA1,PLAUR,PLEK,PLK2,PTGS2,RELB,RNF19B,SAT1,SERPINB2,SGK1,SOCS3,SOD2,SPHK1,STAT5A,TAP1,TIPARP,TLR2,TNF,TNFAIP2,TNFAIP8,TNFRSF9,TNFSF9,TNIP1,TUBB2A,ZFP36
HALLMARK_IL2_STAT5_SIGNALING	3.9e-17	2.8e-16	2421	200	64	23467	AHNAK,AHR,APLP1,BMP2,CA2,CD48,CD79B,CD86,CDCP1,CKAP4,CSF1,CST7,CTLA4,CXCL10,EOMES,FGL2,FLT3LG,GBP4,GLIPR2,GPR65,HK2,ICOS,IFNGR1,IKZF2,IL10,IL10RA,IL18R1,IL1R2,IL2RA,IL2RB,IL4R,IRF4,ITGA6,ITGAE,LIF,LRRC8C,LTB,MAFF,MUC1,MYO1C,MYO1E,NRP1,NT5E,P2RX4,PHLDA1,PRKCH,PTGER2,RABGAP1L,RHOH,SELL,SERPINB6,SMPDL3A,SOCS1,SOCS2,SPP1,ST3GAL4,SWAP70,TIAM1,TNFRSF18,TNFRSF21,TNFRSF8,TNFRSF9,TNFSF10,XBP1
HALLMARK_IL6_JAK_STAT3_SIGNALING	1e-15	6.3e-15	2421	87	38	23467	BAK1,CCL7,CCR1,CD14,CSF1,CSF2RB,CSF3R,CXCL1,CXCL10,CXCL11,CXCL13,CXCL9,FAS,GRB2,HMOX1,IFNGR1,IL12RB1,IL15RA,IL18R1,IL1B,IL1R2,IL2RA,IL4R,IL7,IRF1,LTB,PIK3R5,PLA2G2A,REG1A,SOCS1,SOCS3,STAT1,STAT2,STAT3,TGFB1,TLR2,TNF,TNFRSF21
HALLMARK_P53_PATHWAY	6.4e-12	3.6e-11	2421	200	55	23467	ADA,AK1,ALOX15B,BAK1,BMP2,CASP1,CD82,CDKN1A,CLCA2,CTSD,DDB2,DDIT4,DGKA,DRAM1,FAS,FDXR,GM2A,HEXIM1,HMOX1,HSPA4L,IER5,IFI30,IL1A,ITGB4,KLF4,LIF,LRMP,MDM2,MKNK2,PLK2,PLK3,POLH,PTPN14,RAD51C,RAP2B,RETSAT,RHBDF2,RNF19B,RPS27L,SAT1,SEC61A1,SLC7A11,SOCS1,SP1,SPHK1,TAP1,TCN2,TGFA,TGFB1,TM7SF3,TNFSF9,TP63,TRAFD1,TXNIP,UPP1
HALLMARK_APOPTOSIS	8.2e-11	4.1e-10	2421	161	46	23467	ANXA1,AVPR1A,BCL2L11,BIRC3,BMP2,BNIP3L,CASP1,CASP4,CASP7,CD14,CD2,CD69,CDKN1A,CYLD,DAP,DNAJC3,DPYD,ENO2,FAS,FASLG,FDXR,GCH1,GNA15,GSN,GSR,HMOX1,IFNGR1,IL18,IL1A,IL1B,IRF1,ISG20,LMNA,MCL1,NEDD9,PLCB2,PRF1,RETSAT,SAT1,SLC20A1,SOD2,TAP1,TIMP1,TNF,TNFSF10,TXNIP
