#hypeR	v1.3.1
#Signature Head	A1CF,ABAT,ABCA11P,ABCB7,ABCC10,ABCC2
#Signature Size	1916
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.8e-05	0.00092	1916	42	13	23467	AXIN1,AXIN2,CTNNB1,DVL2,HDAC11,HDAC2,HDAC5,KAT2A,NKD1,NOTCH1,PTCH1,TCF7,WNT5B
HALLMARK_BILE_ACID_METABOLISM	0.00069	0.017	1916	112	20	23467	ACSL5,AMACR,CH25H,CYP27A1,CYP39A1,HACL1,NEDD4,NR0B2,NR1I2,PEX16,PEX7,PHYH,PIPOX,PRDX5,RBP1,SERPINA6,SOAT2,SULT2B1,TFCP2L1,TTR
HALLMARK_PEROXISOME	0.0018	0.03	1916	104	18	23467	ABCC5,ACOT8,ACOX1,ACSL5,CEL,CRABP1,DHRS3,ELOVL5,FABP6,NR1I2,PEX5,PRDX5,SEMA3C,SERPINA6,SIAH1,SMARCC1,SULT2B1,TTR
HALLMARK_XENOBIOTIC_METABOLISM	0.0035	0.044	1916	200	28	23467	ABCC2,ACOX1,ACOX2,BPHL,CASP6,CES1,COMT,CYB5A,CYP27A1,CYP4F2,DDAH2,DDC,ELOVL5,ENTPD5,F10,FABP1,FAH,GCLC,HACL1,JUP,LEAP2,PEMT,PGRMC1,PMM1,RBP4,SERPINA6,SLC6A6,TMEM176B
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0067	0.067	1916	200	27	23467	ACOX2,ANXA9,AREG,CHPT1,CXCL14,DHCR7,ELOVL5,FARP1,FGFR3,GAL,HR,KCNK5,MAPK13,MEST,OPN3,PCP4,PDZK1,PLAC1,PLXNB1,PRLR,PRSS23,SCARB1,SLC22A5,SLC26A2,SLC2A8,SULT2B1,TH
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.012	0.1	1916	200	26	23467	ABAT,AKAP1,ANXA9,AREG,ASB13,BCL11B,CHPT1,DHCR7,DHRS3,ELF3,ELOVL5,FARP1,HR,KCNK5,KRT15,OPN3,PDZK1,PRSS23,RARA,REEP1,SCARB1,SLC19A2,SLC22A5,SLC26A2,SULT2B1,TMEM164
HALLMARK_MYC_TARGETS_V2	0.018	0.13	1916	58	10	23467	CDK4,EXOSC5,GNL3,LAS1L,NOC4L,PRMT3,RCL1,RRP9,TBRG4,WDR74
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.037	0.21	1916	74	11	23467	ADH4,CHKA,CTNNB1,DHCR7,EBP,HSD17B7,LPL,NSDHL,SCD,SQLE,TRIB3
HALLMARK_DNA_REPAIR	0.037	0.21	1916	150	19	23467	AK3,BCAP31,CETN2,DGUOK,GTF3C5,NCBP2,NUDT9,POLA1,POLR2C,POLR2F,POLR2J,POLR3C,RAD52,SNAPC5,TAF10,UPF3B,USP11,ZNF707,ZNRD1
HALLMARK_FATTY_ACID_METABOLISM	0.057	0.23	1916	158	19	23467	ACAA2,ACOT2,ACOT8,ACOX1,ACSL5,ADSL,APEX1,BPHL,CEL,ELOVL5,FABP1,GAPDHS,HSD17B10,HSD17B7,HSPH1,IDH3G,NSDHL,PDHA1,SLC22A5
HALLMARK_APICAL_JUNCTION	0.06	0.23	1916	200	23	23467	AMIGO1,CDK8,CLDN15,CLDN4,CLDN9,COL9A1,EXOC4,GRB7,IKBKG,ITGA9,JUP,MAP4K2,MAPK13,MAPK14,NRXN2,PDZD3,PPP2R2C,RSU1,SHROOM2,SORBS3,TGFBI,TMEM8B,VAV2
HALLMARK_KRAS_SIGNALING_DN	0.06	0.23	1916	200	23	23467	CLDN16,COL2A1,CYP39A1,FGFR3,FGGY,GPR19,GTF3C5,HNF1A,KRT15,LFNG,MSH5,NR6A1,PKP1,PLAG1,SERPINA10,SLC29A3,SLC38A3,SMPX,SPHK2,TFCP2L1,TG,THNSL2,THRB
HALLMARK_MYC_TARGETS_V1	0.06	0.23	1916	200	23	23467	APEX1,CDK4,CLNS1A,EIF3J,GNL3,HDAC2,IFRD1,LSM7,MRPL9,NCBP1,NCBP2,NHP2,PRDX4,PRPS2,PSMD7,RPL14,RPL22,RPS3,RPS6,RRP9,SMARCC1,UBA2,VBP1
HALLMARK_HYPOXIA	0.094	0.33	1916	200	22	23467	CASP6,CDKN1B,DDIT3,EFNA1,FOXO3,GAPDHS,GPC4,JUN,KLF7,KLHL24,NEDD4L,PKLR,PKP1,PLIN2,PRDX5,SCARB1,SELENBP1,SLC37A4,SLC6A6,SULT2B1,TGFBI,VEGFA
HALLMARK_UV_RESPONSE_UP	0.15	0.49	1916	158	17	23467	BID,CHKA,CLCN2,COL2A1,E2F5,EPCAM,FGF18,GAL,GGH,GLS,GRINA,NPTX2,POLG2,PPP1R2,PRKCD,PRPF3,PTPRD
