#hypeR	v1.3.1
#Signature Head	ABAT,ABCA3,ABCB8,ABCC3,ABCC6P1,ABCC8
#Signature Size	1209
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_MYOGENESIS	1.1e-08	5.6e-07	1209	200	32	23467	ACHE,ACTN2,APLNR,CAMK2B,CASQ1,CDKN1A,CHRNB1,CKB,CKMT2,CLU,DTNA,FABP3,FHL1,FXYD1,GABARAPL2,GNAO1,IFRD1,IGFBP7,MAPRE3,MEF2C,MRAS,MYOM2,PFKM,PGAM2,PRNP,PSEN2,SCHIP1,SGCA,SH3BGR,SORBS1,SYNGR2,TAGLN
HALLMARK_XENOBIOTIC_METABOLISM	4.7e-07	1.2e-05	1209	200	29	23467	ABCC3,ABCD2,ACO2,ALDH2,APOE,ARPP19,CA2,CBR1,CDO1,COMT,CYFIP2,CYP2J2,ENPEP,HMOX1,HSD11B1,NDRG2,NFS1,NINJ1,PINK1,RAP1GAP,RETSAT,SAR1B,SLC46A3,SLC6A12,TAT,TMBIM6,TMEM176B,TPST1,UPP1
HALLMARK_BILE_ACID_METABOLISM	4.3e-06	7.1e-05	1209	112	19	23467	ABCA3,ABCD2,ABCD3,BBOX1,CH25H,CYP46A1,FDXR,HSD17B6,NR3C2,OPTN,PEX11A,PEX11G,PFKM,PIPOX,PNPLA8,RETSAT,SLC23A2,SLC27A5,SLCO1A2
HALLMARK_COMPLEMENT	1.4e-05	0.00014	1209	200	26	23467	ACTN2,ANXA5,C3,CA2,CALM1,CASP10,CD59,CLU,CSRP1,DOCK4,F3,FDX1,GMFB,GNAI2,GRB2,L3MBTL4,LTF,MT3,NOTCH4,PDGFB,PPP2CB,PRSS3,RASGRP1,SCG3,SERPINB2,SPOCK2
HALLMARK_ESTROGEN_RESPONSE_LATE	1.4e-05	0.00014	1209	200	26	23467	ABCA3,ALDH3A2,AMFR,ASCL1,CA2,CD9,CDH1,CHPT1,CKB,CPE,CYP4F11,FGFR3,IL17RB,ITPK1,LTF,MAPT,MOCS2,OLFM1,PDLIM3,PLXNB1,RAB31,RET,SERPINA3,SLC24A3,SLC7A5,TSPAN13
HALLMARK_ESTROGEN_RESPONSE_EARLY	1e-04	0.00065	1209	200	24	23467	ABAT,ABCA3,AMFR,CHPT1,ELF3,IL17RB,INHBB,ITPK1,LRIG1,MAPT,OLFM1,PDLIM3,PEX11A,RAB31,RASGRP1,RET,SEC14L2,SLC24A3,SLC7A5,SYBU,SYT12,TTC39A,TUBB2B,WWC1
HALLMARK_HEME_METABOLISM	1e-04	0.00065	1209	200	24	23467	ABCG2,ALAD,ALDH1L1,ALDH6A1,C3,CA2,ERMAP,FN3K,GDE1,HAGH,HBQ1,KAT2B,LMO2,MARCH2,OPTN,PDZK1IP1,PPP2R5B,RAP1GAP,SLC11A2,SLC6A9,SLC7A11,SNCA,TAL1,TMEM9B
HALLMARK_HYPOXIA	1e-04	0.00065	1209	200	24	23467	ALDOC,BCAN,CDKN1A,CSRP2,DTNA,EFNA1,ENO2,F3,GAPDH,GPC1,HMOX1,KIF5A,LXN,NCAN,PDGFB,PFKFB3,PGAM2,PHKG1,PPARGC1A,PRKCA,SDC3,SLC2A5,SLC37A4,TPD52
HALLMARK_UV_RESPONSE_UP	0.00019	0.001	1209	158	20	23467	ACAA1,APOM,ARRB2,CA2,CCK,CDO1,CYB5R1,ENO2,HMOX1,MAPK8IP2,NTRK3,OLFM1,PDLIM3,RASGRP1,RET,RHOB,SLC25A4,SLC6A12,SOD2,TMBIM6
HALLMARK_FATTY_ACID_METABOLISM	0.00051	0.0026	1209	158	19	23467	ACAA1,ACO2,ACOT2,ALAD,ALDH3A2,CA2,CBR1,CPT2,ENO2,GCDH,GLUL,GSTZ1,HADHB,HPGD,HSDL2,LTC4S,RETSAT,SERINC1,TP53INP2
HALLMARK_KRAS_SIGNALING_UP	0.00067	0.0031	1209	200	22	23467	ACE,CA2,CAB39L,CPE,FLT4,GPRC5B,HDAC9,HSD11B1,IL33,LAPTM5,LAT2,MAP7,PECAM1,SCG3,SCG5,SCN1B,SERPINA3,TMEM176A,TMEM176B,TSPAN13,TSPAN7,WNT7A
HALLMARK_COAGULATION	0.0051	0.021	1209	138	15	23467	APOC2,C3,CD9,CLU,CRIP2,CSRP1,F3,GDA,LEFTY2,PDGFB,PECAM1,RAC1,RAPGEF3,RGN,SERPINB2
HALLMARK_INFLAMMATORY_RESPONSE	0.0076	0.029	1209	200	19	23467	APLNR,BEST1,CCRL2,CDKN1A,CLEC5A,CSF3R,F3,GABBR1,HRH1,IL18,ITGB8,NAMPT,NDP,RASGRP1,SCN1B,SLC11A2,SLC1A2,SRI,STAB1
HALLMARK_NOTCH_SIGNALING	0.023	0.081	1209	32	5	23467	DTX1,DTX4,PRKCA,PSEN2,PSENEN
HALLMARK_APICAL_JUNCTION	0.03	0.1	1209	200	17	23467	ACTN2,ADRA1B,AMIGO1,ARHGEF6,ATP1A3,CADM2,CDH1,CDH4,CDH6,CLDN5,GAMT,GNAI2,ICAM2,NLGN3,PECAM1,SDC3,TJP1
HALLMARK_PEROXISOME	0.042	0.13	1209	104	10	23467	ABCC8,ABCD2,ABCD3,ACAA1,FIS1,PEX11A,RETSAT,SLC23A2,SLC25A4,SOD2
HALLMARK_ADIPOGENESIS	0.054	0.15	1209	200	16	23467	ABCB8,ACO2,ALDH2,APOE,C3,COQ9,CPT2,DNAJC15,IDH3A,LTC4S,PFKFB3,QDPR,REEP5,RETSAT,RTN3,SORBS1
