#hypeR	v1.3.1
#Signature Head	A2M,AARS2,ABCA10,ABCA5,ABCA6,ABCA7
#Signature Size	2889
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.5e-84	7.4e-83	2889	200	143	23467	APOL6,ARID5B,B2M,BANK1,BATF2,BST2,BTG1,CASP1,CASP3,CASP4,CASP7,CASP8,CCL2,CCL5,CD274,CD40,CD69,CD74,CD86,CDKN1A,CFB,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,CXCL11,CXCL9,DDX58,DHX58,EIF4E3,EPSTI1,FAS,FCGR1A,FGL2,FPR1,GBP4,GBP6,GCH1,GPR18,GZMA,HERC6,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-DRB1,ICAM1,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFNAR2,IL10RA,IL15,IL15RA,IL18BP,IL2RB,IL4R,IL7,IRF1,IRF2,IRF4,IRF7,IRF8,IRF9,ISG20,ITGB7,JAK2,KLRK1,LAP3,LCP2,LY6E,LYSMD2,MARCH1,MVP,MX1,MX2,NLRC5,NMI,NOD1,OAS2,OAS3,OASL,OGFR,P2RY14,PARP12,PARP14,PDE4B,PLSCR1,PML,PNP,PSMA2,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTPN6,RBCK1,RIPK1,RIPK2,RNF31,RSAD2,RTP4,SAMD9L,SAMHD1,SECTM1,SELP,SERPING1,SLAMF7,SLC25A28,SOD2,SP110,ST8SIA4,STAT1,STAT2,STAT3,STAT4,TAP1,TAPBP,TDRD7,TNFSF10,TRAFD1,TRIM14,TRIM21,TRIM26,TXNIP,UBE2L6,USP18,VAMP5,VAMP8,VCAM1,WARS,XAF1,ZBP1,ZNFX1
HALLMARK_ALLOGRAFT_REJECTION	2.5e-63	6.3e-62	2889	200	125	23467	B2M,C2,CAPG,CCL19,CCL2,CCL22,CCL4,CCL5,CCR1,CCR2,CCR5,CD1D,CD2,CD247,CD28,CD3D,CD3E,CD3G,CD4,CD40,CD40LG,CD7,CD74,CD79A,CD80,CD86,CD8A,CD8B,CD96,CFP,CRTAM,CSF1,CSK,CTSS,CXCL13,CXCL9,CXCR3,ETS1,FAS,FASLG,FCGR2B,FGR,GBP2,GCNT1,GLMN,GPR65,GZMA,GZMB,HCLS1,HDAC9,HLA-A,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DRA,HLA-E,ICAM1,ICOSLG,IFNAR2,IFNG,IFNGR1,IGSF6,IKBKB,IL10,IL12A,IL12B,IL12RB1,IL13,IL15,IL16,IL18RAP,IL2,IL2RA,IL2RB,IL2RG,IL4,IL4R,IL7,IRF4,IRF7,IRF8,ITGAL,ITGB2,ITK,JAK2,KLRD1,LCK,LCP2,LTB,LY75,LY86,LYN,MAP4K1,NCF4,NCK1,NCR1,NLRP3,NOS2,PRF1,PRKCB,PSMB10,PTPN6,PTPRC,RIPK2,SIT1,SPI1,SRGN,ST8SIA4,STAB1,STAT1,STAT4,TAP1,TAP2,TAPBP,TLR1,TLR2,TLR3,TLR6,TRAF2,TRAT1,WARS,WAS,ZAP70
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.1e-50	3.6e-49	2889	97	76	23467	B2M,BATF2,BST2,CASP1,CASP8,CCRL2,CD74,CMPK2,CNP,CSF1,CXCL10,CXCL11,DHX58,EPSTI1,GBP2,GBP4,HERC6,HLA-C,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IL15,IL4R,IL7,IRF1,IRF2,IRF7,IRF9,ISG20,LAMP3,LAP3,LPAR6,LY6E,MOV10,MX1,NCOA7,NMI,NUB1,OASL,OGFR,PARP12,PARP14,PARP9,PLSCR1,PSMB8,PSMB9,PSME1,PSME2,RIPK2,RNF31,RSAD2,RTP4,SAMD9,SAMD9L,SELL,SLC25A28,SP110,STAT2,TAP1,TDRD7,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM26,TRIM5,TXNIP,UBA7,UBE2L6,USP18,WARS
HALLMARK_COMPLEMENT	1.1e-24	1.1e-23	2889	200	82	23467	APOBEC3F,APOBEC3G,C1QA,C1QC,C2,C3,CASP1,CASP10,CASP3,CASP4,CASP5,CASP7,CASP9,CCL5,CD40LG,CD46,CD59,CFB,CFH,CP,CPM,CR1,CR2,CTSC,CTSD,CTSH,CTSO,CTSS,DOCK10,DOCK4,DUSP5,F5,FCER1G,FCN1,FDX1,FYN,GATA3,GCA,GMFB,GNG2,GNGT2,GP1BA,GRB2,GZMA,GZMB,GZMK,IRF1,IRF2,IRF7,ITGAM,JAK2,KLKB1,KYNU,LAP3,LCK,LCP2,LGALS3,LGMN,LTA4H,LTF,LYN,PDP1,PIK3CG,PIK3R5,PLA2G7,PLEK,PLSCR1,PRCP,PRSS36,PSMB9,RABIF,RASGRP1,RHOG,S100A9,SERPINA1,SERPING1,SH2B3,SPOCK2,STX4,USP15,USP16,WAS
HALLMARK_INFLAMMATORY_RESPONSE	1.1e-24	1.1e-23	2889	200	82	23467	BST2,BTG2,C3AR1,CCL2,CCL20,CCL22,CCL5,CCR7,CCRL2,CD14,CD40,CD48,CD69,CD82,CDKN1A,CMKLR1,CSF1,CSF3R,CXCL10,CXCL11,CXCL9,CXCR6,CYBB,EBI3,FPR1,GCH1,GP1BA,GPR132,GPR183,ICAM1,ICAM4,ICOSLG,IFNAR1,IL10,IL10RA,IL12B,IL15,IL15RA,IL18R1,IL18RAP,IL2RB,IL4R,IRF1,IRF7,KCNA3,KCNJ2,LAMP3,LCK,LCP2,LTA,LY6E,LYN,MEFV,MEP1A,NLRP3,NMI,OSM,P2RX7,PDE4B,PIK3R5,PTGER4,RASGRP1,RGS1,RHOG,RIPK2,RNF144B,RTP4,SCARF1,SELE,SELL,SEMA4D,SLAMF1,SLC31A2,STAB1,TACR1,TAPBP,TLR1,TLR2,TLR3,TNFRSF1B,TNFRSF9,TNFSF10
HALLMARK_IL6_JAK_STAT3_SIGNALING	5.2e-14	4.3e-13	2889	87	39	23467	A2M,ACVRL1,BAK1,CCR1,CD14,CSF1,CSF2RB,CSF3R,CXCL10,CXCL11,CXCL13,CXCL9,EBI3,FAS,GRB2,HMOX1,IFNAR1,IFNGR1,IL12RB1,IL15RA,IL18R1,IL2RA,IL2RG,IL4R,IL7,IRF1,IRF9,ITGA4,LTB,MAP3K8,PIK3R5,PLA2G2A,STAM2,STAT1,STAT2,STAT3,TLR2,TNFRSF1B,TYK2
HALLMARK_IL2_STAT5_SIGNALING	1.8e-13	1.3e-12	2889	200	64	23467	ABCB1,AGER,AMACR,ANXA4,BATF,BATF3,CAPG,CAPN3,CASP3,CCR4,CD48,CD79B,CD86,CDC42SE2,CISH,CSF1,CST7,CTLA4,CXCL10,DHRS3,EOMES,FAM126B,FGL2,FLT3LG,GALM,GBP4,GLIPR2,GPR65,ICOS,IFNGR1,IKZF2,IKZF4,IL10,IL10RA,IL13,IL18R1,IL2RA,IL2RB,IL4R,IRF4,IRF8,ITGAE,LTB,MAP3K8,MUC1,NFKBIZ,PLSCR1,PNP,RHOH,SELL,SELP,SERPINB6,SHE,SLC39A8,SMPDL3A,SYT11,TLR7,TNFRSF1B,TNFRSF4,TNFRSF8,TNFRSF9,TNFSF10,TRAF1,XBP1
HALLMARK_KRAS_SIGNALING_UP	6.3e-13	3.9e-12	2889	200	63	23467	ABCB1,ACE,ADAM8,ADAMDEC1,BIRC3,C3AR1,CAB39L,CBR4,CCL20,CD37,CFB,CFH,CLEC4A,CMKLR1,CROT,CTSS,CXCL10,CXCR4,DOCK2,ENG,EPB41L3,ETS1,FBXO4,FCER1G,FUCA1,GADD45G,GLRX,GYPC,HDAC9,HSD11B1,ID2,IKZF1,IL10RA,IL2RG,IL33,IRF8,ITGB2,LAPTM5,LAT2,LCP1,LY96,MAP4K1,MPZL2,MTMR10,MYCN,PDCD1LG2,PECAM1,PLEK2,PLVAP,PRDM1,PSMB8,SATB1,SERPINA3,SLPI,ST6GAL1,TFPI,TLR8,TMEM176A,TMEM176B,TNFRSF1B,TPH1,TRAF1,VWA5A
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2e-10	1.1e-09	2889	200	58	23467	BCL2A1,BIRC2,BIRC3,BTG1,BTG2,CCL2,CCL20,CCL4,CCL5,CCRL2,CD69,CD80,CDKN1A,CEBPD,CFLAR,CSF1,CXCL10,CXCL11,DDX58,DRAM1,DUSP4,DUSP5,GCH1,GPR183,ICAM1,ICOSLG,ID2,IER2,IFIH1,IFIT2,IL12B,IL15RA,IRF1,JUNB,KLF2,KYNU,LITAF,MAP3K8,NFKB2,NFKBIE,NINJ1,NR4A2,NR4A3,PDE4B,PLEK,PTGER4,RIPK2,RNF19B,SAT1,SERPINB8,SOD2,STAT5A,TANK,TAP1,TLR2,TNFAIP8,TNFRSF9,TRAF1
HALLMARK_P53_PATHWAY	2.4e-07	1.2e-06	2889	200	51	23467	APAF1,BAK1,BTG1,BTG2,CASP1,CCNG1,CD82,CDKN1A,CDKN2AIP,CGRRF1,CTSD,CYFIP2,DDB2,DEF6,DRAM1,EPS8L2,ERCC5,FAS,FBXW7,FUCA1,HEXIM1,HMOX1,IFI30,ISCU,KIF13B,LRMP,MDM2,NINJ1,NOTCH1,PCNA,POLH,PPM1D,RCHY1,RETSAT,RNF19B,RPS27L,SAT1,SESN1,SLC35D1,STOM,TAP1,TCN2,TM7SF3,TOB1,TP53,TRAFD1,TXNIP,VAMP8,VWA5A,WWP1,XPC
