#hypeR	v1.3.1
#Signature Head	AATK,ABAT,ABCA8,ABCC6,ABCD2,ABCD3
#Signature Size	2326
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_ALLOGRAFT_REJECTION	1.1e-25	5.5e-24	2326	200	75	23467	B2M,CCL2,CCL22,CCL4,CCL5,CCND2,CCR2,CCR5,CD1D,CD2,CD247,CD3E,CD3G,CD4,CD74,CD8A,CD8B,CFP,CSK,CTSS,CXCL9,CXCR3,ETS1,FASLG,FGR,GBP2,GPR65,GZMA,GZMB,HCLS1,HDAC9,HLA-A,HLA-DMB,HLA-DOB,HLA-DQA1,HLA-DRA,HLA-E,HLA-G,IFNAR2,IGSF6,IKBKB,IL12RB1,IL16,IL2RB,IRF8,ITGAL,ITGB2,ITK,JAK2,KLRD1,LCK,LCP2,LTB,LYN,MAP4K1,NCK1,NCR1,NLRP3,NOS2,PRF1,PRKCB,PTPN6,PTPRC,SIT1,SPI1,STAT1,TAP1,TAP2,TAPBP,TLR1,TNF,TRAT1,WARS,WAS,ZAP70
HALLMARK_INTERFERON_GAMMA_RESPONSE	3.4e-24	8.4e-23	2326	200	73	23467	ADAR,APOL6,B2M,BANK1,BATF2,BTG1,CASP1,CCL2,CCL5,CD74,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,CXCL11,CXCL9,DDX58,DDX60,EPSTI1,FGL2,GBP4,GPR18,GZMA,HLA-A,HLA-B,HLA-DQA1,HLA-DRB1,HLA-G,IFIH1,IFIT3,IFNAR2,IL10RA,IL2RB,IRF1,IRF2,IRF8,IRF9,ITGB7,JAK2,KLRK1,LAP3,LCP2,MX1,NFKB1,NLRC5,OAS2,P2RY14,PARP14,PDE4B,PELI1,PSMB9,PTPN6,RIPK1,RSAD2,RTP4,SAMD9L,SECTM1,SELP,SLAMF7,STAT1,TAP1,TAPBP,TDRD7,TNFAIP3,TNFAIP6,TNFSF10,TRAFD1,TRIM26,VAMP5,VCAM1,WARS,ZBP1
HALLMARK_INTERFERON_ALPHA_RESPONSE	1.2e-13	1.9e-12	2326	97	37	23467	ADAR,B2M,BATF2,CASP1,CCRL2,CD74,CMPK2,CXCL10,CXCL11,DDX60,EPSTI1,GBP2,GBP4,GMPR,HLA-C,IFIH1,IFIT3,IRF1,IRF2,IRF9,LAP3,LPAR6,MX1,NCOA7,PARP14,PARP9,PSMB9,RSAD2,RTP4,SAMD9,SAMD9L,SELL,TAP1,TDRD7,TRAFD1,TRIM26,WARS
HALLMARK_KRAS_SIGNALING_UP	5.3e-11	6.6e-10	2326	200	52	23467	C3AR1,CAB39L,CBL,CCND2,CD37,CDADC1,CLEC4A,CMKLR1,CTSS,CXCL10,DOCK2,ENG,ETS1,ETV5,FLT4,HBEGF,HDAC9,IKZF1,IL10RA,IL33,IRF8,ITGB2,JUP,LAT2,LCP1,MAP3K1,MAP4K1,MAP7,MTMR10,MYCN,PECAM1,PIGR,PLAT,PLVAP,PRDM1,RABGAP1L,RETN,SATB1,SDCCAG8,SOX9,SPON1,SPRY2,ST6GAL1,TLR8,TNFAIP3,TNFRSF1B,TRAF1,TRIB2,TSPAN7,USH1C,WDR33,WNT7A
HALLMARK_INFLAMMATORY_RESPONSE	5.5e-10	5.5e-09	2326	200	50	23467	APLNR,C3AR1,CALCRL,CCL17,CCL2,CCL22,CCL5,CCR7,CCRL2,CD48,CLEC5A,CMKLR1,CX3CL1,CXCL10,CXCL11,CXCL9,CYBB,HBEGF,HPN,IFNAR1,IL10RA,IL2RB,IRF1,ITGB8,KCNA3,LCK,LCP2,LYN,NFKB1,NLRP3,NMUR1,NOD2,OLR1,PDE4B,PIK3R5,PTGER4,PTGIR,RASGRP1,RNF144B,RTP4,SCARF1,SELE,SELL,SEMA4D,TACR1,TAPBP,TLR1,TNFAIP6,TNFRSF1B,TNFSF10
HALLMARK_IL2_STAT5_SIGNALING	4.2e-08	3.5e-07	2326	200	46	23467	AMACR,BCL2,CCND2,CCR4,CD48,CD79B,CDC42SE2,CXCL10,CYFIP1,EOMES,FAM126B,FGL2,GBP4,GPR65,IKZF2,IL10RA,IL1RL1,IL2RB,IRF6,IRF8,ITGA6,LRRC8C,LTB,MAP6,MYO1C,PRKCH,PTH1R,RABGAP1L,RHOH,S100A1,SELL,SELP,SH3BGRL2,SHE,SNX9,SPRED2,SPRY4,SWAP70,SYNGR2,TIAM1,TLR7,TNFRSF1B,TNFRSF21,TNFRSF8,TNFSF10,TRAF1
HALLMARK_COMPLEMENT	1.2e-07	8.4e-07	2326	200	45	23467	ADRA2B,CALM1,CASP1,CASP10,CCL5,CD36,CLU,CTSS,CXCL1,DGKH,DOCK10,DOCK4,DPP4,EHD1,FCN1,GNG2,GNGT2,GZMA,GZMB,GZMK,IRF1,IRF2,ITGAM,JAK2,KLKB1,KYNU,LAP3,LCK,LCP2,LTF,LYN,OLR1,PDGFB,PIK3CG,PIK3R5,PLAT,PLEK,PSMB9,RASGRP1,SH2B3,SRC,TNFAIP3,USP8,WAS,ZEB1
HALLMARK_MITOTIC_SPINDLE	1.8e-06	1.2e-05	2326	199	42	23467	APC,ARAP3,ARHGAP27,ARHGAP29,ARHGEF12,ARHGEF3,ARL8A,BCR,CDC42BPA,CDC42EP2,CDC42EP4,DOCK2,DOCK4,EPB41L2,EZR,FARP1,FGD6,GSN,KIF3C,KIF5B,KIFAP3,MAP1S,MAP3K11,MYH10,MYH9,NCK1,PCNT,PKD2,PREX1,RAB3GAP1,RABGAP1,RALBP1,RAPGEF5,RASAL2,ROCK1,SOS1,SPTAN1,SPTBN1,SUN2,TAOK2,TIAM1,WASL
HALLMARK_IL6_JAK_STAT3_SIGNALING	2.9e-05	0.00015	2326	87	22	23467	ACVRL1,CBL,CD36,CSF2RB,CXCL1,CXCL10,CXCL11,CXCL9,IFNAR1,IL12RB1,IL17RB,IL6ST,IRF1,IRF9,ITGA4,LEPR,LTB,PIK3R5,STAT1,TNF,TNFRSF1B,TNFRSF21
HALLMARK_MYOGENESIS	2.9e-05	0.00015	2326	200	39	23467	APLNR,APP,CD36,CLU,ERBB3,FOXO4,GJA5,GPX3,GSN,HBEGF,HDAC5,HRC,HSPB8,IGFBP7,ITGA7,KIFC3,MEF2A,MEF2C,MEF2D,MYH11,MYH9,MYL3,MYO1C,MYOM1,MYOM2,MYOZ1,NOS1,NOTCH1,PICK1,PYGM,RB1,RIT1,SMTN,SOD3,SPTAN1,SVIL,SYNGR2,VIPR1,WWTR1
