#hypeR	v1.3.1
#Signature Head	ADHFE1,EVC2,LLGL2,LOC649330,PRR15L
#Signature Size	5
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_ESTROGEN_RESPONSE_LATE	0.042	1	5	200	1	23467	LLGL2
HALLMARK_ADIPOGENESIS	1	1	5	200	0	23467	
HALLMARK_ALLOGRAFT_REJECTION	1	1	5	200	0	23467	
HALLMARK_ANDROGEN_RESPONSE	1	1	5	100	0	23467	
HALLMARK_ANGIOGENESIS	1	1	5	36	0	23467	
HALLMARK_APICAL_JUNCTION	1	1	5	200	0	23467	
HALLMARK_APICAL_SURFACE	1	1	5	44	0	23467	
HALLMARK_APOPTOSIS	1	1	5	161	0	23467	
HALLMARK_BILE_ACID_METABOLISM	1	1	5	112	0	23467	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1	1	5	74	0	23467	
HALLMARK_COAGULATION	1	1	5	138	0	23467	
HALLMARK_COMPLEMENT	1	1	5	200	0	23467	
HALLMARK_DNA_REPAIR	1	1	5	150	0	23467	
HALLMARK_E2F_TARGETS	1	1	5	200	0	23467	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	5	200	0	23467	
HALLMARK_ESTROGEN_RESPONSE_EARLY	1	1	5	200	0	23467	
HALLMARK_FATTY_ACID_METABOLISM	1	1	5	158	0	23467	
HALLMARK_G2M_CHECKPOINT	1	1	5	200	0	23467	
HALLMARK_GLYCOLYSIS	1	1	5	200	0	23467	
HALLMARK_HEDGEHOG_SIGNALING	1	1	5	36	0	23467	
HALLMARK_HEME_METABOLISM	1	1	5	200	0	23467	
HALLMARK_HYPOXIA	1	1	5	200	0	23467	
HALLMARK_IL2_STAT5_SIGNALING	1	1	5	200	0	23467	
HALLMARK_IL6_JAK_STAT3_SIGNALING	1	1	5	87	0	23467	
HALLMARK_INFLAMMATORY_RESPONSE	1	1	5	200	0	23467	
HALLMARK_INTERFERON_ALPHA_RESPONSE	1	1	5	97	0	23467	
HALLMARK_INTERFERON_GAMMA_RESPONSE	1	1	5	200	0	23467	
HALLMARK_KRAS_SIGNALING_DN	1	1	5	200	0	23467	
HALLMARK_KRAS_SIGNALING_UP	1	1	5	200	0	23467	
HALLMARK_MITOTIC_SPINDLE	1	1	5	199	0	23467	
HALLMARK_MTORC1_SIGNALING	1	1	5	200	0	23467	
HALLMARK_MYC_TARGETS_V1	1	1	5	200	0	23467	
HALLMARK_MYC_TARGETS_V2	1	1	5	58	0	23467	
HALLMARK_MYOGENESIS	1	1	5	200	0	23467	
HALLMARK_NOTCH_SIGNALING	1	1	5	32	0	23467	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1	1	5	200	0	23467	
HALLMARK_P53_PATHWAY	1	1	5	200	0	23467	
HALLMARK_PANCREAS_BETA_CELLS	1	1	5	40	0	23467	
HALLMARK_PEROXISOME	1	1	5	104	0	23467	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1	1	5	105	0	23467	
HALLMARK_PROTEIN_SECRETION	1	1	5	96	0	23467	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1	1	5	49	0	23467	
HALLMARK_SPERMATOGENESIS	1	1	5	135	0	23467	
HALLMARK_TGF_BETA_SIGNALING	1	1	5	54	0	23467	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1	1	5	200	0	23467	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1	1	5	113	0	23467	
HALLMARK_UV_RESPONSE_DN	1	1	5	144	0	23467	
HALLMARK_UV_RESPONSE_UP	1	1	5	158	0	23467	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1	1	5	42	0	23467	
HALLMARK_XENOBIOTIC_METABOLISM	1	1	5	200	0	23467	
