#hypeR	v1.3.1
#Signature Head	ABCC11,ASPH,B4GALNT1,CA8,CALY,CBX2
#Signature Size	49
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_PANCREAS_BETA_CELLS	0.08	1	49	40	1	23467	PDX1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.097	1	49	49	1	23467	SRXN1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.2	1	49	105	1	23467	PITX2
HALLMARK_BILE_ACID_METABOLISM	0.21	1	49	112	1	23467	SLCO1A2
HALLMARK_UV_RESPONSE_UP	0.28	1	49	158	1	23467	ONECUT1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.34	1	49	200	1	23467	SOX3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.34	1	49	200	1	23467	SOX3
HALLMARK_ADIPOGENESIS	1	1	49	200	0	23467	
HALLMARK_ALLOGRAFT_REJECTION	1	1	49	200	0	23467	
HALLMARK_ANDROGEN_RESPONSE	1	1	49	100	0	23467	
HALLMARK_ANGIOGENESIS	1	1	49	36	0	23467	
HALLMARK_APICAL_JUNCTION	1	1	49	200	0	23467	
HALLMARK_APICAL_SURFACE	1	1	49	44	0	23467	
HALLMARK_APOPTOSIS	1	1	49	161	0	23467	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1	1	49	74	0	23467	
HALLMARK_COAGULATION	1	1	49	138	0	23467	
HALLMARK_COMPLEMENT	1	1	49	200	0	23467	
HALLMARK_DNA_REPAIR	1	1	49	150	0	23467	
HALLMARK_E2F_TARGETS	1	1	49	200	0	23467	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	49	200	0	23467	
HALLMARK_FATTY_ACID_METABOLISM	1	1	49	158	0	23467	
HALLMARK_G2M_CHECKPOINT	1	1	49	200	0	23467	
HALLMARK_GLYCOLYSIS	1	1	49	200	0	23467	
HALLMARK_HEDGEHOG_SIGNALING	1	1	49	36	0	23467	
HALLMARK_HEME_METABOLISM	1	1	49	200	0	23467	
HALLMARK_HYPOXIA	1	1	49	200	0	23467	
HALLMARK_IL2_STAT5_SIGNALING	1	1	49	200	0	23467	
HALLMARK_IL6_JAK_STAT3_SIGNALING	1	1	49	87	0	23467	
HALLMARK_INFLAMMATORY_RESPONSE	1	1	49	200	0	23467	
HALLMARK_INTERFERON_ALPHA_RESPONSE	1	1	49	97	0	23467	
HALLMARK_INTERFERON_GAMMA_RESPONSE	1	1	49	200	0	23467	
HALLMARK_KRAS_SIGNALING_DN	1	1	49	200	0	23467	
HALLMARK_KRAS_SIGNALING_UP	1	1	49	200	0	23467	
HALLMARK_MITOTIC_SPINDLE	1	1	49	199	0	23467	
HALLMARK_MTORC1_SIGNALING	1	1	49	200	0	23467	
HALLMARK_MYC_TARGETS_V1	1	1	49	200	0	23467	
HALLMARK_MYC_TARGETS_V2	1	1	49	58	0	23467	
HALLMARK_MYOGENESIS	1	1	49	200	0	23467	
HALLMARK_NOTCH_SIGNALING	1	1	49	32	0	23467	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1	1	49	200	0	23467	
HALLMARK_P53_PATHWAY	1	1	49	200	0	23467	
HALLMARK_PEROXISOME	1	1	49	104	0	23467	
HALLMARK_PROTEIN_SECRETION	1	1	49	96	0	23467	
HALLMARK_SPERMATOGENESIS	1	1	49	135	0	23467	
HALLMARK_TGF_BETA_SIGNALING	1	1	49	54	0	23467	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1	1	49	200	0	23467	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1	1	49	113	0	23467	
HALLMARK_UV_RESPONSE_DN	1	1	49	144	0	23467	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1	1	49	42	0	23467	
HALLMARK_XENOBIOTIC_METABOLISM	1	1	49	200	0	23467	
