#hypeR	v1.3.1
#Signature Head	AAGAB,AAK1,AARS,ABCA2,ABCA5,ABCA8
#Signature Size	1932
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_UV_RESPONSE_DN	2.8e-10	1.4e-08	1932	144	37	23467	ANXA4,ATP2B1,ATP2C1,ATRN,ATRX,ATXN1,BCKDHB,BDNF,BHLHE40,CAP2,CDC42BPA,DLC1,DLG1,F3,FHL2,GCNT1,GJA1,INPP4B,KALRN,KCNMA1,KIT,LDLR,LPAR1,LTBP1,MAP1B,MET,MGLL,MT1E,PIK3CD,PMP22,PRKAR2B,RGS4,SDC2,SIPA1L1,SYNJ2,TJP1,VLDLR
HALLMARK_HEME_METABOLISM	1.2e-07	3e-06	1932	200	40	23467	ACSL6,ADIPOR1,ALAD,ALDH1L1,ARHGEF12,ATP6V0A1,CA2,CAST,CTSB,ENDOD1,ERMAP,FECH,GCLM,GDE1,HEBP1,HTATIP2,KHNYN,LAMP2,LMO2,LPIN2,MARCH2,MGST3,MOCOS,MPP1,NNT,OPTN,OSBP2,P4HA2,SDCBP,SELENBP1,SIDT2,SLC7A11,SNCA,SYNJ1,TFRC,TMEM9B,TRAK2,TSPAN5,XK,YPEL5
HALLMARK_BILE_ACID_METABOLISM	2.8e-07	3.4e-06	1932	112	27	23467	ABCA2,ABCA5,ABCA8,ABCD2,ABCG4,ALDH1A1,AMACR,ATXN1,CYP27A1,CYP39A1,CYP46A1,DHCR24,GCLM,HSD17B4,HSD17B6,LCK,LONP2,NPC1,NR1I2,NR3C2,OPTN,PAOX,PEX19,PIPOX,RBP1,RETSAT,SLC23A2
HALLMARK_INFLAMMATORY_RESPONSE	3.4e-07	3.4e-06	1932	200	39	23467	AHR,APLNR,ATP2A2,ATP2B1,ATP2C1,AXL,BDKRB1,CD55,CD70,CHST2,CLEC5A,CX3CL1,CXCL11,F3,GCH1,HPN,HRH1,ICOSLG,IRAK2,KCNJ2,LCK,LDLR,LPAR1,LY6E,MET,NPFFR2,OPRK1,P2RY2,PSEN1,RASGRP1,SCN1B,SEMA4D,SLC1A2,SLC31A2,SLC4A4,SLC7A2,TNFAIP6,TNFSF10,TNFSF9
HALLMARK_XENOBIOTIC_METABOLISM	3.4e-07	3.4e-06	1932	200	39	23467	ABCD2,ACO2,ACOX2,ALAS1,AOX1,ARG2,ARPP19,ATP2A2,BCAT1,CA2,CBR1,CFB,CNDP2,CYP1A1,CYP27A1,ELOVL5,ETS2,FABP1,FAH,FBLN1,GABARAPL1,GCH1,GSTO1,HSD11B1,LPIN2,MAN1A1,MPP2,NFS1,NPC1,NQO1,PTGDS,PTGES,PTGR1,REG1A,RETSAT,SAR1B,SLC6A6,SSR3,TMBIM6
HALLMARK_FATTY_ACID_METABOLISM	5.3e-07	4.4e-06	1932	158	33	23467	ACAA2,ACADS,ACO2,ALAD,ALDH1A1,BCKDHB,CA2,CBR1,CIDEA,CPT1A,CYP1A1,DHCR24,ELOVL5,FABP1,FH,GABARAPL1,HSD17B4,HSDL2,HSP90AA1,HSPH1,INMT,LGALS1,MDH1,ME1,MGLL,RAP1GDS1,RETSAT,SDHA,SDHC,SERINC1,SUCLA2,TP53INP2,YWHAH
HALLMARK_ADIPOGENESIS	9.5e-07	6.8e-06	1932	200	38	23467	ACAA2,ACADS,ACO2,AGPAT3,ANGPT1,APLP2,CIDEA,CMBL,DHCR7,DLAT,DNAJB9,ENPP2,ESYT1,FAH,G3BP2,GHITM,HSPB8,IDH3A,ME1,MGLL,MGST3,MTCH2,MYLK,PQLC3,QDPR,RAB34,REEP5,RETSAT,RNF11,RTN3,SDHC,SLC27A1,SSPN,STOM,SULT1A1,TANK,UBQLN1,YWHAG
HALLMARK_PROTEIN_SECRETION	8.5e-06	5.3e-05	1932	96	22	23467	AP2M1,AP3S1,ATP1A1,ATP6V1H,CLTC,DNM1L,GALC,LAMP2,MAPK1,NAPG,RAB22A,RAB5A,SCAMP1,SCRN1,SEC24D,SSPN,STAM,STX7,TOM1L1,TPD52,USO1,VAMP3
HALLMARK_ESTROGEN_RESPONSE_LATE	4e-05	0.00022	1932	200	34	23467	ACOX2,ASS1,CA2,CELSR2,CHPT1,CXCL14,CYP4F11,DHCR7,DUSP2,DYNLT3,ELOVL5,EMP2,FABP5,FAM102A,FGFR3,FRK,HOMER2,HSPA4L,HSPB8,KLK10,LTF,MOCS2,OPN3,PERP,PRKAR2B,PRLR,PTGES,RABEP1,RPS6KA2,SNX10,TMPRSS3,TPD52L1,UNC13B,WFS1
HALLMARK_COMPLEMENT	9.4e-05	0.00043	1932	200	33	23467	C1S,CA2,CALM1,CD55,CD59,CFB,CLU,CSRP1,CTSB,DGKG,DOCK4,DOCK9,DPP4,F3,F8,GCA,HPCAL4,HSPA5,L3MBTL4,LAMP2,LCK,LGALS3,LIPA,LRP1,LTF,ME1,MT3,PCLO,PPP2CB,PSEN1,RASGRP1,S100A13,SERPING1
