#hypeR	v1.3.1
#Signature Head	A1BG,AAAS,AADAT,AATF,ABCC10,ABCC2
#Signature Size	2886
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_MYC_TARGETS_V1	3e-32	1.5e-30	2886	200	92	23467	APEX1,BUB3,CAD,CBX3,CCT3,CCT5,CCT7,CDK4,CLNS1A,CNBP,CSTF2,DEK,DHX15,DUT,EEF1B2,EIF3B,EIF3D,EIF4A1,ERH,EXOSC7,FBL,GNL3,H2AFZ,HDAC2,HDGF,HNRNPA1,HNRNPA2B1,HNRNPA3,HNRNPC,HNRNPD,HNRNPR,HNRNPU,ILF2,IMPDH2,KARS,LSM2,LSM7,MAD2L1,MCM5,MCM7,MRPL9,MYC,NAP1L1,NOP16,NOP56,NPM1,ODC1,PA2G4,PABPC1,PABPC4,PHB2,POLD2,PPM1G,PRPF31,PSMC4,PSMC6,PSMD3,RANBP1,RFC4,RNPS1,RPL14,RPL18,RPL22,RPL34,RPLP0,RPS10,RPS2,RPS3,RPS5,RPS6,RRP9,RSL1D1,RUVBL2,SERBP1,SET,SF3A1,SF3B3,SMARCC1,SNRPA,SNRPD1,SNRPD2,SNRPD3,SNRPG,SRM,SYNCRIP,TARDBP,TCP1,TRA2B,TRIM28,U2AF1,UBA2,USP1
HALLMARK_E2F_TARGETS	1.2e-20	3.1e-19	2886	200	76	23467	CDC25A,CDC25B,CDCA3,CDK1,CDK4,CDKN2A,CENPM,CHEK1,CHEK2,CKS2,CTCF,DEK,DNMT1,DONSON,DUT,EED,EXOSC8,EZH2,GINS1,GINS3,H2AFX,H2AFZ,HELLS,HMGB2,HNRNPD,ILF3,ING3,KIF18B,KIF22,LBR,LIG1,LMNB1,LUC7L3,LYAR,MAD2L1,MCM5,MCM7,MTHFD2,MXD3,MYBL2,MYC,NAA38,NAP1L1,NASP,NOP56,NUP107,NUP205,PA2G4,PAN2,PHF5A,PLK1,PNN,POLD1,POLD2,POLE,POLE4,PPM1D,PRIM2,RANBP1,RBBP7,RFC2,RFC3,RNASEH2A,RPA2,SMC3,SMC6,SNRPB,SSRP1,SYNCRIP,TMPO,TP53,TRA2B,TUBB,UBE2S,USP1,WDR90
HALLMARK_MYC_TARGETS_V2	5.9e-16	9.9e-15	2886	58	33	23467	BYSL,CBX3,CDK4,EXOSC5,FARSA,GNL3,GRWD1,IPO4,LAS1L,MCM5,MPHOSPH10,MRTO4,MYBBP1A,MYC,NIP7,NOC4L,NOP16,NOP2,NOP56,NPM1,PA2G4,PES1,PLK1,PPAN,PPRC1,PUS1,RCL1,RRP9,SLC19A1,SRM,SUPV3L1,WDR43,WDR74
HALLMARK_G2M_CHECKPOINT	1e-15	1.3e-14	2886	200	68	23467	BUB3,CCND1,CCNF,CDC25A,CDC25B,CDC7,CDK1,CDK4,CHAF1A,CHEK1,CKS2,CTCF,DBF4,DKC1,DTYMK,E2F2,E2F4,EWSR1,EZH2,FANCC,FBXO5,GINS2,H2AFX,H2AFZ,HIRA,HMGN2,HNRNPD,HNRNPU,ILF3,KATNA1,KIF11,KIF20B,KIF22,LBR,LMNB1,MAD2L1,MARCKS,MCM5,MNAT1,MTF2,MYBL2,MYC,NASP,NCL,NUMA1,ODC1,ODF2,PLK1,POLE,PRIM2,PRMT5,PRPF4B,RBM14,RPA2,SAP30,SFPQ,SMARCC1,SNRPD1,SYNCRIP,TGFB1,TLE3,TMPO,TRA2B,TRAIP,TROAP,UBE2S,UCK2,YTHDC1
HALLMARK_DNA_REPAIR	5.1e-11	5.1e-10	2886	150	49	23467	AAAS,BOLA2,CLP1,CSTF3,DGCR8,DUT,ELL,ERCC1,ERCC2,ERCC3,ERCC5,GTF2B,GTF3C5,IMPDH2,ITPA,LIG1,NME4,NT5C,POLA1,POLD1,POLE4,POLR1C,POLR2F,POLR2H,POLR3C,POLR3GL,POM121,PRIM1,RAD52,RAE1,RFC2,RFC3,RFC4,RPA2,SAC3D1,SF3A3,SNAPC4,SSRP1,SUPT5H,TAF1C,TARBP2,TP53,TSG101,UMPS,UPF3B,VPS37D,ZNF707,ZNRD1,ZWINT
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.3e-06	1e-05	2886	113	33	23467	ALDH18A1,ARFGAP1,ATF4,CNOT6,CXXC1,DCP2,DDIT4,DKC1,EDC4,EEF2,EIF4A1,EIF4A3,EIF4EBP1,EXOSC1,EXOSC10,EXOSC2,EXOSC4,EXOSC5,EXOSC9,FUS,GEMIN4,H2AFX,KHSRP,MTHFD2,NOP14,NOP56,NPM1,RPS14,RRP9,SEC11A,STC2,YIF1A,ZBTB17
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.9e-05	0.00013	2886	42	16	23467	AXIN1,CSNK1E,DLL1,DVL2,FRAT1,HDAC2,HDAC5,KAT2A,MAML1,MYC,NCOR2,NKD1,NOTCH1,PTCH1,RBPJ,TP53
HALLMARK_MITOTIC_SPINDLE	0.00015	0.00093	2886	199	43	23467	AKAP13,ARHGAP10,ARHGEF7,ATG4B,BCAR1,CDK1,CDK5RAP2,CENPJ,CEP192,CEP57,CNTROB,CYTH2,EPB41,FBXO5,GEMIN4,HDAC6,KATNA1,KIF11,KIF20B,KIF22,KNTC1,KPTN,LMNB1,MAP1S,MARCKS,NIN,NUMA1,PCNT,PIF1,PLEKHG2,PLK1,RHOT2,RICTOR,SAC3D1,SASS6,SMC3,TAOK2,TBCD,TUBD1,TUBGCP2,TUBGCP3,TUBGCP6,UXT
HALLMARK_P53_PATHWAY	0.14	0.81	2886	200	30	23467	ABCC5,BMP2,BTG1,BTG2,CCNK,CDKN2A,CDKN2AIP,CDKN2B,DDIT4,DNTTIP2,ERCC5,HIST3H2A,IP6K2,IRAK1,MXD4,NOL8,NOTCH1,POM121,PPM1D,PRKAB1,RAD9A,RPL18,RPL36,RPS12,SLC19A2,TGFB1,TP53,TPRKB,TRAF4,TSC22D1
HALLMARK_NOTCH_SIGNALING	0.19	0.97	2886	32	6	23467	CCND1,DLL1,KAT2A,NOTCH1,SAP30,TCF7L2
