#hypeR	v1.3.1
#Signature Head	A1BG,A2M,AADAC,AASS,ABAT,ABCA10
#Signature Size	2184
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_INTERFERON_GAMMA_RESPONSE	8.4e-30	4.2e-28	2184	200	78	23467	APOL6,AUTS2,B2M,BST2,C1R,C1S,CASP1,CASP7,CCL2,CCL5,CD274,CD69,CD74,CD86,CDKN1A,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,DDX60,DHX58,EIF4E3,FAS,FGL2,FPR1,GBP4,GCH1,GZMA,HLA-A,HLA-B,HLA-DMA,HLA-DRB1,HLA-G,ICAM1,IFI44,IFIH1,IFITM2,IL10RA,IL15,IL2RB,IL6,IL7,IRF8,ISOC1,ITGB7,JAK2,KLRK1,LAP3,LATS2,LCP2,LYSMD2,NAMPT,NFKBIA,OAS2,P2RY14,PARP14,PDE4B,PLSCR1,PTGS2,RIPK1,SAMD9L,SAMHD1,SELP,SERPING1,SOCS3,SOD2,ST3GAL5,ST8SIA4,STAT3,STAT4,TNFAIP2,TNFAIP3,TXNIP,UBE2L6,XAF1,ZNFX1
HALLMARK_XENOBIOTIC_METABOLISM	5.4e-29	1.3e-27	2184	200	77	23467	ABCD2,ABHD6,ADH1C,ALAS1,ALDH2,ALDH9A1,ANGPTL3,AOX1,AQP9,ARG1,ATOH8,CA2,CAT,CD36,CDA,CDO1,CES1,CNDP2,CRP,CSAD,CYB5A,CYP1A1,CYP1A2,CYP26A1,CYP27A1,CYP2C18,CYP2J2,CYP4F2,DCXR,ELOVL5,ENPEP,ESR1,ETFDH,ETS2,FAH,FAS,FBP1,FETUB,FMO3,GABARAPL1,GCH1,GCKR,GCLC,HRG,HSD11B1,IDH1,IGF1,IGFBP4,IL1R1,IRF8,ITIH4,MAN1A1,MAOA,MBL2,MCCC2,MTHFD1,PAPSS2,PC,PDK4,PINK1,PLG,PROS1,PTGR1,RBP4,SAR1B,SHMT2,SLC22A1,SLC35D1,SLC46A3,SLC6A12,TAT,TDO2,TMBIM6,TMEM176B,TTPA,UPB1,XDH
HALLMARK_ALLOGRAFT_REJECTION	3.4e-28	5.6e-27	2184	200	76	23467	B2M,BCL3,CCL2,CCL22,CCL4,CCL5,CCND3,CCR1,CCR2,CCR5,CD1D,CD2,CD247,CD28,CD3E,CD4,CD40LG,CD74,CD86,CD96,CFP,CSF1,CTSS,DEGS1,DYRK3,EGFR,ETS1,F2R,FAS,FGR,GPR65,GZMA,HCLS1,HDAC9,HLA-A,HLA-DMA,HLA-DMB,HLA-DRA,HLA-E,HLA-G,ICAM1,IFNGR1,IGSF6,IL12RB1,IL15,IL16,IL18RAP,IL2RB,IL6,IL7,INHBA,IRF8,ITGB2,ITK,JAK2,KLRD1,LCK,LCP2,LY75,LYN,MBL2,NCK1,NCR1,NLRP3,PRF1,PRKCB,PTPRC,SPI1,SRGN,ST8SIA4,STAB1,STAT4,TLR2,TLR3,TRAT1,WAS
HALLMARK_INFLAMMATORY_RESPONSE	1.2e-26	1.5e-25	2184	200	74	23467	ABCA1,AHR,APLNR,AQP9,AXL,BST2,C3AR1,C5AR1,CALCRL,CCL2,CCL22,CCL5,CCR7,CCRL2,CD14,CD48,CD55,CD69,CDKN1A,CMKLR1,CSF1,CSF3R,CXCL10,CXCR6,CYBB,EDN1,FPR1,GCH1,GPR132,GPR183,HBEGF,ICAM1,IL10RA,IL15,IL18R1,IL18RAP,IL1R1,IL2RB,IL6,IL7R,INHBA,ITGB3,KCNA3,LCK,LCP2,LYN,MARCO,NAMPT,NFKBIA,NLRP3,NMUR1,OSMR,PCDH7,PDE4B,PIK3R5,PROK2,PTGER2,PTGER4,PTGIR,RASGRP1,RNF144B,SCARF1,SELE,SELL,SGMS2,SLAMF1,SLC1A2,SLC31A1,SLC31A2,SLC4A4,STAB1,TLR2,TLR3,TNFRSF1B
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.3e-23	1.3e-22	2184	200	70	23467	ABCA1,ATF3,BCL2A1,BCL3,BHLHE40,BIRC3,CCL2,CCL4,CCL5,CCRL2,CD44,CD69,CDKN1A,CEBPB,CSF1,CXCL10,CXCL2,DNAJB4,DUSP1,EDN1,EGR1,EGR2,EGR3,ETS2,FOS,FOSB,G0S2,GADD45A,GCH1,GEM,GPR183,HBEGF,ICAM1,IER5,IFIH1,IL6,IL6ST,IL7R,INHBA,JUNB,KLF10,KLF2,KLF9,MSC,NAMPT,NFE2L2,NFKBIA,NR4A1,NR4A2,NR4A3,PDE4B,PHLDA1,PLEK,PLK2,PTGER4,PTGS2,PTX3,RCAN1,RHOB,SAT1,SGK1,SOCS3,SOD2,TANK,TIPARP,TLR2,TNFAIP2,TNFAIP3,ZBTB10,ZFP36
HALLMARK_COMPLEMENT	6.9e-23	5.7e-22	2184	200	69	23467	ADRA2B,APOC1,C1QC,C1R,C1S,C4BPB,C9,CA2,CASP1,CASP7,CCL5,CD36,CD40LG,CD55,CD59,CDA,CDH13,CEBPB,CFH,COL4A2,CP,CPM,CR1,CTSO,CTSS,DGKH,DOCK10,DOCK4,DOCK9,DPP4,DUSP6,F5,F8,FCN1,FDX1,FN1,FYN,GNB4,GNG2,GNGT2,GZMA,GZMK,IL6,JAK2,LAP3,LCK,LCP2,LIPA,LRP1,LTF,LYN,NOTCH4,PIK3CG,PIK3R5,PLEK,PLG,PLSCR1,PRCP,RASGRP1,S100A12,SERPINC1,SERPING1,SH2B3,TNFAIP3,USP15,VCPIP1,WAS,ZEB1,ZFPM2
HALLMARK_BILE_ACID_METABOLISM	2.2e-18	1.6e-17	2184	112	45	23467	ABCA1,ABCA2,ABCA5,ABCA6,ABCA8,ABCA9,ABCD2,ABCG8,ACSL1,ACSL5,AGXT,AKR1D1,ALDH1A1,ALDH8A1,ALDH9A1,AQP9,AR,BBOX1,CAT,CH25H,CYP27A1,CYP39A1,CYP7B1,CYP8B1,HAO1,HSD17B4,HSD17B6,IDH1,ISOC1,LCK,LIPE,LONP2,NR1H4,NR1I2,NUDT12,PEX12,PEX13,PEX19,PIPOX,PNPLA8,RXRG,SCP2,SLC27A2,SLC27A5,SULT1B1
HALLMARK_KRAS_SIGNALING_UP	3.9e-16	2.5e-15	2184	200	59	23467	ABCB1,AKAP12,ANO1,ARG1,BIRC3,C3AR1,CA2,CD37,CFH,CMKLR1,CTSS,CXCL10,DOCK2,DUSP6,EMP1,ENG,EPB41L3,ETS1,EVI5,FLT4,G0S2,GLRX,GNG11,HBEGF,HDAC9,HSD11B1,IKZF1,IL10RA,IL33,IL7R,INHBA,IRF8,ITGB2,ITGBL1,LAPTM5,LCP1,NR1H4,NRP1,PDCD1LG2,PECAM1,PIGR,PLVAP,PRDM1,PTCD2,PTGS2,RABGAP1L,RBP4,SATB1,SERPINA3,SPARCL1,SPRY2,TFPI,TLR8,TMEM100,TMEM176B,TNFAIP3,TNFRSF1B,TOR1AIP2,USP12
HALLMARK_IL2_STAT5_SIGNALING	6.6e-15	3.7e-14	2184	200	57	23467	ABCB1,ADAM19,AHR,AKAP2,BCL2,BHLHE40,BMPR2,CA2,CCND3,CCR4,CD44,CD48,CD81,CD86,CISH,CSF1,CST7,CXCL10,EMP1,ENPP1,EOMES,FAH,FGL2,GABARAPL1,GBP4,GPR65,IFNGR1,IKZF2,IL10RA,IL18R1,IL1RL1,IL2RB,IRF6,IRF8,ITGAV,LRRC8C,MAP6,NRP1,PHLDA1,PLSCR1,PRKCH,PTGER2,RABGAP1L,RHOB,RORA,SELL,SELP,SERPINC1,SHE,SLC39A8,SNX9,SOCS2,SPRY4,TNFRSF1B,TTC39B,TWSG1,WLS
HALLMARK_COAGULATION	2.2e-14	1.1e-13	2184	138	45	23467	A2M,ANXA1,APOC1,APOC3,C1R,C1S,C8A,C8B,C8G,C9,CFH,CFI,CTSO,DPP4,DUSP6,F12,F13B,F8,F9,FBN1,FGA,FN1,FYN,GDA,GNG12,HRG,ITGB3,LRP1,MASP2,MBL2,MST1,P2RY1,PECAM1,PLEK,PLG,PROS1,PROZ,RAPGEF3,RGN,SERPINC1,SERPING1,THBD,THBS1,TIMP3,VWF
