#hypeR	v1.3.1
#Signature Head	AAAS,AACS,AAMP,AARS2,AARSD1,AATF
#Signature Size	2793
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_MYC_TARGETS_V1	4.7e-41	2.4e-39	2793	200	101	23467	APEX1,C1QBP,CAD,CBX3,CCT4,CCT5,CCT7,CDC20,CDC45,CDK4,COX5A,EEF1B2,EIF3B,EIF3D,EIF4A1,ERH,EXOSC7,FBL,GNL3,H2AFZ,HDAC2,HDDC2,HNRNPA1,HNRNPA3,HNRNPD,HNRNPU,ILF2,IMPDH2,KARS,KPNB1,LSM2,LSM7,MAD2L1,MCM2,MCM5,MCM7,MRPL23,MRPL9,NAP1L1,NCBP2,NHP2,NOP56,NPM1,ODC1,PA2G4,PABPC1,PABPC4,PHB,PHB2,POLE3,PPIA,PPM1G,PRPF31,PSMA4,PSMB2,PSMB3,PSMC4,PSMD3,PSMD7,PTGES3,PWP1,RAN,RANBP1,RFC4,RNPS1,RPL14,RPL18,RPL22,RPL34,RPLP0,RPS10,RPS2,RPS3,RPS5,RPS6,RRP9,RSL1D1,SET,SF3B3,SLC25A3,SMARCC1,SNRPA,SNRPA1,SNRPB2,SNRPD1,SNRPD2,SNRPD3,SNRPG,SRM,SRPK1,STARD7,TARDBP,TCP1,TRIM28,TXNL4A,TYMS,U2AF1,UBE2L3,XRCC6,YWHAE,YWHAQ
HALLMARK_E2F_TARGETS	5.1e-35	1.3e-33	2793	200	94	23467	ASF1B,AURKA,AURKB,BIRC5,BUB1B,CCNB2,CDC20,CDC25A,CDCA3,CDCA8,CDK1,CDK4,CDKN2A,CDKN3,CENPM,CHEK1,CHEK2,CKS1B,CKS2,CSE1L,DCTPP1,DEPDC1,DLGAP5,DSCC1,ESPL1,EXOSC8,EZH2,GINS1,GINS3,GINS4,H2AFX,H2AFZ,HMGA1,HNRNPD,ILF3,KIF18B,KIF22,KIF2C,KIF4A,LIG1,LMNB1,LYAR,MAD2L1,MCM2,MCM3,MCM5,MCM7,MELK,MKI67,MSH2,MXD3,MYBL2,NAA38,NAP1L1,NASP,NCAPD2,NOP56,NUDT21,PA2G4,PHF5A,PLK1,POLA2,POLD1,POLE,POP7,PPP1R8,PRIM2,PSMC3IP,PTTG1,RACGAP1,RAD1,RAD51C,RAN,RANBP1,RFC2,RNASEH2A,RPA1,RPA2,RRM2,SNRPB,SPC25,SSRP1,STMN1,SUV39H1,TACC3,TBRG4,TCF19,TOP2A,TRIP13,TUBB,UBE2S,UBE2T,WDR90,XRCC6
HALLMARK_G2M_CHECKPOINT	2.3e-33	3.8e-32	2793	200	92	23467	AURKA,AURKB,BIRC5,BUB1,CBX1,CCNB2,CCNF,CDC20,CDC25A,CDC45,CDC6,CDK1,CDK4,CDKN3,CENPA,CENPF,CHAF1A,CHEK1,CHMP1A,CKS1B,CKS2,DBF4,DKC1,DTYMK,E2F2,E2F4,ESPL1,EWSR1,EXO1,EZH2,GINS2,H2AFV,H2AFX,H2AFZ,HMGA1,HMGN2,HNRNPD,HNRNPU,HOXC10,ILF3,KATNA1,KIF11,KIF15,KIF20B,KIF22,KIF2C,KIF4A,KPNB1,LIG3,LMNB1,MAD2L1,MARCKS,MCM2,MCM3,MCM5,MKI67,MTF2,MYBL2,NASP,NDC80,NEK2,NUSAP1,ODC1,PBK,PLK1,POLA2,POLE,POLQ,PRC1,PRIM2,PTTG1,PTTG3P,RACGAP1,RAD54L,RBM14,RPA2,SFPQ,SMARCC1,SNRPD1,STIL,STMN1,SUV39H1,TACC3,TNPO2,TOP2A,TPX2,TRAIP,TROAP,TTK,UBE2C,UBE2S,UPF1
HALLMARK_DNA_REPAIR	5.7e-20	7.1e-19	2793	150	62	23467	AAAS,ADCY6,BCAM,BCAP31,BOLA2,BRF2,CANT1,CETN2,DAD1,ERCC1,FEN1,GPX4,GTF2A2,GTF2F1,GTF2H1,GTF3C5,IMPDH2,ITPA,LIG1,NCBP2,NME3,NME4,NT5C,NUDT21,POLA1,POLA2,POLD1,POLL,POLR1C,POLR1D,POLR2C,POLR2D,POLR2F,POLR2G,POLR2H,POLR2J,POLR3C,PRIM1,RAD51,RAD52,RAE1,RALA,RBX1,RFC2,RFC4,RFC5,RPA2,SAC3D1,SF3A3,SNAPC4,SSRP1,STX3,SUPT4H1,SUPT5H,TAF12,TAF1C,TAF9,TARBP2,TSG101,TYMS,ZNRD1,ZWINT
HALLMARK_MYC_TARGETS_V2	6.2e-11	6.2e-10	2793	58	27	23467	BYSL,CBX3,CDK4,DCTPP1,EXOSC5,GNL3,LAS1L,MCM5,MRTO4,MYBBP1A,NIP7,NOP2,NOP56,NPM1,PA2G4,PES1,PHB,PLK1,PPAN,RRP12,RRP9,SLC19A1,SLC29A2,SRM,TBRG4,TCOF1,WDR74
HALLMARK_MITOTIC_SPINDLE	1.3e-10	1.1e-09	2793	199	57	23467	ANLN,ARFIP2,ATG4B,AURKA,BCR,BIRC5,BUB1,CAPZB,CCNB2,CDC42,CDK1,CENPF,CENPJ,CEP250,CEP72,CNTROB,CSNK1D,CYTH2,DLGAP5,ESPL1,FLNB,GEMIN4,KATNA1,KATNB1,KIF11,KIF15,KIF20B,KIF22,KIF2C,KIF4A,KNTC1,KPTN,LMNB1,LRPPRC,MAPRE1,MARCKS,MARK4,NDC80,NEK2,NUSAP1,PIF1,PLK1,PRC1,PXN,RACGAP1,RHOT2,SAC3D1,SPTAN1,TOP2A,TPX2,TSC1,TTK,TUBD1,TUBGCP2,UXT,WASF2,YWHAE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	5.5e-06	3.9e-05	2793	113	31	23467	ALDH18A1,ARFGAP1,BANF1,CKS1B,CXXC1,DCP2,DCTN1,DKC1,EDC4,EEF2,EIF4A1,EIF4A3,EXOSC1,EXOSC10,EXOSC2,EXOSC5,FUS,GEMIN4,H2AFX,IMP3,KHSRP,LSM4,NFYA,NHP2,NOP56,NPM1,POP4,RPS14,RRP9,SEC11A,ZBTB17
HALLMARK_GLYCOLYSIS	0.0042	0.023	2793	200	37	23467	ADORA2B,AGRN,ALDOA,ANKZF1,AURKA,B3GALT6,B4GALT2,B4GALT7,CASP6,CDK1,CENPA,CHST12,CHST6,COG2,DEPDC1,EFNA3,ENO1,FKBP4,G6PD,GAL3ST1,GALE,GYS1,HS6ST2,KIF20A,MIOX,NASP,PGAM2,POLR3K,PPFIA4,PPIA,PSMC4,PYGB,RARS,SRD5A3,STMN1,TPI1,XYLT2
HALLMARK_MTORC1_SIGNALING	0.0042	0.023	2793	200	37	23467	ALDOA,ARPC5L,AURKA,BUB1,CACYBP,CCNF,CCT6A,CDC25A,EEF1E1,ENO1,G6PD,GGA2,GTF2H1,HMBS,MCM2,NFYC,NUFIP1,PDAP1,PFKL,PLK1,PPIA,PSMA4,PSMB5,PSMC4,PSMD13,PSPH,RPA1,RRM2,RRP9,SEC11A,SERPINH1,SLC1A5,SLC9A3R1,STIP1,TOMM40,TPI1,YKT6
HALLMARK_UV_RESPONSE_UP	0.0064	0.032	2793	158	30	23467	ALDOA,ARRB2,ATP6V1F,BSG,CHKA,CLCN2,CNP,COL2A1,EIF2S3,FEN1,FKBP4,H2AFX,HNRNPU,KLHDC3,MRPL23,NKX2-5,PARP2,PDAP1,POLE3,POLG2,POLR2H,PRKCD,PRPF3,RFC4,SLC6A8,STARD3,STIP1,STK25,TYRO3,YKT6
