#hypeR	v1.3.1
#Signature Head	A2M,A4GNT,AADAC,AADACL2,AASDH,AASS
#Signature Size	4847
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_INTERFERON_GAMMA_RESPONSE	5.5e-38	2.8e-36	4847	200	125	23467	APOL6,ARID5B,AUTS2,B2M,BANK1,BATF2,BPGM,BTG1,C1R,C1S,CASP1,CASP4,CCL2,CCL5,CD40,CD69,CD74,CD86,CDKN1A,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL11,DDX58,DDX60,DHX58,EIF4E3,EPSTI1,FAS,FCGR1A,FGL2,FPR1,GBP4,GBP6,GPR18,GZMA,HERC6,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-DRB1,HLA-G,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IFITM2,IFITM3,IL10RA,IL15,IL15RA,IL18BP,IL2RB,IL4R,IL7,IRF1,IRF2,IRF4,IRF5,IRF8,IRF9,ITGB7,JAK2,KLRK1,LAP3,LCP2,LGALS3BP,LY6E,LYSMD2,MARCH1,METTL7B,MVP,MX1,MYD88,NFKB1,NMI,NOD1,OAS2,OASL,P2RY14,PARP12,PDE4B,PIM1,PLSCR1,PML,PSMB10,PSMB8,PSME1,PTPN1,PTPN6,RIPK1,RSAD2,RTP4,SAMD9L,SAMHD1,SELP,SERPING1,SLAMF7,SLC25A28,SOD2,SP110,SSPN,STAT2,STAT4,TAPBP,TNFAIP3,TNFSF10,TRIM14,TRIM21,TRIM26,TXNIP,UBE2L6,VAMP8,VCAM1,XAF1,ZBP1,ZNFX1
HALLMARK_ALLOGRAFT_REJECTION	8.6e-35	2.2e-33	4847	200	121	23467	ACVR2A,B2M,BCAT1,BCL10,C2,CAPG,CCL13,CCL19,CCL2,CCL22,CCL4,CCL5,CCND2,CCND3,CCR1,CCR2,CCR5,CD1D,CD2,CD247,CD28,CD3D,CD3E,CD3G,CD4,CD40,CD40LG,CD47,CD74,CD79A,CD80,CD86,CD8A,CD8B,CD96,CFP,CRTAM,CSF1,CSK,CTSS,CXCL13,CXCR3,DYRK3,ELF4,ETS1,F2R,FAS,FASLG,FCGR2B,FGR,FLNA,GBP2,GPR65,GZMA,HCLS1,HDAC9,HLA-A,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DRA,HLA-E,HLA-G,ICOSLG,IFNGR1,IGSF6,IKBKB,IL10,IL12B,IL12RB1,IL15,IL16,IL18,IL18RAP,IL2,IL27RA,IL2RB,IL2RG,IL4R,IL7,IRF4,IRF8,ITGAL,ITGB2,ITK,JAK2,KLRD1,LCK,LCP2,LTB,LY86,LYN,MAP4K1,NCF4,NCK1,NCR1,NLRP3,PF4,PRF1,PRKCB,PSMB10,PTPN6,PTPRC,SIT1,SPI1,SRGN,STAB1,STAT4,TAPBP,TGFB1,TGFB2,TLR1,TLR2,TLR3,TLR6,TNF,TRAT1,WAS,ZAP70
HALLMARK_INFLAMMATORY_RESPONSE	1.9e-27	3.2e-26	4847	200	111	23467	ABCA1,ACVR2A,AHR,APLNR,AXL,BTG2,C3AR1,C5AR1,CALCRL,CCL17,CCL2,CCL22,CCL5,CCR7,CCRL2,CD14,CD40,CD48,CD69,CD70,CD82,CDKN1A,CMKLR1,CSF1,CX3CL1,CXCL11,CXCR6,CYBB,EBI3,EDN1,EMP3,FPR1,GNA15,GP1BA,GPR132,GPR183,HAS2,HBEGF,HRH1,ICOSLG,IFNAR1,IL10,IL10RA,IL12B,IL15,IL15RA,IL18,IL18R1,IL18RAP,IL1A,IL1R1,IL2RB,IL4R,IL7R,IRAK2,IRF1,ITGB3,KCNA3,KCNJ2,KLF6,LAMP3,LCK,LCP2,LDLR,LTA,LY6E,LYN,MARCO,MEFV,MET,MSR1,MYC,NDP,NFKB1,NLRP3,NMI,NMUR1,NOD2,OLR1,P2RX7,PDE4B,PIK3R5,PROK2,PTAFR,PTGER2,PTGER4,PTGIR,RASGRP1,RGS16,RHOG,RNF144B,ROS1,RTP4,SCARF1,SELE,SELL,SGMS2,SLAMF1,SLC1A2,SLC31A2,STAB1,TACR1,TAPBP,TLR1,TLR2,TLR3,TNFRSF1B,TNFRSF9,TNFSF10,TNFSF9,VIP
HALLMARK_INTERFERON_ALPHA_RESPONSE	7.1e-23	8.9e-22	4847	97	65	23467	B2M,BATF2,C1S,CASP1,CCRL2,CD47,CD74,CMPK2,CSF1,CXCL11,DDX60,DHX58,ELF1,EPSTI1,GBP2,GBP4,GMPR,HERC6,HLA-C,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFITM2,IFITM3,IL15,IL4R,IL7,IRF1,IRF2,IRF9,LAMP3,LAP3,LGALS3BP,LPAR6,LY6E,MX1,NMI,NUB1,OASL,PARP12,PARP9,PLSCR1,PSMB8,PSME1,RSAD2,RTP4,SAMD9,SAMD9L,SELL,SLC25A28,SP110,STAT2,TMEM140,TRIM14,TRIM21,TRIM26,TRIM5,TXNIP,UBA7,UBE2L6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.3e-22	3.3e-21	4847	200	103	23467	ABCA1,AREG,BCL2A1,BIRC2,BIRC3,BMP2,BTG1,BTG2,BTG3,CCL2,CCL4,CCL5,CCRL2,CD44,CD69,CD80,CD83,CDKN1A,CFLAR,CSF1,CSF2,CXCL1,CXCL11,CXCL2,CXCL3,DDX58,DRAM1,DUSP1,DUSP2,EDN1,EGR1,EGR2,EGR3,EHD1,EIF1,ETS2,F2RL1,FOS,FOSB,GADD45A,GEM,GPR183,HBEGF,ICOSLG,IFIH1,IFIT2,IL12B,IL15RA,IL18,IL1A,IL7R,IRF1,JAG1,JUNB,KLF10,KLF2,KLF4,KLF6,KLF9,KYNU,LAMB3,LDLR,LITAF,MAP2K3,MAP3K8,MCL1,MYC,NFE2L2,NFKB1,NFKB2,NFKBIE,NR4A2,NR4A3,OLR1,PDE4B,PLEK,PLK2,PNRC1,PPP1R15A,PTGER4,PTX3,RCAN1,RELB,RNF19B,SAT1,SDC4,SERPINB2,SERPINB8,SGK1,SOD2,STAT5A,TANK,TLR2,TNF,TNFAIP3,TNFAIP8,TNFRSF9,TNFSF9,TNIP1,TRAF1,TSC22D1,ZC3H12A,ZFP36
HALLMARK_KRAS_SIGNALING_UP	2.2e-20	1.8e-19	4847	200	100	23467	ABCB1,ACE,ANKH,ANO1,ANXA10,BIRC3,BMP2,BPGM,BTC,C3AR1,CA2,CAB39L,CBR4,CCND2,CD37,CDADC1,CFH,CLEC4A,CMKLR1,CROT,CSF2,CTSS,CXCR4,DOCK2,EMP1,ENG,EPB41L3,ETS1,ETV1,F13A1,F2RL1,FBXO4,FCER1G,FLT4,FUCA1,GALNT3,GPNMB,GYPC,HBEGF,HDAC9,HKDC1,HSD11B1,IKZF1,IL10RA,IL2RG,IL33,IL7R,IRF8,ITGA2,ITGB2,ITGBL1,KCNN4,KLF4,LAPTM5,LAT2,LCP1,LY96,MAFB,MAP3K1,MAP4K1,MPZL2,MTMR10,NAP1L2,NR1H4,PDCD1LG2,PECAM1,PEG3,PIGR,PPBP,PPP1R15A,PRDM1,PSMB8,PTPRR,RABGAP1L,RBP4,RELN,RETN,RGS16,SATB1,SDCCAG8,SEMA3B,SERPINA3,SLPI,SOX9,SPARCL1,SPON1,SPRY2,ST6GAL1,TFPI,TLR8,TMEM100,TNFAIP3,TNFRSF1B,TNNT2,TRAF1,TSPAN1,TSPAN7,VWA5A,WNT7A,ZNF277
HALLMARK_COMPLEMENT	1.2e-18	8.7e-18	4847	200	97	23467	ACTN2,ANG,ANXA5,APOBEC3F,APOBEC3G,APOC1,C1QA,C1QC,C1R,C1S,C2,C3,CA2,CALM1,CASP1,CASP10,CASP4,CCL5,CD36,CD40LG,CD59,CDH13,CFH,CLU,CR1,CR2,CSRP1,CTSB,CTSC,CTSD,CTSH,CTSO,CTSS,CXCL1,DOCK10,DOCK4,EHD1,ERAP2,F8,FCER1G,FCN1,GATA3,GNAI2,GNG2,GNGT2,GP1BA,GP9,GRB2,GZMA,GZMK,HNF4A,IRF1,IRF2,ITGAM,JAK2,KLKB1,KYNU,L3MBTL4,LAP3,LCK,LCP2,LGALS3,LGMN,LIPA,LRP1,LTA4H,LTF,LYN,NOTCH4,OLR1,PCSK9,PHEX,PIK3CG,PIK3R5,PIM1,PLA2G7,PLEK,PLG,PLSCR1,PPP2CB,PRCP,PRSS36,RASGRP1,RHOG,SERPINA1,SERPINB2,SERPINC1,SERPING1,SH2B3,SPOCK2,TIMP2,TNFAIP3,VCPIP1,WAS,XPNPEP1,ZEB1,ZFPM2
HALLMARK_IL2_STAT5_SIGNALING	4.5e-18	2.8e-17	4847	200	96	23467	ABCB1,ADAM19,AGER,AHNAK,AHR,AKAP2,ANXA4,BCL2,BCL2L1,BMP2,BMPR2,CA2,CAPG,CAPN3,CCND2,CCND3,CCR4,CD44,CD48,CD79B,CD81,CD83,CD86,CDC42SE2,CISH,CSF1,CSF2,CST7,CTLA4,CTSZ,ECM1,EMP1,EOMES,F2RL2,FAH,FGL2,FLT3LG,GABARAPL1,GATA1,GBP4,GLIPR2,GPR65,GSTO1,HOPX,ICOS,IFITM3,IFNGR1,IL10,IL10RA,IL18R1,IL1RL1,IL2RB,IL4R,IRF4,IRF8,ITGA6,ITIH5,KLF6,LRRC8C,LTB,MAP3K8,MAP6,MAPKAPK2,MUC1,MYC,PIM1,PLAGL1,PLSCR1,PRKCH,PRNP,PTCH1,PTGER2,PTH1R,RABGAP1L,RGS16,RNH1,RORA,SELL,SELP,SERPINB6,SERPINC1,SHE,SLC39A8,SMPDL3A,SOCS2,SWAP70,SYNGR2,TGM2,TIAM1,TLR7,TNFRSF1B,TNFRSF8,TNFRSF9,TNFSF10,TRAF1,WLS
HALLMARK_P53_PATHWAY	1.6e-17	8.9e-17	4847	200	95	23467	ABHD4,AK1,BAIAP2,BLCAP,BMP2,BTG1,BTG2,CASP1,CCND2,CCND3,CCNG1,CD81,CD82,CDH13,CDKN1A,CDKN2AIP,CDKN2B,CEBPA,CLCA2,CTSD,CTSF,CYFIP2,DDB2,DEF6,DGKA,DRAM1,EPHA2,ERCC5,F2R,FAS,FDXR,FOS,FUCA1,GADD45A,GM2A,HBEGF,HMOX1,IFI30,IL1A,ISCU,ITGB4,KLF4,KRT17,LRMP,MAPKAPK3,MDM2,MXD4,NOTCH1,PDGFA,PHLDA3,PLK2,PLK3,POLH,PPP1R15A,PRMT2,RALGDS,RAP2B,RB1,RCHY1,RETSAT,RGS16,RNF19B,RPS12,RPS27L,RRAD,RXRA,S100A10,SAT1,SESN1,SFN,SLC35D1,SP1,STEAP3,STOM,TAX1BP3,TCN2,TGFA,TGFB1,TM4SF1,TM7SF3,TNFSF9,TNNI1,TOB1,TP63,TSC22D1,TXNIP,VAMP8,VDR,VWA5A,WWP1,XPC,ZBTB16,ZFP36L1,ZMAT3,ZNF365
HALLMARK_IL6_JAK_STAT3_SIGNALING	1.1e-14	5.4e-14	4847	87	51	23467	A2M,ACVRL1,CCR1,CD14,CD36,CD44,CNTFR,CSF1,CSF2,CSF2RB,CXCL1,CXCL11,CXCL13,CXCL3,EBI3,FAS,GRB2,HMOX1,IFNAR1,IFNGR1,IL12RB1,IL13RA1,IL15RA,IL17RA,IL18R1,IL1R1,IL2RG,IL4R,IL7,IRF1,IRF9,ITGA4,ITGB3,LEPR,LTB,MAP3K8,MYD88,PDGFC,PF4,PIK3R5,PIM1,PLA2G2A,PTPN1,REG1A,STAM2,STAT2,TGFB1,TLR2,TNF,TNFRSF1A,TNFRSF1B
