#hypeR	v1.3.1
#Signature Head	A2M,A2ML1,AADAC,AASS,ABAT,ABCA10
#Signature Size	5017
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.6e-57	1.3e-55	5017	200	148	23467	ADAR,APOL6,ARID5B,AUTS2,B2M,BANK1,BATF2,BPGM,BST2,BTG1,C1R,C1S,CASP1,CASP4,CASP7,CASP8,CCL2,CCL5,CD38,CD40,CD69,CD74,CD86,CDKN1A,CFB,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL11,DDX58,DDX60,DHX58,EIF4E3,EPSTI1,FAS,FCGR1A,FGL2,FPR1,GBP4,GCH1,GPR18,GZMA,HERC6,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-DRB1,HLA-G,ICAM1,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IFITM2,IFITM3,IFNAR2,IL10RA,IL15RA,IL18BP,IL2RB,IL4R,IL7,IRF1,IRF2,IRF4,IRF5,IRF7,IRF8,IRF9,ISG20,ITGB7,JAK2,KLRK1,LAP3,LATS2,LCP2,LGALS3BP,LY6E,MVP,MX1,MYD88,NFKB1,NFKBIA,NLRC5,NMI,NOD1,OAS2,OAS3,OASL,OGFR,P2RY14,PARP12,PARP14,PDE4B,PLSCR1,PML,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTPN1,PTPN6,RIPK1,RSAD2,RTP4,SAMD9L,SAMHD1,SECTM1,SELP,SERPING1,SLAMF7,SOD2,SP110,SRI,SSPN,ST3GAL5,ST8SIA4,STAT1,STAT2,STAT3,STAT4,TAP1,TAPBP,TNFAIP3,TNFSF10,TRAFD1,TRIM14,TRIM21,TRIM26,TXNIP,UBE2L6,VAMP5,VAMP8,VCAM1,WARS,XAF1,ZBP1,ZNFX1
HALLMARK_ALLOGRAFT_REJECTION	3.5e-37	8.7e-36	5017	200	126	23467	AKT1,B2M,BCL10,BCL3,C2,CAPG,CCL11,CCL19,CCL2,CCL22,CCL5,CCR1,CCR2,CCR5,CD1D,CD2,CD247,CD28,CD3D,CD3E,CD3G,CD4,CD40,CD40LG,CD47,CD7,CD74,CD79A,CD80,CD86,CD8A,CD96,CFP,CRTAM,CSF1,CSK,CTSS,CXCL13,CXCR3,DYRK3,ELANE,ETS1,FAS,FASLG,FCGR2B,FGR,GBP2,GPR65,GZMA,HCLS1,HLA-A,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DRA,HLA-E,HLA-G,ICAM1,ICOSLG,IFNAR2,IFNGR1,IFNGR2,IGSF6,IKBKB,IL10,IL12B,IL12RB1,IL13,IL16,IL18,IL18RAP,IL1B,IL2,IL2RA,IL2RB,IL2RG,IL4R,IL7,IRF4,IRF7,IRF8,ITGAL,ITGB2,ITK,JAK2,LCK,LCP2,LTB,LY75,LY86,LYN,MAP4K1,NCF4,NCK1,NCR1,NLRP3,PRF1,PRKCB,PSMB10,PTPN6,PTPRC,SIT1,SOCS5,SPI1,SRGN,ST8SIA4,STAB1,STAT1,STAT4,TAP1,TAP2,TAPBP,TGFB1,THY1,TIMP1,TLR1,TLR2,TLR3,TLR6,TNF,TRAT1,WARS,WAS,ZAP70
HALLMARK_INFLAMMATORY_RESPONSE	4.9e-34	8.2e-33	5017	200	122	23467	AHR,APLNR,AQP9,ATP2C1,AXL,BDKRB1,BST2,BTG2,C3AR1,C5AR1,CCL17,CCL2,CCL20,CCL22,CCL24,CCL5,CCR7,CCRL2,CD14,CD40,CD48,CD69,CD82,CDKN1A,CMKLR1,CSF1,CSF3,CSF3R,CX3CL1,CXCL11,CXCL6,CXCR6,CYBB,EBI3,EMP3,FFAR2,FPR1,GCH1,GNA15,GP1BA,GPR132,GPR183,HAS2,HPN,ICAM1,ICAM4,ICOSLG,IFNAR1,IFNGR2,IL10,IL10RA,IL12B,IL15RA,IL18,IL18R1,IL18RAP,IL1A,IL1B,IL1R1,IL2RB,IL4R,IL7R,IRAK2,IRF1,IRF7,KCNA3,LAMP3,LCK,LCP2,LTA,LY6E,LYN,MEFV,MEP1A,NDP,NFKB1,NFKBIA,NLRP3,NMI,NMUR1,NOD2,OLR1,P2RX7,P2RY2,PCDH7,PDE4B,PIK3R5,PSEN1,PTAFR,PTGER2,PTGER4,PTGIR,PTPRE,RASGRP1,RELA,RGS16,RHOG,RNF144B,ROS1,RTP4,SCARF1,SCN1B,SELE,SELL,SEMA4D,SGMS2,SLAMF1,SLC1A2,SLC31A2,SLC4A4,SRI,STAB1,TAPBP,TIMP1,TLR1,TLR2,TLR3,TNFRSF1B,TNFRSF9,TNFSF10,TNFSF15,VIP
HALLMARK_INTERFERON_ALPHA_RESPONSE	5.6e-33	7e-32	5017	97	76	23467	ADAR,B2M,BATF2,BST2,C1S,CASP1,CASP8,CCRL2,CD47,CD74,CMPK2,CNP,CSF1,CXCL11,DDX60,DHX58,ELF1,EPSTI1,GBP2,GBP4,HERC6,HLA-C,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFITM2,IFITM3,IL4R,IL7,IRF1,IRF2,IRF7,IRF9,ISG20,LAMP3,LAP3,LGALS3BP,LPAR6,LY6E,MX1,NCOA7,NMI,NUB1,OASL,OGFR,PARP12,PARP14,PARP9,PLSCR1,PSMB8,PSMB9,PSME1,PSME2,RSAD2,RTP4,SAMD9,SAMD9L,SELL,SP110,STAT2,TAP1,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM26,TRIM5,TXNIP,UBA7,UBE2L6,WARS
HALLMARK_COMPLEMENT	3e-22	3e-21	5017	200	105	23467	APOBEC3F,APOBEC3G,C1QA,C1QC,C1R,C1S,C2,C3,CALM1,CALM3,CASP1,CASP10,CASP4,CASP7,CASP9,CBLB,CCL5,CD36,CD40LG,CD59,CEBPB,CFB,CFH,CP,CPM,CR1,CR2,CSRP1,CTSC,CTSD,CTSH,CTSO,CTSS,CXCL1,DOCK10,DOCK4,DOCK9,DUSP5,EHD1,F10,F5,FCER1G,FCN1,FDX1,GATA3,GCA,GNAI2,GNB2,GNG2,GNGT2,GP1BA,GRB2,GZMA,GZMK,HNF4A,IRF1,IRF2,IRF7,ITGAM,ITIH1,JAK2,KLKB1,KYNU,LAP3,LCK,LCP2,LGMN,LIPA,LTA4H,LTF,LYN,MMP13,NOTCH4,OLR1,PDP1,PIK3CA,PIK3CG,PIK3R5,PLA2G7,PLAT,PLEK,PLSCR1,PRCP,PRSS36,PSEN1,PSMB9,RABIF,RASGRP1,RHOG,S100A12,S100A9,SERPINA1,SERPINB2,SERPING1,SH2B3,SPOCK2,SRC,STX4,TIMP1,TIMP2,TNFAIP3,USP15,USP8,VCPIP1,WAS
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.1e-18	9e-18	5017	200	99	23467	B4GALT5,BCL2A1,BCL3,BCL6,BHLHE40,BIRC2,BIRC3,BMP2,BTG1,BTG2,CCL2,CCL20,CCL5,CCND1,CCNL1,CCRL2,CD69,CD80,CD83,CDKN1A,CEBPB,CFLAR,CSF1,CXCL1,CXCL11,CXCL2,CXCL6,DDX58,DRAM1,DUSP5,EHD1,G0S2,GADD45A,GCH1,GPR183,HES1,ICAM1,ICOSLG,IER5,IFIH1,IFIT2,IFNGR2,IL12B,IL15RA,IL18,IL1A,IL1B,IL23A,IL7R,IRF1,JUNB,KLF10,KLF2,KLF4,KYNU,LITAF,MAP2K3,MAP3K8,MCL1,NFKB1,NFKB2,NFKBIA,NFKBIE,NINJ1,NR4A2,NR4A3,OLR1,PANX1,PDE4B,PHLDA1,PLEK,PMEPA1,PNRC1,PTGER4,PTPRE,RELA,RELB,RNF19B,SAT1,SDC4,SERPINB2,SERPINB8,SLC2A6,SMAD3,SNN,SOD2,STAT5A,TANK,TAP1,TLR2,TNF,TNFAIP3,TNFAIP8,TNFRSF9,TNIP1,TRAF1,TRIB1,TRIP10,ZC3H12A
HALLMARK_IL2_STAT5_SIGNALING	1.4e-17	1e-16	5017	200	97	23467	ABCB1,ADAM19,AGER,AHR,AKAP2,AMACR,BATF,BCL2,BCL2L1,BHLHE40,BMP2,BMPR2,CAPG,CAPN3,CCR4,CD48,CD79B,CD81,CD83,CD86,CDC42SE2,CDKN1C,CISH,CSF1,CST7,CTLA4,CTSZ,DHRS3,ECM1,EMP1,FAM126B,FGL2,FLT3LG,GALM,GATA1,GBP4,GLIPR2,GPR65,HOPX,ICOS,IFITM3,IFNGR1,IKZF2,IKZF4,IL10,IL10RA,IL13,IL18R1,IL1R2,IL1RL1,IL2RA,IL2RB,IL4R,IRF4,IRF8,ITIH5,LRRC8C,LTB,MAP3K8,MAPKAPK2,MUC1,MYO1E,NFKBIZ,PHLDA1,PLEC,PLSCR1,PRKCH,PRNP,PTGER2,PTH1R,RABGAP1L,RGS16,RHOH,SELL,SELP,SERPINB6,SH3BGRL2,SHE,SLC39A8,SMPDL3A,SNX14,SPRED2,SWAP70,SYNGR2,SYT11,TGM2,TLR7,TNFRSF18,TNFRSF1B,TNFRSF21,TNFRSF4,TNFRSF8,TNFRSF9,TNFSF10,TNFSF11,TRAF1,XBP1
HALLMARK_IL6_JAK_STAT3_SIGNALING	2.4e-13	1.5e-12	5017	87	50	23467	A2M,ACVRL1,BAK1,CCR1,CD14,CD36,CD38,CSF1,CSF2RB,CSF3R,CXCL1,CXCL11,CXCL13,EBI3,FAS,GRB2,IFNAR1,IFNGR1,IFNGR2,IL10RB,IL12RB1,IL15RA,IL18R1,IL1B,IL1R1,IL1R2,IL2RA,IL2RG,IL4R,IL7,IRF1,IRF9,LEPR,LTB,MAP3K8,MYD88,PIK3R5,PLA2G2A,PTPN1,STAM2,STAT1,STAT2,STAT3,TGFB1,TLR2,TNF,TNFRSF1A,TNFRSF1B,TNFRSF21,TYK2
HALLMARK_KRAS_SIGNALING_UP	1.3e-11	7.2e-11	5017	200	85	23467	ABCB1,ADAM8,AKT2,ALDH1A3,ANO1,APOD,BIRC3,BMP2,BPGM,C3AR1,CAB39L,CCL20,CD37,CFB,CFH,CLEC4A,CMKLR1,CPE,CROT,CTSS,CXCR4,DOCK2,EMP1,ENG,ETS1,F13A1,FBXO4,FCER1G,FLT4,FUCA1,G0S2,GLRX,GNG11,GYPC,HKDC1,IKZF1,IL10RA,IL1B,IL2RG,IL33,IL7R,IRF8,ITGB2,ITGBL1,KCNN4,KLF4,LAPTM5,LAT2,LCP1,LY96,MAFB,MALL,MAP4K1,MMP10,MPZL2,MTMR10,PECAM1,PEG3,PIGR,PLAT,PLVAP,PRDM1,PRRX1,PSMB8,RABGAP1L,RETN,RGS16,SCN1B,SERPINA3,SLPI,SPON1,ST6GAL1,TFPI,TLR8,TMEM176A,TMEM176B,TNFAIP3,TNFRSF1B,TRAF1,TRIB1,TRIB2,TSPAN1,TSPAN13,VWA5A,ZNF639
HALLMARK_COAGULATION	1.5e-09	7.6e-09	5017	138	61	23467	A2M,ACOX2,APOC2,C1QA,C1R,C1S,C2,C3,CAPN2,CAPN5,CASP9,CFB,CFD,CFH,CFI,COMP,CSRP1,CTSE,CTSH,CTSK,CTSO,F10,F11,FBN1,FGG,GNB2,GNG12,GP1BA,HNF4A,HPN,ISCU,ITIH1,KLKB1,LGMN,LTA4H,MEP1A,MMP10,MMP2,MMP7,MSRB2,OLR1,P2RY1,PECAM1,PLAT,PLEK,PROS1,RABIF,RAC1,RAPGEF3,RGN,SERPINA1,SERPINB2,SERPING1,SH2B2,SIRT2,SPARC,TF,THBD,THBS1,TIMP1,VWF
