#hypeR	v1.3.1
#Signature Head	A2M,A4GALT,AACS,AADAC,ABCA1,ABCA12
#Signature Size	4881
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_INFLAMMATORY_RESPONSE	3.6e-47	1.8e-45	4881	200	136	23467	ABCA1,ABI1,ADM,ADORA2B,ADRM1,AHR,APLNR,AQP9,ATP2A2,BDKRB1,BST2,C3AR1,C5AR1,CALCRL,CCL17,CCL2,CCL20,CCL22,CCL24,CCL5,CCR7,CCRL2,CD14,CD40,CD48,CD55,CD69,CD70,CD82,CDKN1A,CLEC5A,CMKLR1,CSF1,CSF3,CX3CL1,CXCL11,CXCL6,CXCL9,CXCR6,CYBB,EBI3,EDN1,EMP3,F3,FPR1,GCH1,GNA15,GNAI3,GP1BA,GPR132,GPR183,HBEGF,HIF1A,HRH1,ICAM1,ICOSLG,IFITM1,IFNAR1,IFNGR2,IL10,IL10RA,IL12B,IL15,IL15RA,IL18,IL18R1,IL18RAP,IL1A,IL1B,IL1R1,IL2RB,IL4R,IL6,IL7R,IRAK2,IRF1,ITGA5,ITGB3,KCNJ2,KLF6,LCK,LCP2,LDLR,LIF,LTA,LY6E,LYN,MARCO,MEFV,MSR1,NAMPT,NFKB1,NFKBIA,NMI,NOD2,OLR1,OSM,OSMR,P2RX4,PCDH7,PLAUR,PTAFR,PTGER2,PTGIR,PTPRE,PVR,RASGRP1,RELA,RGS1,RGS16,RHOG,RIPK2,RNF144B,RTP4,SCARF1,SCN1B,SELE,SELL,SGMS2,SLAMF1,SLC31A1,SLC31A2,SLC7A2,SPHK1,TACR1,TAPBP,TIMP1,TLR1,TLR2,TLR3,TNFRSF1B,TNFRSF9,TNFSF10,TNFSF15,TNFSF9,TPBG
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.4e-45	5.9e-44	4881	200	134	23467	ABCA1,B4GALT1,B4GALT5,BCL2A1,BCL3,BHLHE40,BIRC3,BMP2,CCL2,CCL20,CCL4,CCL5,CCND1,CCRL2,CD44,CD69,CD83,CDKN1A,CEBPD,CFLAR,CSF1,CSF2,CXCL1,CXCL11,CXCL2,CXCL3,CXCL6,DRAM1,DUSP4,DUSP5,EDN1,EFNA1,EGR2,EHD1,EIF1,ETS2,F2RL1,F3,FOS,FOSL1,FUT4,G0S2,GADD45A,GADD45B,GCH1,GEM,GFPT2,GPR183,HBEGF,HES1,ICAM1,ICOSLG,ID2,IER2,IER3,IER5,IFNGR2,IL12B,IL15RA,IL18,IL1A,IL1B,IL6,IL7R,IRF1,JUNB,KLF10,KLF2,KLF4,KLF6,KLF9,KYNU,LDLR,LIF,LITAF,MAFF,MAP3K8,MCL1,MSC,NAMPT,NFE2L2,NFKB1,NFKB2,NFKBIA,NFKBIE,NINJ1,OLR1,PDLIM5,PFKFB3,PHLDA1,PHLDA2,PLAU,PLAUR,PLEK,PLK2,PMEPA1,PNRC1,PTPRE,RCAN1,RELA,RELB,RHOB,RIPK2,RNF19B,SAT1,SDC4,SERPINB8,SGK1,SIK1,SLC2A3,SLC2A6,SOCS3,SOD2,SPHK1,SPSB1,TANK,TAP1,TIPARP,TLR2,TNC,TNF,TNFAIP2,TNFAIP3,TNFAIP8,TNFRSF9,TNFSF9,TNIP1,TRAF1,TRIB1,TRIP10,TSC22D1,YRDC,ZC3H12A,ZFP36
HALLMARK_ALLOGRAFT_REJECTION	7.8e-42	1.3e-40	4881	200	130	23467	ABI1,AKT1,B2M,BCAT1,BCL10,BCL3,C2,CAPG,CCL11,CCL19,CCL2,CCL22,CCL4,CCL5,CCND3,CCR1,CCR2,CCR5,CD1D,CD2,CD247,CD3D,CD3E,CD4,CD40,CD40LG,CD47,CD7,CD74,CD86,CD8A,CD8B,CD96,CFP,CRTAM,CSF1,CTSS,CXCL9,CXCR3,DARS,EGFR,EIF3J,EIF5A,ELANE,ETS1,FAS,FASLG,FGR,GALNT1,GBP2,GCNT1,GPR65,GZMA,GZMB,HCLS1,HIF1A,HLA-A,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DRA,HLA-E,ICAM1,ICOSLG,IFNAR2,IFNG,IFNGR1,IFNGR2,IGSF6,IL10,IL12B,IL12RB1,IL15,IL16,IL18,IL18RAP,IL1B,IL27RA,IL2RA,IL2RB,IL2RG,IL4R,IL6,IL7,IRF8,ITGAL,ITGB2,ITK,JAK2,KRT1,LCK,LCP2,LIF,LTB,LY86,LYN,NCF4,NCR1,NME1,PF4,PRF1,PRKCB,PSMB10,PTPRC,RARS,RIPK2,RPL39,RPS19,SIT1,SPI1,SRGN,STAT4,TAP1,TAP2,TAPBP,TGFB1,TIMP1,TLR1,TLR2,TLR3,TLR6,TNF,TPD52,TRAT1,UBE2D1,UBE2N,WARS,WAS
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.8e-34	2.2e-33	4881	200	121	23467	ACAA1,ACADSB,ACO2,ATP1B1,ATP6AP1,ATP6V0B,ATP6V0E1,ATP6V1D,ATP6V1E1,ATP6V1F,ATP6V1G1,BAX,CASP7,COX11,COX17,COX4I1,COX5A,COX6A1,COX6B1,COX6C,COX7A2,COX7A2L,COX7B,COX7C,COX8A,CPT1A,CYB5A,CYC1,CYCS,DECR1,DLST,ECHS1,ETFA,ETFB,ETFDH,FDX1,FH,FXN,GPI,GRPEL1,HADHA,HADHB,HCCS,HSD17B10,HTRA2,IDH1,IDH2,IDH3A,IDH3G,LDHA,MDH1,MDH2,MGST3,MRPL11,MRPL15,MRPL34,MRPL35,MRPS11,MRPS12,MRPS15,MRPS22,MRPS30,MTRR,NDUFA1,NDUFA2,NDUFA3,NDUFA4,NDUFA6,NDUFA8,NDUFA9,NDUFAB1,NDUFB1,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFC1,NDUFC2,NDUFS3,NDUFS4,NDUFS6,NDUFS7,NDUFS8,NDUFV1,NDUFV2,NQO2,OAT,OXA1L,PDHA1,PHB2,POR,RETSAT,SDHA,SDHB,SDHC,SDHD,SLC25A12,SLC25A3,SLC25A4,SLC25A5,SUCLG1,SURF1,TCIRG1,TIMM10,TIMM17A,TIMM8B,TIMM9,UQCR10,UQCR11,UQCRB,UQCRC1,UQCRC2,UQCRFS1,UQCRH,UQCRQ,VDAC1,VDAC2,VDAC3
HALLMARK_INTERFERON_GAMMA_RESPONSE	3.4e-32	3.4e-31	4881	200	118	23467	APOL6,ARL4A,B2M,BANK1,BATF2,BST2,C1R,C1S,CASP1,CASP4,CASP7,CCL2,CCL5,CD274,CD40,CD69,CD74,CD86,CDKN1A,CFB,CFH,CIITA,CMKLR1,CSF2RB,CXCL11,CXCL9,EIF4E3,FAS,FCGR1A,FGL2,FPR1,GBP4,GBP6,GCH1,GPR18,GZMA,HIF1A,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-DRB1,ICAM1,IDO1,IFI27,IFI30,IFITM2,IFITM3,IFNAR2,IL10RA,IL15,IL15RA,IL18BP,IL2RB,IL4R,IL6,IL7,IRF1,IRF5,IRF8,ITGB7,JAK2,KLRK1,LAP3,LCP2,LGALS3BP,LY6E,LYSMD2,METTL7B,MT2A,MVP,MYD88,NAMPT,NFKB1,NFKBIA,NMI,NOD1,OGFR,P2RY14,PFKP,PIM1,PLSCR1,PML,PNP,PSMA2,PSMA3,PSMB10,PSMB2,PSMB8,PSMB9,PSME1,PSME2,RBCK1,RIPK1,RIPK2,RTP4,SAMD9L,SECTM1,SELP,SLC25A28,SOCS3,SOD2,STAT4,TAP1,TAPBP,TNFAIP2,TNFAIP3,TNFSF10,TOR1B,TRIM14,TRIM21,TRIM26,UBE2L6,UPP1,VAMP5,VAMP8,VCAM1,WARS
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.9e-31	1.6e-30	4881	200	117	23467	ACTA2,ADAM12,ANPEP,BDNF,BGN,BMP1,CADM1,CALD1,CAPG,CD44,CD59,CDH11,COL12A1,COL16A1,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL5A1,COL5A2,COL5A3,COL6A2,COL6A3,CXCL1,CXCL12,CXCL6,DAB2,DCN,DKK1,ECM1,ECM2,EMP3,FAS,FBN1,FN1,FOXC2,FUCA1,FZD8,GADD45A,GADD45B,GEM,GJA1,GLIPR1,GREM1,HTRA1,ID2,IGFBP4,IL15,IL32,IL6,ITGA2,ITGA5,ITGAV,ITGB3,LAMA3,LAMC2,LGALS1,LOX,LOXL1,LOXL2,LRRC15,LUM,MFAP5,MGP,MMP1,MMP2,MMP3,MXRA5,MYL9,NID2,NNMT,NT5E,NTM,PLAUR,PLOD1,PLOD2,PLOD3,PMEPA1,PMP22,POSTN,PPIB,PRRX1,PTHLH,PVR,QSOX1,RGS4,RHOB,SAT1,SDC1,SDC4,SERPINE2,SERPINH1,SFRP4,SGCB,SGCD,SNAI2,SPARC,SPP1,TAGLN,TFPI2,TGFB1,TGFBI,TGM2,THBS1,THBS2,TIMP1,TNC,TNFAIP3,TNFRSF11B,TNFRSF12A,TPM1,TPM2,TPM4,VCAM1,VCAN,WIPF1
HALLMARK_MTORC1_SIGNALING	5.5e-30	3.9e-29	4881	200	115	23467	ACSL3,ACTR2,ACTR3,ADIPOR2,ALDOA,ARPC5L,ASNS,ATP2A2,ATP6V1D,BCAT1,BHLHE40,CACYBP,CALR,CANX,CD9,CDKN1A,CFP,COPS5,CORO1A,CTSC,CYB5B,CYP51A1,DAPP1,DDIT4,DHCR24,DHCR7,EBP,EDEM1,EEF1E1,EGLN3,EIF2S2,ELOVL5,ENO1,ETF1,FAM129A,FGL2,FKBP2,GAPDH,GBE1,GGA2,GLA,GLRX,GMPS,GOT1,GPI,HPRT1,HSPA5,HSPD1,HSPE1,IDH1,IDI1,IFI30,INSIG1,ITGB2,LDHA,LDLR,M6PR,MCM4,ME1,NAMPT,NFKBIB,NUPR1,PFKL,PGK1,PGM1,PIK3R3,PLOD2,PNO1,PNP,PPA1,PPIA,PRDX1,PSMA3,PSMA4,PSMC2,PSMC4,PSMC6,PSMD12,PSMD14,PSMG1,QDPR,RAB1A,RDH11,RPN1,RRM2,RRP9,SCD,SDF2L1,SEC11A,SERP1,SERPINH1,SHMT2,SKAP2,SLA,SLC1A4,SLC1A5,SLC2A1,SLC2A3,SLC37A4,SLC7A5,SLC9A3R1,SRD5A1,SSR1,STC1,STIP1,SYTL2,TBK1,TFRC,TOMM40,TPI1,TUBA4A,UCHL5,UFM1,VLDLR,WARS
HALLMARK_IL2_STAT5_SIGNALING	1.5e-28	9.1e-28	4881	200	113	23467	ABCB1,ADAM19,AHCY,AHR,AKAP2,ALCAM,AMACR,ANXA4,ARL4A,BATF,BHLHE40,BMP2,CAPG,CCND3,CCR4,CD44,CD48,CD81,CD83,CD86,CDCP1,CISH,COL6A1,CSF1,CSF2,CST7,CTLA4,CTSZ,DCPS,DHRS3,ECM1,EMP1,ETV4,FAH,FAM126B,FGL2,FLT3LG,GADD45B,GBP4,GLIPR2,GPR65,GSTO1,HOPX,ICOS,IFITM3,IFNGR1,IL10,IL10RA,IL18R1,IL1R2,IL1RL1,IL2RA,IL2RB,IL4R,IRF8,ITGAE,ITGAV,KLF6,LIF,LRRC8C,LTB,MAFF,MAP3K8,MAPKAPK2,MUC1,MYO1C,MYO1E,NDRG1,NFKBIZ,NOP2,NRP1,NT5E,P2RX4,PHLDA1,PIM1,PLSCR1,PNP,PRKCH,PRNP,PTGER2,PTRH2,RGS16,RHOB,RHOH,RNH1,RORA,RRAGD,S100A1,SELL,SELP,SERPINB6,SLC1A5,SLC2A3,SLC39A8,SMPDL3A,SNX9,SOCS2,SPP1,SPRY4,ST3GAL4,SWAP70,SYNGR2,TGM2,TLR7,TNFRSF18,TNFRSF1B,TNFRSF21,TNFRSF8,TNFRSF9,TNFSF10,TRAF1,TTC39B,UCK2
HALLMARK_ADIPOGENESIS	3.7e-25	2.1e-24	4881	200	108	23467	ABCA1,ACADS,ACO2,ADIPOQ,ADIPOR2,AGPAT3,AK2,ALDOA,ANGPTL4,APLP2,ARAF,ARL4A,ATP1B3,BCL2L13,C3,CAT,CD302,CDKN2C,CHCHD10,CIDEA,CMBL,CMPK1,COL15A1,COL4A1,COX6A1,COX7B,COX8A,CRAT,CYC1,DDT,DECR1,DGAT1,DHCR7,DHRS7,DHRS7B,DNAJC15,DRAM2,ECHS1,ELMOD3,EPHX2,ESRRA,ETFB,FABP4,FAH,FZD4,GADD45A,GBE1,GHITM,GPHN,GRPEL1,HADH,HSPB8,IDH1,IDH3A,IDH3G,IFNGR1,LAMA4,LEP,LPL,LTC4S,MDH2,ME1,MGLL,MGST3,MRAP,MRPL15,MTCH2,NDUFAB1,NDUFB7,NDUFS3,OMD,PFKFB3,PFKL,PGM1,PIM3,POR,PPARG,PQLC3,QDPR,REEP5,REEP6,RETSAT,RIOK3,RNF11,SCARB1,SCP2,SDHB,SDHC,SLC1A5,SLC25A1,SOD1,SORBS1,SPARCL1,STOM,SUCLG1,TALDO1,TANK,TKT,TOB1,TST,UBC,UCP2,UQCR10,UQCR11,UQCRC1,UQCRQ,VEGFB,YWHAG
HALLMARK_COMPLEMENT	1.7e-24	8.4e-24	4881	200	107	23467	ADAM9,ANXA5,APOC1,C1QA,C1QC,C1R,C1S,C2,C3,C4BPB,CALM1,CALM3,CASP1,CASP10,CASP4,CASP5,CASP7,CCL5,CD40LG,CD46,CD55,CD59,CDA,CDH13,CFB,CFH,COL4A2,CP,CPM,CR1,CTSB,CTSC,CTSD,CTSH,CTSO,CTSS,CXCL1,DGKH,DOCK9,DPP4,DUSP5,EHD1,ERAP2,F10,F3,F7,F8,FCER1G,FCN1,FDX1,FN1,GATA3,GNAI2,GNAI3,GNB2,GNG2,GP1BA,GRB2,GZMA,GZMB,GZMK,HSPA5,IL6,IRF1,ITGAM,JAK2,KYNU,LAMP2,LAP3,LCK,LCP2,LGALS3,LIPA,LYN,MAFF,ME1,MMP13,OLR1,PDGFB,PFN1,PHEX,PIK3CG,PIM1,PLAUR,PLEK,PLSCR1,PPP2CB,PRCP,PRSS36,PSMB9,RABIF,RASGRP1,RCE1,RHOG,RNF4,S100A12,S100A13,S100A9,SERPINA1,SH2B3,STX4,TFPI2,TIMP1,TNFAIP3,USP8,VCPIP1,WAS
