#hypeR	v1.3.1
#Signature Head	A4GNT,AADAC,ABCA6,ABCA8,ABCC6,ABI3
#Signature Size	1329
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_ALLOGRAFT_REJECTION	8.1e-39	4e-37	1329	200	72	23467	B2M,CCL19,CCL2,CCL22,CCL5,CCR2,CCR5,CD1D,CD2,CD247,CD28,CD3D,CD3E,CD3G,CD40,CD40LG,CD7,CD74,CD79A,CD8A,CD8B,CD96,CFP,CRTAM,CSK,CTSS,CXCL13,CXCR3,FAS,FASLG,FCGR2B,FGR,GPR65,HCLS1,HLA-DMA,HLA-DMB,HLA-DOB,HLA-DQA1,HLA-DRA,HLA-E,ICOSLG,IFNGR1,IL12RB1,IL16,IL18RAP,IL1B,IL27RA,IL2RB,IL2RG,IL4R,IRF4,IRF8,ITGAL,ITK,LCK,LCP2,LTB,LY86,LYN,MAP4K1,NCF4,PRKCB,PTPRC,SIT1,SPI1,STAB1,THY1,TLR1,TLR2,TRAT1,WAS,ZAP70
HALLMARK_INTERFERON_GAMMA_RESPONSE	3.8e-17	9.4e-16	1329	200	47	23467	ARID5B,B2M,BANK1,C1R,C1S,CASP1,CCL2,CCL5,CD38,CD40,CD69,CD74,CFH,CIITA,CMKLR1,CSF2RB,FAS,GPR18,HLA-B,HLA-DMA,HLA-DQA1,HLA-DRB1,IFITM2,IL10RA,IL18BP,IL2RB,IL4R,IRF2,IRF4,IRF5,IRF8,ITGB7,LCP2,NLRC5,P2RY14,PELI1,PLA2G4A,SELP,SERPING1,SLAMF7,SOCS3,SP110,SSPN,ST3GAL5,TNFAIP2,VCAM1,ZBP1
HALLMARK_INFLAMMATORY_RESPONSE	2e-16	3.3e-15	1329	200	46	23467	BDKRB1,BTG2,CCL17,CCL2,CCL22,CCL5,CCR7,CD40,CD48,CD69,CMKLR1,CSF3,CSF3R,CXCR6,EBI3,EDN1,GPC3,GPR132,ICOSLG,IL10RA,IL18RAP,IL1B,IL1R1,IL2RB,IL4R,LAMP3,LCK,LCP2,LPAR1,LTA,LYN,NMUR1,NOD2,PIK3R5,PTGIR,RAF1,RGS1,RNF144B,SCARF1,SELL,SEMA4D,SLAMF1,STAB1,TLR1,TLR2,TNFRSF1B
HALLMARK_COMPLEMENT	2.3e-12	2.3e-11	1329	200	40	23467	ADRA2B,APOBEC3G,C1R,C1S,C3,CA2,CASP1,CASP10,CCL5,CD40LG,CFH,CPM,CR1,CSRP1,CTSC,CTSH,CTSS,DGKG,GNGT2,GZMK,IRF2,ITGAM,KCNIP2,KCNIP3,KYNU,L3MBTL4,LCK,LCP2,LTF,LYN,PDP1,PIK3R5,PLA2G4A,PLA2G7,PLEK,PRSS36,RAF1,SERPING1,USP15,WAS
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.3e-12	2.3e-11	1329	200	40	23467	BCL2A1,BCL6,BIRC3,BTG2,CCL2,CCL5,CD69,CEBPD,CFLAR,CXCL2,CXCL3,DUSP1,DUSP2,EDN1,FUT4,GEM,ICOSLG,IL1B,KLF2,KYNU,LITAF,MAP3K8,MCL1,NFE2L2,NINJ1,NR4A3,PLEK,PTX3,RHOB,SAT1,SERPINB8,SGK1,SOCS3,STAT5A,TLR2,TNFAIP2,TNFAIP8,TRAF1,ZC3H12A,ZFP36
HALLMARK_IL6_JAK_STAT3_SIGNALING	3.4e-10	2.8e-09	1329	87	23	23467	ACVRL1,CD38,CNTFR,CSF2RB,CSF3R,CXCL13,CXCL3,EBI3,FAS,HMOX1,IFNGR1,IL12RB1,IL1B,IL1R1,IL2RG,IL4R,LTB,MAP3K8,PIK3R5,PLA2G2A,SOCS3,TLR2,TNFRSF1B
HALLMARK_IL2_STAT5_SIGNALING	8.5e-09	6.1e-08	1329	200	34	23467	ANXA4,BCL2,CA2,CAPN3,CCR4,CD48,CD79B,CTLA4,EMP1,GALM,GLIPR2,GPR65,ICOS,IFNGR1,IL10RA,IL2RB,IL4R,IRF4,IRF8,ITIH5,LTB,MAP3K8,NFKBIZ,PRKCH,PTH1R,RHOB,S100A1,SELL,SELP,SHE,SWAP70,TNFRSF18,TNFRSF1B,TRAF1
HALLMARK_XENOBIOTIC_METABOLISM	3e-08	1.9e-07	1329	200	33	23467	ACOX2,ADH1C,ALDH2,CA2,CAT,CES1,CYB5A,CYP27A1,CYP2E1,FAS,FBLN1,FBP1,FMO1,FMO3,GCKR,GSTM4,HMOX1,IGF1,IGFBP4,IL1R1,IRF8,KYNU,LCAT,NDRG2,NINJ1,PROS1,PTGDS,SLC12A4,SLC46A3,SLC6A12,TDO2,VNN1,XDH
HALLMARK_MYOGENESIS	1e-06	5.7e-06	1329	200	30	23467	APOD,BDKRB2,CASQ1,CFD,CHRNA1,CKMT2,COL15A1,COX7A1,FABP3,FXYD1,HRC,HSPB8,IGF1,IGFBP7,ITGA7,LAMA2,LDB3,LSP1,MEF2C,MRAS,MYBPC3,MYBPH,MYL3,NOTCH1,PTGIS,PYGM,SOD3,SSPN,TNNT2,TNNT3
HALLMARK_KRAS_SIGNALING_UP	3.1e-06	1.5e-05	1329	200	29	23467	APOD,BIRC3,CA2,CAB39L,CD37,CFH,CMKLR1,CTSS,DOCK2,EMP1,F13A1,GYPC,IL10RA,IL1B,IL2RG,IRF8,LY96,MAP4K1,MPZL2,NGF,PECAM1,PIGR,SERPINA3,SPARCL1,SPON1,ST6GAL1,TNFRSF1B,TNNT2,TRAF1
