#hypeR	v1.3.1
#Signature Head	AIG1,BAMBI,BCL9,C16orf92,C1orf158,C6orf118
#Signature Size	41
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_GLYCOLYSIS	0.0051	0.13	41	200	3	23467	IRS2,P4HA2,STMN1
HALLMARK_MTORC1_SIGNALING	0.0051	0.13	41	200	3	23467	SSR1,TRIB3,TUBA4A
HALLMARK_HEME_METABOLISM	0.048	0.6	41	200	2	23467	HBQ1,P4HA2
HALLMARK_HYPOXIA	0.048	0.6	41	200	2	23467	IRS2,P4HA2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.12	0.71	41	74	1	23467	TRIB3
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.17	0.71	41	105	1	23467	TRIB3
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.18	0.71	41	113	1	23467	SSR1
HALLMARK_DNA_REPAIR	0.23	0.71	41	150	1	23467	POLR2C
HALLMARK_UV_RESPONSE_UP	0.24	0.71	41	158	1	23467	TUBA4A
HALLMARK_MITOTIC_SPINDLE	0.29	0.71	41	199	1	23467	TUBA4A
HALLMARK_ADIPOGENESIS	0.3	0.71	41	200	1	23467	PEMT
HALLMARK_E2F_TARGETS	0.3	0.71	41	200	1	23467	STMN1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.3	0.71	41	200	1	23467	PVR
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.3	0.71	41	200	1	23467	DYNLT3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.3	0.71	41	200	1	23467	DYNLT3
HALLMARK_G2M_CHECKPOINT	0.3	0.71	41	200	1	23467	STMN1
HALLMARK_IL2_STAT5_SIGNALING	0.3	0.71	41	200	1	23467	LCLAT1
HALLMARK_INFLAMMATORY_RESPONSE	0.3	0.71	41	200	1	23467	PVR
HALLMARK_P53_PATHWAY	0.3	0.71	41	200	1	23467	TRIB3
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.3	0.71	41	200	1	23467	IRS2
HALLMARK_XENOBIOTIC_METABOLISM	0.3	0.71	41	200	1	23467	PEMT
HALLMARK_ALLOGRAFT_REJECTION	1	1	41	200	0	23467	
HALLMARK_ANDROGEN_RESPONSE	1	1	41	100	0	23467	
HALLMARK_ANGIOGENESIS	1	1	41	36	0	23467	
HALLMARK_APICAL_JUNCTION	1	1	41	200	0	23467	
HALLMARK_APICAL_SURFACE	1	1	41	44	0	23467	
HALLMARK_APOPTOSIS	1	1	41	161	0	23467	
HALLMARK_BILE_ACID_METABOLISM	1	1	41	112	0	23467	
HALLMARK_COAGULATION	1	1	41	138	0	23467	
HALLMARK_COMPLEMENT	1	1	41	200	0	23467	
HALLMARK_FATTY_ACID_METABOLISM	1	1	41	158	0	23467	
HALLMARK_HEDGEHOG_SIGNALING	1	1	41	36	0	23467	
HALLMARK_IL6_JAK_STAT3_SIGNALING	1	1	41	87	0	23467	
HALLMARK_INTERFERON_ALPHA_RESPONSE	1	1	41	97	0	23467	
HALLMARK_INTERFERON_GAMMA_RESPONSE	1	1	41	200	0	23467	
HALLMARK_KRAS_SIGNALING_DN	1	1	41	200	0	23467	
HALLMARK_KRAS_SIGNALING_UP	1	1	41	200	0	23467	
HALLMARK_MYC_TARGETS_V1	1	1	41	200	0	23467	
HALLMARK_MYC_TARGETS_V2	1	1	41	58	0	23467	
HALLMARK_MYOGENESIS	1	1	41	200	0	23467	
HALLMARK_NOTCH_SIGNALING	1	1	41	32	0	23467	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1	1	41	200	0	23467	
HALLMARK_PANCREAS_BETA_CELLS	1	1	41	40	0	23467	
HALLMARK_PEROXISOME	1	1	41	104	0	23467	
HALLMARK_PROTEIN_SECRETION	1	1	41	96	0	23467	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1	1	41	49	0	23467	
HALLMARK_SPERMATOGENESIS	1	1	41	135	0	23467	
HALLMARK_TGF_BETA_SIGNALING	1	1	41	54	0	23467	
HALLMARK_UV_RESPONSE_DN	1	1	41	144	0	23467	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1	1	41	42	0	23467	
