#hypeR	v1.3.1
#Signature Head	ANKRD55,COBL,FBLN1,FST,NR1H3,UST
#Signature Size	6
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.05	0.83	6	200	1	23467	FBLN1
HALLMARK_MYOGENESIS	0.05	0.83	6	200	1	23467	FST
HALLMARK_XENOBIOTIC_METABOLISM	0.05	0.83	6	200	1	23467	FBLN1
HALLMARK_ADIPOGENESIS	1	1	6	200	0	23467	
HALLMARK_ALLOGRAFT_REJECTION	1	1	6	200	0	23467	
HALLMARK_ANDROGEN_RESPONSE	1	1	6	100	0	23467	
HALLMARK_ANGIOGENESIS	1	1	6	36	0	23467	
HALLMARK_APICAL_JUNCTION	1	1	6	200	0	23467	
HALLMARK_APICAL_SURFACE	1	1	6	44	0	23467	
HALLMARK_APOPTOSIS	1	1	6	161	0	23467	
HALLMARK_BILE_ACID_METABOLISM	1	1	6	112	0	23467	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1	1	6	74	0	23467	
HALLMARK_COAGULATION	1	1	6	138	0	23467	
HALLMARK_COMPLEMENT	1	1	6	200	0	23467	
HALLMARK_DNA_REPAIR	1	1	6	150	0	23467	
HALLMARK_E2F_TARGETS	1	1	6	200	0	23467	
HALLMARK_ESTROGEN_RESPONSE_EARLY	1	1	6	200	0	23467	
HALLMARK_ESTROGEN_RESPONSE_LATE	1	1	6	200	0	23467	
HALLMARK_FATTY_ACID_METABOLISM	1	1	6	158	0	23467	
HALLMARK_G2M_CHECKPOINT	1	1	6	200	0	23467	
HALLMARK_GLYCOLYSIS	1	1	6	200	0	23467	
HALLMARK_HEDGEHOG_SIGNALING	1	1	6	36	0	23467	
HALLMARK_HEME_METABOLISM	1	1	6	200	0	23467	
HALLMARK_HYPOXIA	1	1	6	200	0	23467	
HALLMARK_IL2_STAT5_SIGNALING	1	1	6	200	0	23467	
HALLMARK_IL6_JAK_STAT3_SIGNALING	1	1	6	87	0	23467	
HALLMARK_INFLAMMATORY_RESPONSE	1	1	6	200	0	23467	
HALLMARK_INTERFERON_ALPHA_RESPONSE	1	1	6	97	0	23467	
HALLMARK_INTERFERON_GAMMA_RESPONSE	1	1	6	200	0	23467	
HALLMARK_KRAS_SIGNALING_DN	1	1	6	200	0	23467	
HALLMARK_KRAS_SIGNALING_UP	1	1	6	200	0	23467	
HALLMARK_MITOTIC_SPINDLE	1	1	6	199	0	23467	
HALLMARK_MTORC1_SIGNALING	1	1	6	200	0	23467	
HALLMARK_MYC_TARGETS_V1	1	1	6	200	0	23467	
HALLMARK_MYC_TARGETS_V2	1	1	6	58	0	23467	
HALLMARK_NOTCH_SIGNALING	1	1	6	32	0	23467	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1	1	6	200	0	23467	
HALLMARK_P53_PATHWAY	1	1	6	200	0	23467	
HALLMARK_PANCREAS_BETA_CELLS	1	1	6	40	0	23467	
HALLMARK_PEROXISOME	1	1	6	104	0	23467	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1	1	6	105	0	23467	
HALLMARK_PROTEIN_SECRETION	1	1	6	96	0	23467	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1	1	6	49	0	23467	
HALLMARK_SPERMATOGENESIS	1	1	6	135	0	23467	
HALLMARK_TGF_BETA_SIGNALING	1	1	6	54	0	23467	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1	1	6	200	0	23467	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1	1	6	113	0	23467	
HALLMARK_UV_RESPONSE_DN	1	1	6	144	0	23467	
HALLMARK_UV_RESPONSE_UP	1	1	6	158	0	23467	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1	1	6	42	0	23467	
