#hypeR	v1.3.1
#Signature Head	ABAT,ABCA5,ABCA8,ABCC8,ABCG2,ABI2
#Signature Size	1132
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_XENOBIOTIC_METABOLISM	1.2e-07	5.9e-06	1132	200	29	23467	ACOX1,ACOX2,ACP2,ALDH2,ALDH3A1,ALDH9A1,AOX1,ARG2,ATOH8,CAT,CBR1,CDO1,CYP27A1,DHRS1,ENTPD5,ETS2,F10,FBLN1,GABARAPL1,GCNT2,GSTM4,IGF1,IL1R1,MAOA,MPP2,PDK4,PTGDS,SLC1A5,SLC22A1
HALLMARK_ANDROGEN_RESPONSE	1.3e-06	3.1e-05	1132	100	18	23467	ALDH1A3,APPBP2,ARID5B,AZGP1,BMPR1B,CCND1,CENPN,GPD1L,IQGAP2,KLK2,KLK3,LIFR,NCOA4,PMEPA1,RAB4A,SORD,SPCS3,TMPRSS2
HALLMARK_MYOGENESIS	1.3e-05	0.00022	1132	200	25	23467	AGL,APP,CACNA1H,CACNG1,CKB,CKMT2,EFS,EIF4A2,ERBB3,FKBP1B,GPX3,HSPB8,IGF1,ITGB4,LDB3,MEF2D,MYH11,MYLK,NOS1,PICK1,PLXNB2,PRNP,PYGM,RYR1,SSPN
HALLMARK_ESTROGEN_RESPONSE_EARLY	1e-04	0.001	1132	200	23	23467	ABAT,CANT1,CBFA2T3,CCND1,CELSR1,GFRA1,GREB1,HSPB8,IGF1R,KRT13,KRT15,LRIG1,MPPED2,MSMB,P2RY2,PGR,RET,SEC14L2,SLC22A5,SULT2B1,THSD4,WFS1,ZNF185
HALLMARK_KRAS_SIGNALING_DN	1e-04	0.001	1132	200	23	23467	ADRA2C,BMPR1B,CACNG1,CLDN8,CNTFR,CYP39A1,DLK2,EPHA5,GPRC5C,KRT13,KRT15,KRT4,KRT5,LFNG,LYPD3,NOS1,PDE6B,PDK2,PLAG1,RYR1,SIDT1,WNT16,ZBTB16
HALLMARK_APICAL_SURFACE	0.00021	0.0018	1132	44	9	23467	AKAP7,APP,ATP8B1,DCBLD2,GAS1,LYPD3,RHCG,SLC2A4,SRPX
HALLMARK_ADIPOGENESIS	0.00028	0.002	1132	200	22	23467	ACADL,ACADS,ACOX1,ALDH2,ANGPT1,BCKDHA,CAT,CD302,DBT,EPHX2,FZD4,G3BP2,GPX3,HSPB8,ITIH5,LIFR,LIPE,MYLK,ORM1,QDPR,SLC1A5,SSPN
HALLMARK_UV_RESPONSE_DN	0.00059	0.0037	1132	144	17	23467	ARHGEF9,ATP2C1,CAP2,F3,IGF1R,IRS1,LPAR1,MAGI2,MT1E,NFIB,NR3C1,PLCB4,SLC7A1,SNAI2,SPOP,TGFBR3,WDR37
HALLMARK_ESTROGEN_RESPONSE_LATE	7e-04	0.0039	1132	200	21	23467	ACOX2,ALDH3A2,CCND1,CKB,CPE,EMP2,GJB3,HMGCS2,HSPA4L,HSPB8,IGSF1,KRT13,PGR,RET,SERPINA5,SLC22A5,SORD,ST6GALNAC2,SULT2B1,TRIM29,WFS1
HALLMARK_PANCREAS_BETA_CELLS	0.0028	0.014	1132	40	7	23467	ABCC8,CHGA,DPP4,FOXO1,GCK,PAK3,SYT13
