#hypeR	v1.3.1
#Signature Head	AATF,ABHD12,ABHD4,ACAD9,ACAP3,ACD
#Signature Size	1392
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_E2F_TARGETS	1.6e-78	7.9e-77	1392	200	108	23467	AK2,ASF1B,AURKA,AURKB,BIRC5,BRCA1,BRCA2,BUB1B,CCNB2,CCNE1,CDC20,CDC25B,CDCA3,CDCA8,CDK1,CDK4,CDKN2A,CDKN2C,CDKN3,CENPE,CENPM,CHEK1,CHEK2,CIT,CKS1B,CKS2,CSE1L,DCLRE1B,DEPDC1,DIAPH3,DLGAP5,DNMT1,DONSON,E2F8,ESPL1,EXOSC8,EZH2,GINS1,GINS3,GINS4,H2AFX,H2AFZ,HELLS,HMGB2,HMGB3,HMMR,HNRNPD,KIF18B,KIF2C,KIF4A,KPNA2,LIG1,LMNB1,LYAR,MAD2L1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MELK,MKI67,MXD3,MYBL2,NAA38,NASP,NCAPD2,NME1,NUP107,PA2G4,PCNA,PHF5A,PLK1,PLK4,POLA2,POLD1,PPP1R8,PSMC3IP,PTTG1,RACGAP1,RAD1,RAD51AP1,RANBP1,RFC2,RNASEH2A,RPA3,RRM2,SLBP,SMC4,SNRPB,SPAG5,SPC24,SPC25,STMN1,SUV39H1,TACC3,TCF19,TIMELESS,TK1,TMPO,TOP2A,TRIP13,TUBB,TUBG1,UBE2S,UBE2T,UNG
HALLMARK_G2M_CHECKPOINT	2.1e-55	5.4e-54	1392	200	89	23467	AURKA,AURKB,BIRC5,BRCA2,BUB1,CBX1,CCNA2,CCNB2,CCNF,CDC20,CDC25B,CDC45,CDC6,CDC7,CDK1,CDK4,CDKN2C,CDKN3,CENPA,CENPE,CENPF,CHAF1A,CHEK1,CHMP1A,CKS1B,CKS2,DTYMK,E2F1,E2F2,E2F3,E2F4,ESPL1,EXO1,EZH2,FANCC,FBXO5,GINS2,H2AFX,H2AFZ,HMGB3,HMGN2,HMMR,HNRNPD,KIF11,KIF15,KIF2C,KIF4A,KPNA2,LMNB1,MAD2L1,MARCKS,MCM2,MCM3,MCM5,MCM6,MKI67,MNAT1,MTF2,MYBL2,NASP,NDC80,NEK2,NUSAP1,PBK,PLK1,PLK4,POLA2,POLQ,PRC1,PTTG1,PTTG3P,RACGAP1,RAD54L,SLC7A5,SMC4,SNRPD1,STIL,STMN1,SUV39H1,TACC3,TMPO,TNPO2,TOP2A,TPX2,TRAIP,TROAP,TTK,UBE2C,UBE2S
HALLMARK_MYC_TARGETS_V1	1.1e-33	1.9e-32	1392	200	68	23467	ACP1,AIMP2,AP3S1,CBX3,CCNA2,CDC20,CDC45,CDK2,CDK4,CLNS1A,COPS5,COX5A,CSTF2,ERH,H2AFZ,HNRNPA2B1,HNRNPD,HPRT1,HSPE1,KARS,KPNA2,LDHA,LSM2,LSM7,MAD2L1,MCM2,MCM4,MCM5,MCM6,MCM7,NDUFAB1,NME1,NOP16,PA2G4,PCNA,POLE3,PPIA,PPM1G,PSMA1,PSMA2,PSMA6,PSMA7,PSMB2,PSMB3,PSMC6,PSMD1,PSMD14,PSMD3,PSMD7,PWP1,RANBP1,RFC4,RRM1,RRP9,SET,SNRPA1,SNRPB2,SNRPD1,SNRPD2,SNRPD3,SNRPG,SRM,SSB,SSBP1,TARDBP,TXNL4A,TYMS,VDAC1
HALLMARK_MTORC1_SIGNALING	2.2e-16	2.8e-15	1392	200	47	23467	ALDOA,ARPC5L,ASNS,AURKA,BUB1,CACYBP,CCNF,COPS5,DDIT3,DHFR,ELOVL6,ENO1,G6PD,GAPDH,GLA,HPRT1,HSPE1,IFI30,LDHA,MCM2,MCM4,NFKBIB,PDAP1,PLK1,PNP,POLR3G,PPIA,PRDX1,PSMA3,PSMC2,PSMC6,PSMD12,PSMD14,PSMG1,RRM2,RRP9,SEC11A,SLC7A5,STIP1,TMEM97,TOMM40,TPI1,TRIB3,TUBG1,TXNRD1,UNG,YKT6
HALLMARK_MYC_TARGETS_V2	4.5e-10	4.5e-09	1392	58	19	23467	AIMP2,CBX3,CDK4,HSPE1,LAS1L,MCM4,MCM5,NIP7,NOP16,PA2G4,PLK1,PLK4,PUS1,RCL1,RRP9,SRM,SUPV3L1,TMEM97,UNG
HALLMARK_DNA_REPAIR	3.7e-09	3.1e-08	1392	150	30	23467	ADRM1,ARL6IP1,BOLA2,CCNO,COX17,CSTF3,FEN1,GTF2A2,GUK1,HPRT1,LIG1,NME1,PCNA,PNP,POLA2,POLD1,POLR2F,POLR2H,RAD51,RALA,RFC2,RFC4,RFC5,RPA3,SAC3D1,STX3,TAF12,TAF9,TYMS,ZWINT
HALLMARK_OXIDATIVE_PHOSPHORYLATION	7.7e-09	5.5e-08	1392	200	35	23467	AIFM1,ATP6V0B,ATP6V1E1,BAX,COX17,COX5A,COX6A1,COX6C,COX7B,CYCS,FH,GRPEL1,HSD17B10,HTRA2,LDHA,MRPL11,MRPL15,NDUFA4,NDUFAB1,NDUFB3,NDUFB4,NDUFB6,NDUFC2,PDHA1,PHYH,POLR2F,SUPV3L1,TIMM10,TIMM50,TIMM8B,TOMM22,UQCR11,UQCRH,UQCRQ,VDAC1
HALLMARK_MITOTIC_SPINDLE	7.8e-08	4.9e-07	1392	199	33	23467	ANLN,ARL8A,AURKA,BIRC5,BRCA2,BUB1,CCNB2,CDK1,CENPE,CENPF,DLGAP5,ECT2,ESPL1,FBXO5,KIF11,KIF15,KIF2C,KIF4A,KNTC1,LMNB1,MARCKS,NDC80,NEK2,NUSAP1,PIF1,PLK1,PRC1,RACGAP1,SAC3D1,SMC4,TOP2A,TPX2,TTK
HALLMARK_UV_RESPONSE_UP	6e-05	0.00033	1392	158	23	23467	ALDOA,ASNS,BTG1,CASP3,CCNE1,CDK2,CEBPG,EPCAM,FEN1,FGF18,GRPEL1,H2AFX,HMOX1,MAPK8IP2,PARP2,PDAP1,POLE3,POLR2H,PRPF3,RFC4,SHOX2,STIP1,YKT6
HALLMARK_GLYCOLYSIS	0.00014	0.00064	1392	200	26	23467	ALDOA,AURKA,B4GALT2,B4GALT4,CASP6,CDK1,CENPA,CLN6,DEPDC1,EFNA3,ENO1,G6PD,GALE,HMMR,IL13RA1,KIF20A,LDHA,NASP,PDK3,PPIA,SDC1,SPAG4,STMN1,TALDO1,TPI1,TXN
