#hypeR	v1.3.1
#Signature Head	A1BG,A2M,AAMP,AARSD1,ABAT,ABHD13
#Signature Size	2528
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_MYOGENESIS	4.6e-18	2.3e-16	2528	200	67	23467	ACHE,ACTC1,AEBP1,AGL,APLNR,APOD,BAG1,CACNA1H,CASQ1,CASQ2,CDKN1A,CKMT2,COL4A2,COX7A1,CRYAB,CTF1,DES,DMPK,EIF4A2,FST,FXYD1,GABARAPL2,HDAC5,HSPB2,HSPB8,IGFBP7,ITGA7,KCNH2,LDB3,MAPK12,MAPRE3,MEF2A,MEF2C,MEF2D,MRAS,MYH11,MYLK,MYO1C,MYOM1,MYOM2,MYOZ1,NCAM1,NOTCH1,NQO1,PDLIM7,PFKM,PICK1,PLXNB2,PPFIA4,PRNP,PSEN2,PYGM,REEP1,SCHIP1,SGCA,SH2B1,SMTN,SORBS1,SPEG,SSPN,ST5,SVIL,SYNGR2,TAGLN,TEAD4,TPD52L1,TPM2
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.3e-15	3.3e-14	2528	200	63	23467	ACAA1,ACADVL,ACO2,ATP6V0E1,ATP6V1D,ATP6V1E1,ATP6V1H,BDH2,COX15,COX17,COX4I1,COX5B,COX6C,COX7A2,COX7A2L,COX7C,CYB5R3,CYC1,ECH1,HADHA,HADHB,IDH2,ISCA1,ISCU,LDHB,MAOB,MDH1,MGST3,MRPL15,MRPL35,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA7,NDUFA8,NDUFB1,NDUFB4,NDUFB5,NDUFB8,NDUFC1,NDUFS2,NDUFS4,NDUFS8,NDUFV2,PDHB,PDHX,PHB2,SDHD,SLC25A11,SLC25A12,SLC25A20,SLC25A4,SUCLG1,SURF1,TIMM8B,TIMM9,UQCRB,UQCRC1,UQCRC2,UQCRH,VDAC2,VDAC3
HALLMARK_ADIPOGENESIS	1.2e-06	2e-05	2528	200	45	23467	ACO2,ACOX1,ALDH2,CCNG2,CD151,CHCHD10,CMBL,COQ9,CYC1,DGAT1,DHRS7,DNAJB9,DRAM2,ECH1,EPHX2,ESYT1,HADH,HIBCH,HSPB8,ITGA7,ITIH5,JAGN1,MGST3,MRAP,MRPL15,MTCH2,MYLK,NDUFA5,PDCD4,PIM3,PPM1B,PREB,PTGER3,RAB34,REEP5,RTN3,SLC27A1,SNCG,SORBS1,SPARCL1,SSPN,SUCLG1,TOB1,UQCRC1,VEGFB
HALLMARK_ESTROGEN_RESPONSE_LATE	3.8e-05	0.00038	2528	200	41	23467	ACOX2,ANXA9,ASS1,ATP2B4,BAG1,BCL2,CD9,CDH1,CELSR2,CHST8,COX6C,CPE,CXCL12,CXCL14,HR,HSPB8,IDH2,KRT19,LLGL2,LSR,LTF,MAPT,MOCS2,NAB2,OLFM1,PCP4,PDCD4,PDLIM3,PLXNB1,PTGER3,SCUBE2,SEMA3B,SLC24A3,SLC29A1,TJP3,TOB1,TPD52L1,TPSAB1,TSTA3,UNC13B,WFS1
HALLMARK_P53_PATHWAY	3.8e-05	0.00038	2528	200	41	23467	ABAT,ANKRA2,BLCAP,BTG2,CCND2,CCNG1,CD81,CDKN1A,CGRRF1,CTSF,CYFIP2,DDB2,DGKA,EI24,EPHX1,EPS8L2,FAM162A,FDXR,FGF13,GM2A,H2AFJ,HEXIM1,ISCU,JAG2,LDHB,MDM2,MXD4,NOTCH1,PHLDA3,PLXNB2,PRMT2,PVT1,RPL18,RPS27L,SERTAD3,SESN1,TOB1,TP53,TPD52L1,TSC22D1,VWA5A
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.00073	0.0061	2528	200	37	23467	ABAT,AKAP1,ANXA9,BAG1,BCL11B,BCL2,CALB2,CBFA2T3,CELSR2,CXCL12,ENDOD1,ESRP2,GREB1,HR,HSPB8,IGF1R,INPP5F,KRT19,MAPT,MUC1,NADSYN1,OLFM1,PDLIM3,PEX11A,RAB17,REEP1,RHOD,SEMA3B,SLC1A1,SLC24A3,SVIL,TGIF2,TJP3,TOB1,TPD52L1,WFS1,ZNF185
HALLMARK_UV_RESPONSE_UP	0.0014	0.01	2528	158	30	23467	ACAA1,APOM,BTG2,CDKN1C,CLTB,CNP,CREG1,CYB5R1,DGAT1,DLG4,E2F5,EIF2S3,EPHX1,GRINA,HSPA2,KCNH2,KLHDC3,MRPL23,NTRK3,NXF1,OLFM1,PDLIM3,PPP1R2,PRKACA,RAB27A,RHOB,RXRB,SLC25A4,STK25,TUBA4A
HALLMARK_HEME_METABOLISM	0.0049	0.03	2528	200	34	23467	ALAD,ALDH1L1,ATP6V0A1,BTG2,CA1,DCAF11,ENDOD1,EZH1,FN3K,HBD,HEBP1,ISCA1,KEL,LRP10,MARCH2,MGST3,MXI1,NCOA4,PDZK1IP1,PIGQ,PPOX,PQLC1,PRDX2,RBM38,RBM5,RNF123,SIDT2,SPTB,TNS1,TSPO2,UBAC1,UROS,XK,YPEL5
HALLMARK_FATTY_ACID_METABOLISM	0.01	0.058	2528	158	27	23467	ACAA1,ACADVL,ACO2,ACOT2,ACOX1,ALAD,AOC3,CRYZ,D2HGDH,ECH1,EPHX1,GRHPR,HADH,HADHB,HIBCH,HMGCL,MCEE,MDH1,METAP1,PCBD1,PDHB,SDHD,SERINC1,SUCLG1,SUCLG2,TP53INP2,UROS
HALLMARK_APICAL_JUNCTION	0.024	0.12	2528	200	31	23467	ACTC1,ACTG2,ACTN1,ARPC2,CALB2,CDH1,CDH3,CNN2,CRB3,CTNND1,GAMT,GNAI2,HADH,JAM3,JUP,KCNH2,MAPK11,MYL9,NEXN,NFASC,NLGN3,PARD6G,PARVA,PBX2,PPP2R2C,PTEN,SHC1,SPEG,SRC,THBS3,VASP
HALLMARK_PEROXISOME	0.029	0.13	2528	104	18	23467	ACAA1,ACOX1,CNBP,CRABP1,DLG4,ECH1,EPHX2,FIS1,GNPAT,GSTK1,HMGCL,IDH2,PABPC1,PEX11A,PEX13,PEX2,SLC25A4,TSPO
HALLMARK_BILE_ACID_METABOLISM	0.03	0.13	2528	112	19	23467	CROT,EPHX2,FDXR,GNPAT,GSTK1,HSD17B6,IDH2,NR3C2,PAOX,PECR,PEX11A,PEX11G,PEX13,PEX19,PFKM,PIPOX,RBP1,SLC27A5,SLC29A1
HALLMARK_COAGULATION	0.065	0.25	2528	138	21	23467	A2M,ACOX2,ANG,C8G,CD9,COMP,CRIP2,CSRP1,CTSK,CTSO,ISCU,LEFTY2,LTA4H,MMP15,MSRB2,MST1,PEF1,PROS1,RAPGEF3,RGN,SERPING1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.077	0.27	2528	42	8	23467	CCND2,HDAC11,HDAC5,JAG2,NKD1,NOTCH1,PSEN2,TP53
HALLMARK_KRAS_SIGNALING_DN	0.13	0.43	2528	200	27	23467	ACTC1,BTG2,CCDC106,CD40LG,CELSR2,EDN1,EDN2,FGGY,GAMT,GPRC5C,H2AFY2,ITGB1BP2,ITIH3,KCND1,KCNMB1,KRT1,MAGIX,MYO15A,NRIP2,NTF3,PDK2,RGS11,SLC25A23,SYNPO,THNSL2,YBX2,YPEL1
HALLMARK_ANDROGEN_RESPONSE	0.19	0.58	2528	100	14	23467	ACTN1,DNAJB9,GPD1L,HSD17B14,KRT19,MAK,NCOA4,PDLIM5,PTK2B,RAB4A,SRF,TSC22D1,VAPA,XRCC5
