#hypeR	v1.3.1
#Signature Head	A2M,A2ML1,AATK,ABCA10,ABCA1,ABCA6
#Signature Size	3060
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.4e-59	1.2e-57	3060	200	124	23467	ADAR,APOL6,B2M,BANK1,BPGM,BST2,BTG1,C1R,C1S,CASP1,CASP4,CASP7,CCL2,CCL5,CD274,CD38,CD40,CD69,CD74,CD86,CDKN1A,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,CXCL9,DDX58,DDX60,DHX58,EIF4E3,EPSTI1,FAS,FCGR1A,FGL2,FPR1,GBP4,GPR18,GZMA,HERC6,HIF1A,HLA-DMA,HLA-DQA1,HLA-DRB1,ICAM1,IDO1,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IFITM2,IL10RA,IL15,IL15RA,IL18BP,IL2RB,IL7,IRF2,IRF4,IRF5,ISG20,ITGB7,JAK2,KLRK1,LAP3,LCP2,MARCH1,MT2A,MVP,NFKB1,NFKBIA,NLRC5,NMI,NOD1,OAS2,P2RY14,PARP14,PDE4B,PELI1,PFKP,PLA2G4A,PML,PSMB10,PSME1,PSME2,PTPN6,RIPK1,RSAD2,RTP4,SAMD9L,SAMHD1,SELP,SERPING1,SLAMF7,SLC25A28,SOCS3,SOD2,SP110,SPPL2A,SSPN,ST3GAL5,ST8SIA4,STAT2,STAT3,STAT4,TAPBP,TNFAIP2,TNFAIP3,TNFSF10,TRAFD1,TRIM14,TRIM21,TXNIP,UBE2L6,VAMP5,VCAM1,WARS,XAF1,ZBP1,ZNFX1
HALLMARK_ALLOGRAFT_REJECTION	3e-50	7.5e-49	3060	200	115	23467	B2M,BCL10,CCL11,CCL13,CCL19,CCL2,CCL22,CCL4,CCL5,CCND2,CCR1,CCR2,CCR5,CD1D,CD2,CD247,CD28,CD3D,CD3E,CD3G,CD4,CD40,CD40LG,CD47,CD74,CD79A,CD80,CD86,CD8A,CD96,CFP,CRTAM,CSF1,CTSS,CXCL13,CXCL9,CXCR3,EGFR,ELANE,ETS1,FAS,FASLG,FCGR2B,FGR,FLNA,GBP2,GPR65,GZMA,GZMB,HCLS1,HIF1A,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DRA,HLA-E,ICAM1,IFNG,IFNGR1,IGSF6,IL10,IL12B,IL12RB1,IL15,IL16,IL18,IL18RAP,IL27RA,IL2RA,IL2RB,IL2RG,IL7,IRF4,ITGAL,ITGB2,ITK,JAK2,KLRD1,LCK,LCP2,LIF,LTB,LY86,LYN,MAP4K1,NCF4,NCK1,NCR1,NLRP3,NOS2,PRF1,PRKCB,PSMB10,PTPN6,PTPRC,SIT1,SPI1,SRGN,ST8SIA4,STAB1,STAT4,TAPBP,TGFB1,TLR1,TLR2,TLR3,TLR6,TNF,TPD52,TRAT1,WARS,WAS,ZAP70
HALLMARK_INFLAMMATORY_RESPONSE	9.1e-43	1.5e-41	3060	200	107	23467	ABCA1,AHR,APLNR,AXL,BST2,BTG2,C3AR1,C5AR1,CALCRL,CCL17,CCL2,CCL22,CCL5,CCR7,CD14,CD40,CD48,CD55,CD69,CD82,CDKN1A,CHST2,CMKLR1,CSF1,CSF3R,CXCL10,CXCL9,CXCR6,CYBB,EBI3,EMP3,F3,FPR1,GNA15,GPR132,GPR183,HBEGF,HIF1A,HRH1,ICAM1,IFITM1,IFNAR1,IL10,IL10RA,IL12B,IL15,IL15RA,IL18,IL18R1,IL18RAP,IL1R1,IL2RB,IL7R,ITGA5,ITGB3,ITGB8,KCNA3,KLF6,LAMP3,LCK,LCP2,LIF,LPAR1,LTA,LYN,MARCO,MEFV,MMP14,MSR1,NFKB1,NFKBIA,NLRP3,NMI,NMUR1,OLR1,OSMR,P2RX7,PDE4B,PDPN,PIK3R5,PTAFR,PTGER2,PTGER4,PTGIR,PTPRE,RASGRP1,RGS1,RHOG,RNF144B,RTP4,SCARF1,SELL,SGMS2,SLAMF1,SLC31A2,SLC4A4,STAB1,TACR1,TAPBP,TLR1,TLR2,TLR3,TNFRSF1B,TNFRSF9,TNFSF10,TNFSF9,VIP
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.3e-32	1.6e-31	3060	200	95	23467	ABCA1,ATF3,BCL2A1,BCL6,BHLHE40,BIRC3,BTG1,BTG2,CCL2,CCL4,CCL5,CD44,CD69,CD80,CD83,CDKN1A,CEBPD,CFLAR,CSF1,CXCL10,DDX58,DNAJB4,DRAM1,DUSP1,DUSP2,EGR2,EGR3,ETS2,F3,FOS,FOSB,FOSL2,GADD45A,GADD45B,GEM,GPR183,HBEGF,ICAM1,IFIH1,IFIT2,IL12B,IL15RA,IL18,IL6ST,IL7R,JAG1,JUNB,KLF10,KLF2,KLF6,KLF9,LIF,LITAF,MCL1,NFE2L2,NFKB1,NFKBIA,NINJ1,NR4A2,NR4A3,OLR1,PDE4B,PDLIM5,PLEK,PLK2,PNRC1,PTGER4,PTPRE,PTX3,RCAN1,REL,RHOB,RNF19B,SAT1,SERPINB2,SERPINB8,SGK1,SIK1,SLC2A3,SOCS3,SOD2,STAT5A,TANK,TIPARP,TLR2,TNC,TNF,TNFAIP2,TNFAIP3,TNFAIP8,TNFRSF9,TNFSF9,TNIP1,TRAF1,ZFP36
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	4.8e-31	4.8e-30	3060	200	93	23467	ABI3BP,ACTA2,ADAM12,ANPEP,BASP1,CALD1,CD44,CD59,CDH11,COL12A1,COL1A2,COL3A1,COL5A1,COL5A3,COL6A2,COL6A3,COL8A2,CXCL12,DAB2,DCN,DPYSL3,ECM1,ECM2,EFEMP2,EMP3,FAS,FBLN2,FBN1,FERMT2,FGF2,FLNA,FSTL1,FUCA1,GADD45A,GADD45B,GAS1,GEM,GJA1,GLIPR1,GREM1,HTRA1,IGFBP4,IL15,IL32,ITGA5,ITGAV,ITGB3,LAMA2,LAMA3,LGALS1,LOX,LOXL1,LUM,MATN2,MFAP5,MGP,MMP14,MMP2,MXRA5,MYL9,MYLK,NID2,NNMT,NOTCH2,PCOLCE,PDGFRB,PMP22,PRRX1,PTX3,QSOX1,RHOB,SAT1,SDC1,SFRP1,SGCB,SGCD,SLIT2,SLIT3,SNAI2,SPARC,SPP1,TAGLN,TGFB1,TGFBR3,THBS1,TIMP3,TNC,TNFAIP3,TPM1,VCAM1,VEGFC,VIM,WIPF1
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.7e-24	2.2e-23	3060	97	55	23467	ADAR,B2M,BST2,C1S,CASP1,CD47,CD74,CMPK2,CSF1,CXCL10,DDX60,DHX58,EPSTI1,GBP2,GBP4,HERC6,HLA-C,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFITM1,IFITM2,IL15,IL7,IRF2,ISG20,LAMP3,LAP3,NCOA7,NMI,NUB1,PARP14,PARP9,PSME1,PSME2,RSAD2,RTP4,SAMD9,SAMD9L,SELL,SLC25A28,SP110,STAT2,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM5,TXNIP,UBA7,UBE2L6,WARS
HALLMARK_IL2_STAT5_SIGNALING	2.1e-20	1.3e-19	3060	200	78	23467	ADAM19,AHNAK,AHR,AKAP2,ALCAM,BCL2,BHLHE40,CA2,CCND2,CCR4,CD44,CD48,CD79B,CD81,CD83,CD86,CDC42SE2,COL6A1,CSF1,CST7,CTLA4,CXCL10,CYFIP1,ECM1,EMP1,EOMES,FGL2,FLT3LG,GABARAPL1,GADD45B,GBP4,GLIPR2,GPR65,HOPX,ICOS,IFNGR1,IKZF2,IL10,IL10RA,IL18R1,IL2RA,IL2RB,IRF4,ITGA6,ITGAV,ITIH5,KLF6,LIF,LRRC8C,LTB,MUC1,MYO1C,MYO1E,PENK,PRKCH,PTGER2,RABGAP1L,RHOB,RHOH,RNH1,RORA,SELL,SELP,SERPINB6,SHE,SLC2A3,SMPDL3A,SNX9,SOCS2,SPP1,SYT11,TIAM1,TLR7,TNFRSF1B,TNFRSF9,TNFSF10,TRAF1,TWSG1
HALLMARK_P53_PATHWAY	2.1e-20	1.3e-19	3060	200	78	23467	ADA,AK1,ALOX15B,APP,ATF3,BAK1,BTG1,BTG2,CASP1,CCND2,CCNG1,CD81,CD82,CDH13,CDKN1A,CLCA2,CYFIP2,DDB2,DDIT4,DEF6,DGKA,DRAM1,EPHX1,ERCC5,FAS,FDXR,FOS,FUCA1,GADD45A,GM2A,HBEGF,HEXIM1,HMOX1,HSPA4L,ISCU,ITGB4,LIF,LRMP,MDM2,MKNK2,MXD4,NINJ1,NUPR1,PHLDA3,PITPNC1,PLK2,PLK3,POLH,PPM1D,PRMT2,PTPRE,RALGDS,RAP2B,RB1,RETSAT,RHBDF2,RNF19B,RPS27L,S100A4,SAT1,SDC1,STOM,TCN2,TGFB1,TM7SF3,TNFSF9,TOB1,TP53,TP63,TRAFD1,TXNIP,VDR,VWA5A,WWP1,XPC,ZBTB16,ZFP36L1,ZMAT3
HALLMARK_COMPLEMENT	2.7e-17	1.5e-16	3060	200	73	23467	ADAM9,APOBEC3G,C1QA,C1QC,C1R,C1S,CA2,CALM1,CASP1,CASP10,CASP4,CASP5,CASP7,CCL5,CD36,CD40LG,CD55,CD59,CDH13,CFH,CR1,CSRP1,CTSC,CTSO,CTSS,DOCK10,DOCK9,F3,F8,FCER1G,FCN1,GATA3,GNAI2,GNB4,GNG2,GNGT2,GRB2,GZMA,GZMB,GZMK,IRF2,ITGAM,JAK2,L3MBTL4,LAP3,LCK,LCP2,LGMN,LIPA,LTA4H,LYN,MMP14,OLR1,PIK3CA,PIK3CG,PIK3R5,PLA2G4A,PLA2G7,PLEK,PRCP,PRSS36,RASGRP1,RHOG,RNF4,SERPINB2,SERPING1,SH2B3,SPOCK2,TIMP2,TNFAIP3,WAS,ZEB1,ZFPM2
HALLMARK_IL6_JAK_STAT3_SIGNALING	2.5e-16	1.2e-15	3060	87	43	23467	A2M,ACVRL1,BAK1,CCR1,CD14,CD36,CD38,CD44,CSF1,CSF2RB,CSF3R,CXCL10,CXCL13,CXCL9,EBI3,FAS,GRB2,HMOX1,IFNAR1,IFNGR1,IL12RB1,IL15RA,IL18R1,IL1R1,IL2RA,IL2RG,IL6ST,IL7,ITGA4,ITGB3,LTB,OSMR,PDGFC,PIK3R5,SOCS3,STAM2,STAT2,STAT3,TGFB1,TLR2,TNF,TNFRSF1A,TNFRSF1B
