#hypeR	v1.3.1
#Signature Head	A1CF,AAAS,AACS,AADAT,AAGAB,AARS
#Signature Size	4094
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_E2F_TARGETS	9.1e-49	4.5e-47	4094	200	128	23467	ASF1B,ATAD2,AURKA,AURKB,BIRC5,BRCA1,BRCA2,BRMS1L,BUB1B,CCNB2,CCNE1,CDC20,CDC25A,CDC25B,CDCA3,CDCA8,CDK1,CDK4,CDKN2A,CDKN3,CENPE,CENPM,CHEK1,CHEK2,CIT,CKS1B,CKS2,CSE1L,DEK,DEPDC1,DIAPH3,DLGAP5,DNMT1,DONSON,DSCC1,E2F8,ESPL1,EZH2,GINS1,GINS4,H2AFX,H2AFZ,HELLS,HMGB2,HMGB3,HMMR,HNRNPD,ILF3,KIF18B,KIF22,KIF2C,KIF4A,KPNA2,LBR,LIG1,LMNB1,LUC7L3,LYAR,MAD2L1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MELK,MKI67,MLH1,MSH2,MXD3,MYBL2,NASP,NCAPD2,NME1,NOP56,NUP107,NUP205,PAICS,PAN2,PLK1,PLK4,PNN,POLA2,POLD1,POLD2,POLE,POP7,PPP1R8,PRIM2,PRKDC,PRPS1,PSMC3IP,PTTG1,RACGAP1,RAD1,RAD51AP1,RAN,RANBP1,RFC3,RNASEH2A,RPA1,RPA2,RPA3,SMC3,SMC4,SMC6,SNRPB,SPAG5,SPC24,SPC25,SSRP1,STMN1,SUV39H1,TACC3,TBRG4,TIMELESS,TK1,TMPO,TOP2A,TRIP13,TUBG1,UBE2S,UBE2T,USP1,WDR90,WEE1,XPO1,ZW10
HALLMARK_G2M_CHECKPOINT	2.3e-37	5.7e-36	4094	200	115	23467	AURKA,AURKB,BIRC5,BRCA2,BUB1,BUB3,CBX1,CCNA2,CCNB2,CCNF,CDC20,CDC25A,CDC25B,CDC45,CDC6,CDC7,CDK1,CDK4,CDKN3,CENPA,CENPE,CENPF,CHAF1A,CHEK1,CHMP1A,CKS1B,CKS2,DBF4,DKC1,DTYMK,E2F1,E2F3,E2F4,ESPL1,EWSR1,EXO1,EZH2,FANCC,FBXO5,GINS2,H2AFX,H2AFZ,HMGB3,HMGN2,HMMR,HNRNPD,HNRNPU,HOXC10,ILF3,INCENP,KIF11,KIF15,KIF20B,KIF22,KIF2C,KIF4A,KPNA2,KPNB1,LBR,LIG3,LMNB1,MAD2L1,MCM2,MCM3,MCM5,MCM6,MKI67,MNAT1,MTF2,MYBL2,NASP,NCL,NDC80,NEK2,NUP98,NUSAP1,ODC1,ODF2,PBK,PLK1,PLK4,POLA2,POLE,POLQ,PRC1,PRIM2,PTTG1,RACGAP1,RAD54L,RBL1,RBM14,RPA2,SFPQ,SLC7A5,SMARCC1,SMC2,SMC4,SNRPD1,SQLE,STIL,STMN1,SUV39H1,TACC3,TMPO,TOP1,TOP2A,TPX2,TRAIP,TROAP,TTK,UBE2C,UBE2S,UCK2,UPF1,XPO1
HALLMARK_MYC_TARGETS_V1	3.8e-22	6.4e-21	4094	200	94	23467	ABCE1,ACP1,BUB3,CAD,CANX,CBX3,CCNA2,CCT3,CCT4,CCT5,CDC20,CDC45,CDK2,CDK4,CLNS1A,CSTF2,DDX18,DDX21,DEK,DHX15,EIF2S2,EIF3B,EIF3J,EXOSC7,FBL,GLO1,GNL3,H2AFZ,HDAC2,HDGF,HNRNPA2B1,HNRNPD,HNRNPR,HNRNPU,HPRT1,HSP90AB1,HSPD1,HSPE1,IFRD1,ILF2,KPNA2,KPNB1,LSM7,MAD2L1,MCM2,MCM4,MCM5,MCM6,MCM7,MRPL23,MRPL9,NCBP1,NCBP2,NME1,NOP56,ODC1,POLD2,POLE3,PPM1G,PRPF31,PSMC6,PSMD1,PSMD14,PSMD3,PSMD7,RAN,RANBP1,RFC4,RNPS1,RPL22,RRP9,RUVBL2,SERBP1,SET,SF3B3,SMARCC1,SNRPA1,SNRPD1,SNRPD3,SNRPG,SRM,SSB,TARDBP,TCP1,TRIM28,TXNL4A,U2AF1,UBA2,USP1,VBP1,VDAC1,XPO1,XPOT,YWHAE
HALLMARK_MYC_TARGETS_V2	6.4e-18	8e-17	4094	58	40	23467	BYSL,CBX3,CDK4,DDX18,EXOSC5,FARSA,GNL3,GRWD1,HSPD1,HSPE1,IPO4,LAS1L,MCM4,MCM5,MPHOSPH10,MRTO4,MYBBP1A,NIP7,NOC4L,NOP2,NOP56,PES1,PLK1,PLK4,PPAN,PPRC1,PRMT3,PUS1,RRP12,RRP9,SLC19A1,SLC29A2,SRM,TBRG4,TCOF1,TFB2M,TMEM97,UTP20,WDR43,WDR74
HALLMARK_SPERMATOGENESIS	4.4e-08	4.4e-07	4094	135	50	23467	ACRV1,AGFG1,AKAP4,ALOX15,AURKA,BUB1,CCNB2,CDK1,CDKN3,CLGN,CLPB,CNIH2,COIL,CRISP2,DBF4,DDX25,DDX4,DMC1,DMRT1,EZH2,GAD1,GMCL1,GRM8,HIST1H1T,IFT88,KIF2C,LDHC,MAP7,MTNR1A,NAA11,NCAPH,NEK2,NPHP1,PARP2,PCSK1N,PGS1,PHKG2,PSMG1,RFC4,RPL39L,SCG3,STRBP,TEKT2,TKTL1,TOPBP1,TSN,TTK,TUBA3C,YBX2,ZC3H14
HALLMARK_MTORC1_SIGNALING	1.6e-07	1.3e-06	4094	200	65	23467	ARPC5L,AURKA,BUB1,CALR,CANX,CCNF,CCT6A,CDC25A,CYB5B,CYP51A1,DDIT3,DHCR24,DHCR7,DHFR,EBP,EEF1E1,EIF2S2,G6PD,HMBS,HPRT1,HSP90B1,HSPA9,HSPD1,HSPE1,IDH1,IFRD1,MCM2,MCM4,ME1,MTHFD2L,NFKBIB,NUFIP1,NUP205,PDAP1,PHGDH,PLK1,PNO1,PSMA3,PSMC6,PSMD12,PSMD13,PSMD14,PSME3,PSMG1,PSPH,RDH11,RPA1,RPN1,RRP9,SCD,SDF2L1,SLC1A5,SLC37A4,SLC7A5,SQLE,STIP1,TCEA1,TM7SF2,TMEM97,TOMM40,TRIB3,TUBG1,UCHL5,XBP1,YKT6
HALLMARK_DNA_REPAIR	7.2e-07	5.2e-06	4094	150	51	23467	AAAS,ADRM1,ARL6IP1,BCAM,BCAP31,BOLA2,CETN2,CLP1,COX17,CSTF3,DGUOK,FEN1,GTF3C5,HPRT1,ITPA,LIG1,NCBP2,NME1,POLA1,POLA2,POLB,POLD1,POLR1C,POLR2C,POLR2D,POLR2F,POLR2G,POLR2I,POLR2J,POLR3C,PRIM1,RAD51,RAE1,RFC3,RFC4,RFC5,RPA2,RPA3,SAC3D1,SF3A3,SNAPC4,SSRP1,STX3,TAF10,TAF1C,TAF6,UMPS,UPF3B,ZNF707,ZNRD1,ZWINT
HALLMARK_MITOTIC_SPINDLE	7.2e-06	4.5e-05	4094	199	60	23467	ALS2,ANLN,ARAP3,ARFIP2,ATG4B,AURKA,BIN1,BIRC5,BRCA2,BUB1,CCNB2,CDK1,CDK5RAP2,CENPE,CENPF,CENPJ,CEP72,CKAP5,CNTROB,DLGAP5,ECT2,EPB41,ESPL1,FBXO5,HDAC6,INCENP,KIF11,KIF15,KIF20B,KIF22,KIF2C,KIF3C,KIF4A,KIFAP3,KNTC1,KPTN,LMNB1,LRPPRC,MAP3K11,NCK2,NDC80,NEK2,NUSAP1,PIF1,PLK1,PPP4R2,PRC1,RACGAP1,SAC3D1,SASS6,SHROOM1,SHROOM2,SMC3,SMC4,TOP2A,TPX2,TTK,TUBD1,TUBGCP3,YWHAE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0014	0.0077	4094	113	33	23467	BANF1,CALR,CEBPG,CKS1B,DCP1A,DCP2,DDX10,DKC1,EIF4EBP1,EXOSC1,EXOSC10,EXOSC2,EXOSC5,FUS,H2AFX,HSP90B1,HSPA9,HYOU1,IGFBP1,KHSRP,LSM4,NFYA,NOP14,NOP56,PDIA6,PREB,RRP9,SDAD1,SLC7A5,STC2,WIPI1,XBP1,XPOT
HALLMARK_UV_RESPONSE_UP	0.0046	0.023	4094	158	41	23467	BID,BSG,CCK,CCNE1,CDC34,CDK2,CEBPG,CHKA,CLCN2,COL2A1,CYB5B,DDX21,EIF5,EPCAM,FEN1,FURIN,GGH,GLS,GRINA,H2AFX,HNRNPU,KLHDC3,MAPK8IP2,MARK2,MRPL23,NPTXR,PARP2,PDAP1,POLE3,POLG2,PPAT,PRKCD,PRPF3,RFC4,RPN1,SHOX2,SIGMAR1,STIP1,STK25,TYRO3,YKT6
