#hypeR	v1.3.1
#Signature Head	A1BG,ABAT,ABCA13,ABCA4,ABCC3,ABL2
#Signature Size	1505
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_APICAL_JUNCTION	2e-14	5e-13	1505	200	46	23467	ACTN1,ALOX15B,AMIGO2,B4GALT1,BAIAP2,BMP1,CADM3,CAP1,CDH3,CDH6,CDSN,CERCAM,CLDN4,CLDN8,CLDN9,CNN2,COL16A1,COL17A1,CTNND1,CX3CL1,DSC3,GNAI2,GRB7,ICAM1,ICAM4,ICAM5,ITGA2,ITGA3,ITGA9,ITGB4,JUP,LAMB3,LAMC2,MAPK13,MDK,MPZL2,MSN,MYL12B,MYL9,NLGN2,PARD6G,PBX2,RAC2,TGFBI,TSPAN4,VCL
HALLMARK_INTERFERON_GAMMA_RESPONSE	2e-14	5e-13	1505	200	46	23467	APOL6,C1R,C1S,CASP7,CD40,CFB,CFH,DDX60,EPSTI1,FAS,GBP6,HLA-G,ICAM1,IFI44,IFIH1,IFIT1,IFIT2,IFNAR2,IL7,IRF1,IRF2,IRF9,ISG20,LY6E,METTL7B,MVP,MX1,MYD88,NUP93,OAS3,PARP12,PARP14,PLSCR1,PML,PTGS2,PTPN2,RIPK2,SAMD9L,SELP,SERPING1,SSPN,STAT2,TAPBP,TRIM14,TRIM21,UBE2L6
HALLMARK_ESTROGEN_RESPONSE_EARLY	8.9e-14	1.5e-12	1505	200	45	23467	ABAT,AFF1,ALDH3B1,ANXA9,AQP3,B4GALT1,CCND1,CD44,CELSR1,CELSR2,DHRS3,ELF1,ELF3,ENDOD1,ESRP2,FARP1,GJA1,IGF1R,INPP5F,KCNK5,KLK10,KRT15,KRT19,LAD1,MUC1,NAV2,NBL1,NRIP1,OPN3,PMAIP1,PTGES,RAB31,RARA,RPS6KA2,SEMA3B,SFN,SLC27A2,SLC7A2,SULT2B1,SVIL,SYT12,TFAP2C,TIAM1,TIPARP,ZNF185
HALLMARK_ESTROGEN_RESPONSE_LATE	6.7e-12	5.5e-11	1505	200	42	23467	AFF1,AGR2,ALDH3B1,ANXA9,ASS1,CCNA1,CCND1,CD44,CELSR2,CPE,CXCL14,EMP2,FARP1,GALE,GJB3,IGSF1,ISG20,KCNK5,KLK10,KRT19,LAMC2,MAPK13,MDK,NAB2,NBL1,NRIP1,OPN3,PERP,PLXNB1,PTGES,RAB31,RPS6KA2,SEMA3B,SERPINA1,SFN,SLC27A2,SULT2B1,TFAP2C,TIAM1,TNNC1,TRIM29,TSTA3
HALLMARK_INFLAMMATORY_RESPONSE	6.7e-12	5.5e-11	1505	200	42	23467	AHR,AXL,CCL20,CD40,CD55,CD70,CHST2,CX3CL1,DCBLD2,EREG,F3,FZD5,GPR183,HRH1,ICAM1,ICAM4,IFNGR2,IL1R1,IRAK2,IRF1,ITGB3,ITGB8,KCNJ2,LDLR,LIF,LPAR1,LY6E,LYN,OSMR,PDPN,PTPRE,RIPK2,RNF144B,SEMA4D,SLAMF1,SLC11A2,SLC7A2,TAPBP,TIMP1,TNFRSF1B,TNFSF15,TNFSF9
HALLMARK_TNFA_SIGNALING_VIA_NFKB	6.7e-12	5.5e-11	1505	200	42	23467	B4GALT1,BIRC3,CCL20,CCND1,CD44,CD83,CLCF1,CSF2,CXCL2,DRAM1,DUSP4,EFNA1,F2RL1,F3,FOSL1,GPR183,ICAM1,IFIH1,IFIT2,IFNGR2,IRF1,IRS2,LAMB3,LDLR,LIF,MAFF,MCL1,NFAT5,NFKB2,PHLDA2,PLAU,PTGS2,PTPRE,PTX3,RIPK2,SERPINB8,SLC2A3,TIPARP,TNFSF9,TRIB1,TRIP10,ZC3H12A
HALLMARK_INTERFERON_ALPHA_RESPONSE	7.6e-12	5.5e-11	1505	97	28	23467	C1S,CD47,DDX60,ELF1,EPSTI1,GBP2,IFI44,IFIH1,IFIT2,IL7,IRF1,IRF2,IRF9,ISG20,LY6E,MOV10,MX1,NUB1,PARP12,PARP14,PARP9,PLSCR1,RIPK2,SAMD9L,STAT2,TRIM14,TRIM21,UBE2L6
HALLMARK_KRAS_SIGNALING_UP	3.8e-10	2.4e-09	1505	200	39	23467	ADAM8,AMMECR1,APOD,BIRC3,CCL20,CCND2,CFB,CFH,CPE,CSF2,CTSS,DCBLD2,DNMBP,DUSP6,EREG,ETV1,ETV4,ETV5,F2RL1,GALNT3,ITGA2,JUP,LIF,MALL,MPZL2,PLAU,PRDM1,PTBP2,PTGS2,RETN,SATB1,SEMA3B,SLPI,TMEM100,TNFRSF1B,TPH1,TRIB1,TSPAN1,VWA5A
HALLMARK_COMPLEMENT	1.4e-09	7.7e-09	1505	200	38	23467	ANG,ANXA5,APOBEC3F,APOBEC3G,C1R,C1S,C3,CASP7,CD55,CFB,CFH,CLU,CP,CTSC,CTSS,DOCK9,DUSP6,DYRK2,F3,F5,FYN,GATA3,GNAI2,IRF1,IRF2,LGALS3,LRP1,LTA4H,LYN,MAFF,MMP13,PHEX,PLSCR1,SERPINA1,SERPING1,SPOCK2,TIMP1,TMPRSS6
HALLMARK_APOPTOSIS	2.3e-09	1.1e-08	1505	161	33	23467	ANXA1,BCL10,BID,BIRC3,BMF,BNIP3L,CASP6,CASP7,CCNA1,CCND1,CCND2,CD44,CDC25B,CLU,CTNNB1,DPYD,ERBB2,ERBB3,EREG,FAS,IFNGR1,IRF1,ISG20,LGALS3,LMNA,MCL1,PEA15,PMAIP1,PPT1,RARA,SATB1,TGFB2,TIMP1
