#hypeR	v1.3.1
#Signature Head	ABCD3,ABCG4,ABHD12B,ABHD13,ABI2,ABLIM1
#Signature Size	1451
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_PI3K_AKT_MTOR_SIGNALING	2.1e-05	0.0011	1451	105	19	23467	ATF1,CAMK4,CDK2,CDKN1B,CXCR4,GRB2,HSP90B1,IRAK4,ITPR2,LCK,PPP2R1B,RAF1,RALB,RIT1,SMAD2,TIAM1,TNFRSF1A,UBE2D3,YWHAB
HALLMARK_MITOTIC_SPINDLE	0.00059	0.015	1451	199	25	23467	AKAP13,ARFGEF1,ARHGAP10,ARHGEF7,CCDC88A,CDC27,CEP57,DLG1,DOCK2,EPB41,KATNA1,KIF3C,MAPRE1,MARK4,PCGF5,PCM1,PCNT,PLEKHG2,RALBP1,RFC1,ROCK1,SEPT9,STK38L,TIAM1,TUBGCP3
HALLMARK_ALLOGRAFT_REJECTION	0.0014	0.018	1451	200	24	23467	APBB1,BCL10,CCND2,CD3G,CD4,CD47,CD8A,CD8B,CD96,ETS1,GCNT1,HCLS1,IFNAR2,IL16,ITGB2,ITK,LCK,LCP2,MBL2,PRKCG,SIT1,SOCS5,TRAT1,ZAP70
HALLMARK_UV_RESPONSE_DN	0.0014	0.018	1451	144	19	23467	ADD3,CDKN1B,CDON,DAB2,DLG1,DYRK1A,FBLN5,GCNT1,GRK5,INSIG1,IRS1,MAPK14,NIPBL,NR3C1,PIK3CD,PLCB4,PRKCA,SPOP,YTHDC1
HALLMARK_E2F_TARGETS	0.0031	0.028	1451	200	23	23467	CBX5,CDKN1B,CTCF,DCK,DCLRE1B,HNRNPD,ING3,LUC7L3,NCAPD2,PDS5B,POLD3,PPM1D,PPP1R8,PSIP1,RAD1,RAD21,RFC1,SHMT1,SSRP1,TMPO,TRA2B,UBR7,USP1
HALLMARK_ANDROGEN_RESPONSE	0.0034	0.028	1451	100	14	23467	ACTN1,ARID5B,BMPR1B,CDK6,GNAI3,HERC3,INSIG1,MYL12A,SLC26A2,SPCS3,TMPRSS2,TNFAIP8,VAPA,XRCC5
HALLMARK_COMPLEMENT	0.0063	0.035	1451	200	22	23467	CASP10,CASP3,CASP4,DPP4,DYRK2,FDX1,GATA3,GNAI2,GNAI3,GNG2,GRB2,LCK,LCP2,PDP1,PHEX,PIK3CG,PIK3R5,RAF1,RASGRP1,USP15,USP16,ZEB1
HALLMARK_G2M_CHECKPOINT	0.0063	0.035	1451	200	22	23467	ARID4A,CBX1,CDC27,CDKN1B,CTCF,CUL3,DR1,FOXN3,H2AFV,HIRA,HNRNPD,KATNA1,MAPK14,MTF2,NUP50,PDS5B,RAD21,SMARCC1,SMC2,TMPO,TRA2B,YTHDC1
HALLMARK_HEME_METABOLISM	0.0063	0.035	1451	200	22	23467	ADD1,AQP3,BNIP3L,CAT,CCDC28A,CDC27,CIR1,EPB41,EPOR,FECH,GYPE,KAT2B,NR3C1,SDCBP,SEC14L1,SLC11A2,SNCA,SPTA1,TRAK2,USP15,VEZF1,YPEL5
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.014	0.068	1451	42	7	23467	AXIN1,AXIN2,CCND2,FRAT1,LEF1,MAML1,NUMB
