#hypeR	v1.3.1
#Signature Head	AACS,AADACL2,ABCA10,ABCA2,ABCA6,ABCA9
#Signature Size	1786
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_MYC_TARGETS_V2	6.2e-10	3.1e-08	1786	58	21	23467	AIMP2,EXOSC5,FARSA,HSPD1,HSPE1,IMP4,IPO4,LAS1L,MAP3K6,MYBBP1A,NOP16,PES1,PPRC1,RABEPK,RRP12,RRP9,SLC29A2,SORD,SRM,TBRG4,TMEM97
HALLMARK_ADIPOGENESIS	1.4e-08	3.6e-07	1786	200	40	23467	ABCB8,ACO2,ADIG,ADIPOQ,AGPAT3,AIFM1,ALDOA,ARAF,CHCHD10,CIDEA,CMBL,COQ9,COX7B,DDT,DGAT1,DHCR7,ECHS1,ELMOD3,ELOVL6,ESRRA,GADD45A,GPAM,GPX4,GRPEL1,LEP,LPL,MRAP,NDUFAB1,PFKL,PHYH,PIM3,QDPR,REEP5,RETSAT,SLC25A1,SLC5A6,TST,UBC,UQCR11,UQCRC1
HALLMARK_FATTY_ACID_METABOLISM	9e-07	1.5e-05	1786	158	31	23467	ACADVL,ACO2,ADH7,ALDH1A1,ALDH3A1,ALDOA,BLVRA,BPHL,CBR1,CEL,CIDEA,D2HGDH,ECHS1,ETFDH,FASN,G0S2,GAD2,GPD1,GRHPR,GSTZ1,HCCS,HMGCL,HMGCS2,HSD17B10,IL4I1,MCEE,MIF,NSDHL,PCBD1,PDHA1,RETSAT
HALLMARK_OXIDATIVE_PHOSPHORYLATION	3e-06	3.7e-05	1786	200	35	23467	ACADVL,ACAT1,ACO2,AIFM1,ATP6V0E1,ATP6V1F,COX15,COX5A,COX7B,ECHS1,ETFA,ETFDH,FXN,GPI,GPX4,GRPEL1,HCCS,HSD17B10,HSPA9,MRPS12,NDUFA1,NDUFA6,NDUFA8,NDUFAB1,NDUFS7,NDUFV1,OXA1L,PDHA1,PHYH,RETSAT,SLC25A12,TIMM50,UQCR11,UQCRC1,VDAC2
HALLMARK_ESTROGEN_RESPONSE_LATE	2e-05	0.00017	1786	200	33	23467	ASS1,BLVRB,CD44,CKB,CYP4F11,DCXR,DHCR7,EMP2,FGFR3,GALE,GLA,HMGCS2,ITPK1,KLF4,LLGL2,LSR,NMU,OLFM1,PKP3,PLAC1,PLXNB1,PPIF,PRLR,PTGES,RAPGEFL1,SLC27A2,SLC2A8,SORD,ST6GALNAC2,SULT2B1,TFF3,TRIM29,TST
HALLMARK_KRAS_SIGNALING_DN	2e-05	0.00017	1786	200	33	23467	ACTC1,ALOX12B,ARHGDIG,ATP4A,C5,CACNG1,CALML5,CCDC106,CLSTN3,CPA2,EGF,FGFR3,FGGY,GPRC5C,IFI44L,KCNE2,KRT15,LGALS7,MAGIX,MAST3,NR6A1,PAX4,PTGFR,RGS11,RIBC2,RSAD2,SHOX2,SMPX,SNCB,SPTBN2,TFCP2L1,TFF2,TNNI3
HALLMARK_UV_RESPONSE_UP	5.9e-05	0.00042	1786	158	27	23467	ALDOA,ASNS,ATP6V1F,CNP,DGAT1,EIF2S3,FURIN,GRPEL1,HSPA2,JUNB,KCNH2,LHX2,MAPK8IP2,NKX2-5,NPTXR,OLFM1,ONECUT1,PPIF,RHOB,SHOX2,SIGMAR1,SLC6A8,SPR,TST,TUBA4A,TYRO3,WIZ
HALLMARK_MTORC1_SIGNALING	0.00012	0.00066	1786	200	31	23467	ACACA,ALDOA,ASNS,DHCR7,EBP,ELOVL6,FDXR,GGA2,GLA,GOT1,GPI,HMBS,HSPA4,HSPA9,HSPD1,HSPE1,NFKBIB,NUPR1,PFKL,PNO1,PSMC4,QDPR,RRP9,SCD,SLC37A4,SORD,SRD5A1,TMEM97,TOMM40,TUBA4A,TUBG1
HALLMARK_XENOBIOTIC_METABOLISM	0.00012	0.00066	1786	200	31	23467	ACO2,ACSM1,ADH7,AHCY,ALDH3A1,ASL,BCAR1,BLVRB,BPHL,CBR1,CYP1A2,CYP2C18,CYP2J2,DCXR,DDT,ETFDH,F10,FETUB,GAD1,HSD17B2,LEAP2,LONP1,MCCC2,MT2A,NFS1,PTGES,RAP1GAP,RBP4,RETSAT,TMEM97,VTN
HALLMARK_BILE_ACID_METABOLISM	0.00077	0.0038	1786	112	19	23467	ABCA2,ABCA6,ABCA9,ABCD1,ALDH1A1,BBOX1,DIO2,FDXR,GSTK1,HSD3B1,HSD3B7,NR0B2,PEX11G,PHYH,RETSAT,RXRG,SLC27A2,SULT2B1,TFCP2L1
HALLMARK_GLYCOLYSIS	0.0013	0.0053	1786	200	28	23467	ABCB6,ALDOA,ANG,B4GALT2,CD44,CHST4,CHST6,CLDN3,CLN6,FAM162A,GALE,GMPPA,GOT1,GPC1,GPR87,GYS1,MIF,NDUFV3,NSDHL,PFKFB1,PMM2,PSMC4,PYGB,SDC3,SLC37A4,SPAG4,SRD5A3,TFF3
HALLMARK_MYOGENESIS	0.0013	0.0053	1786	200	28	23467	ACTC1,AK1,ANKRD2,CACNG1,CFD,CHRNA1,CKB,COX6A2,DES,HSPB2,KCNH2,KLF5,LDB3,MAPK12,MAPRE3,MB,MYH1,MYH11,MYH2,MYL1,MYO1C,PICK1,REEP1,SCD,SGCD,SLC6A8,SYNGR2,TNNC2
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0034	0.013	1786	49	10	23467	GPX4,HMOX2,JUNB,MGST1,NDUFA6,PDLIM1,PRDX2,PRDX4,SBNO2,TXNRD2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0097	0.035	1786	74	12	23467	ABCA2,ATF5,CBS,DHCR7,EBP,FASN,FBXO6,LPL,MVK,NSDHL,SCD,TMEM97
HALLMARK_PEROXISOME	0.012	0.04	1786	104	15	23467	ABCB9,ABCD1,ALDH1A1,CEL,CLN6,FABP6,GSTK1,HMGCL,HSD3B7,NUDT19,RETSAT,RXRG,SLC27A2,SULT2B1,TSPO
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.018	0.052	1786	200	24	23467	BLVRB,CALB2,CD44,DHCR7,FASN,GLA,ITPK1,KLF4,KRT15,KRT8,MSMB,MYBBP1A,OLFM1,P2RY2,PMAIP1,PPIF,PTGES,RAPGEFL1,REEP1,RRP12,SLC27A2,SULT2B1,TFF3,UNC119
