#hypeR	v1.3.1
#Signature Head	A2M,A2ML1,A4GALT,AACS,AADAT,AASS
#Signature Size	3926
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_ALLOGRAFT_REJECTION	1.4e-27	7.2e-26	3926	200	100	23467	AKT1,BCL10,BCL3,CCL11,CCL19,CCL2,CCL22,CCL4,CCL5,CCND2,CCR2,CCR5,CD1D,CD2,CD247,CD28,CD3D,CD3E,CD3G,CD4,CD40LG,CD7,CD74,CD79A,CD86,CD8A,CD8B,CD96,CFP,CRTAM,CTSS,CXCL13,CXCL9,CXCR3,EGFR,ETS1,F2R,FAS,FASLG,FGR,GALNT1,GCNT1,GPR65,GZMA,GZMB,HDAC9,HIF1A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DRA,IFNG,IFNGR1,IFNGR2,IGSF6,IL12RB1,IL16,IL18,IL18RAP,IL1B,IL2RA,IL2RB,IL2RG,IL4R,IL7,INHBA,IRF4,IRF8,ITGAL,ITGB2,ITK,JAK2,KLRD1,KRT1,LCK,LCP2,LY86,LYN,NCF4,NCR1,NLRP3,NOS2,PF4,PRF1,PRKCB,PSMB10,PTPRC,RIPK2,SIT1,SPI1,SRGN,STAB1,STAT4,TLR1,TLR2,TLR3,TLR6,TRAT1,WAS,ZAP70
HALLMARK_INFLAMMATORY_RESPONSE	3.9e-24	9.7e-23	3926	200	95	23467	ADM,ADORA2B,AHR,APLNR,ATP2A2,ATP2C1,BTG2,C3AR1,CALCRL,CCL17,CCL2,CCL20,CCL22,CCL24,CCL5,CCR7,CCRL2,CD14,CD48,CD69,CD70,CDKN1A,CSF3,CXCL9,CXCR6,CYBB,DCBLD2,F3,FFAR2,FPR1,GCH1,GNA15,GPR132,GPR183,HAS2,HBEGF,HIF1A,IFNAR1,IFNGR2,IL10RA,IL15RA,IL18,IL18R1,IL18RAP,IL1A,IL1B,IL1R1,IL2RB,IL4R,IL7R,INHBA,KCNA3,KCNJ2,LCK,LCP2,LDLR,LPAR1,LTA,LYN,MEP1A,MMP14,NDP,NFKB1,NLRP3,NMUR1,NOD2,OSMR,P2RX4,P2RX7,PDE4B,PLAUR,PTGER2,PTPRE,RELA,RGS1,RIPK2,SCARF1,SELE,SELL,SERPINE1,SGMS2,SLAMF1,SLC11A2,SLC1A2,SLC31A1,SLC31A2,SLC4A4,STAB1,TLR1,TLR2,TLR3,TNFRSF1B,TNFSF15,TPBG,VIP
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.2e-19	7e-18	3926	200	87	23467	B4GALT1,BCL2A1,BCL3,BHLHE40,BIRC3,BTG1,BTG2,BTG3,CCL2,CCL20,CCL4,CCL5,CCND1,CCRL2,CD44,CD69,CDKN1A,CXCL2,CXCL3,DRAM1,DUSP4,EGR3,ETS2,F3,FOS,FOSB,G0S2,GADD45A,GCH1,GEM,GPR183,HBEGF,HES1,ID2,IER3,IER5,IFNGR2,IL15RA,IL18,IL1A,IL1B,IL7R,INHBA,JAG1,KDM6B,KLF10,KLF2,KLF4,KLF9,KYNU,LDLR,MAP2K3,MSC,NFAT5,NFE2L2,NFKB1,NINJ1,NR4A2,PDE4B,PDLIM5,PFKFB3,PHLDA1,PHLDA2,PLAU,PLAUR,PMEPA1,PTGS2,PTPRE,RCAN1,REL,RELA,RHOB,RIPK2,SAT1,SERPINB8,SERPINE1,SLC2A3,TANK,TGIF1,TIPARP,TLR2,TNC,TNFAIP3,TNIP1,TRAF1,ZC3H12A,ZFP36
HALLMARK_ESTROGEN_RESPONSE_EARLY	1.2e-14	1.2e-13	3926	200	79	23467	ABHD2,ADD3,AFF1,AKAP1,AMFR,AQP3,AR,B4GALT1,BAG1,BCL11B,BCL2,BHLHE40,CA12,CANT1,CBFA2T3,CCND1,CD44,CISH,DHRS3,DLC1,DYNLT3,EGR3,ELF1,ELOVL5,FAM102A,FDFT1,FHL2,FOS,GJA1,GREB1,HES1,HSPB8,IGFBP4,IL17RB,INPP5F,ITPK1,JAK2,KDM4B,KLF10,KLF4,KRT18,LAD1,MAST4,MLPH,MPPED2,MYB,MYOF,NADSYN1,NRIP1,OLFML3,PGR,PODXL,RAPGEFL1,RARA,RBBP8,REEP1,SEC14L2,SFN,SIAH2,SLC1A1,SLC1A4,SLC22A5,SLC26A2,SLC27A2,SLC37A1,SLC39A6,SLC7A5,SLC9A3R1,SULT2B1,SYBU,TFF1,TFF3,TGM2,TIPARP,TPBG,TSKU,UGCG,WFS1,XBP1
HALLMARK_KRAS_SIGNALING_UP	1.2e-14	1.2e-13	3926	200	79	23467	ABCB1,ALDH1A3,ANGPTL4,ANO1,ANXA10,APOD,BIRC3,C3AR1,CBR4,CCL20,CCND2,CD37,CDADC1,CFH,CLEC4A,CTSS,DCBLD2,DNMBP,DOCK2,DUSP6,ENG,ETS1,ETV1,EVI5,FBXO4,FCER1G,FLT4,FUCA1,G0S2,GADD45G,GNG11,GYPC,HBEGF,HDAC9,HSD11B1,ID2,IKZF1,IL10RA,IL1B,IL2RG,IL33,IL7R,INHBA,IRF8,ITGA2,ITGB2,ITGBL1,KCNN4,KLF4,LAPTM5,LAT2,LCP1,MALL,MMP11,MPZL2,MYCN,NIN,NRP1,PIGR,PLAU,PLAUR,PLVAP,PRDM1,PRRX1,PTGS2,PTPRR,RABGAP1L,SATB1,SERPINA3,SOX9,SPRY2,TLR8,TNFAIP3,TNFRSF1B,TRAF1,TSPAN1,TSPAN13,VWA5A,ZNF277
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.3e-13	9.4e-13	3926	200	77	23467	ACTA2,ADAM12,BDNF,CALD1,CD44,CD59,CDH11,COL12A1,COL1A1,COL1A2,COL3A1,COL5A2,DAB2,DCN,DKK1,DPYSL3,DST,ECM1,ECM2,EDIL3,FAP,FAS,FBLN1,FBN1,FGF2,FOXC2,FUCA1,FZD8,GADD45A,GEM,GJA1,GLIPR1,GREM1,HTRA1,ID2,IGFBP4,INHBA,ITGA2,ITGB1,LAMA3,LAMC2,LOXL2,LRRC15,LUM,MGP,MMP14,MMP2,MSX1,MYLK,NT5E,NTM,PDGFRB,PLAUR,PLOD2,PMEPA1,PMP22,PRRX1,PTHLH,RHOB,SAT1,SDC1,SERPINE1,SERPINE2,SFRP4,SGCB,SGCD,SNAI2,SNTB1,SPOCK1,TFPI2,TGFBI,TGM2,THBS1,TNC,TNFAIP3,VIM,WIPF1
HALLMARK_P53_PATHWAY	1.3e-13	9.4e-13	3926	200	77	23467	AEN,ANKRA2,APAF1,BAX,BTG1,BTG2,CASP1,CCND2,CCNG1,CDH13,CDKN1A,CLCA2,DDB2,DDIT4,DGKA,DRAM1,EI24,EPHX1,ERCC5,F2R,FAS,FDXR,FOS,FOXO3,FUCA1,GADD45A,GPX2,HBEGF,HSPA4L,IER3,IER5,IL1A,ITGB4,KIF13B,KLF4,LRMP,MDM2,MKNK2,MXD4,NHLH2,NINJ1,OSGIN1,PERP,PHLDA3,PITPNC1,PLK3,PMM1,POLH,PRKAB1,PTPRE,PVT1,RAB40C,RB1,RETSAT,RPS27L,SAT1,SDC1,SEC61A1,SESN1,SFN,SLC7A11,SP1,STEAP3,STOM,TGFA,TM4SF1,TM7SF3,TP53,TP63,TXNIP,VDR,VWA5A,WWP1,XPC,ZBTB16,ZFP36L1,ZMAT3
HALLMARK_APOPTOSIS	2.8e-12	1.7e-11	3926	161	64	23467	ADD1,ANXA1,BAX,BCL10,BIRC3,BNIP3L,BTG2,BTG3,CASP1,CASP2,CASP6,CASP7,CAV1,CCNA1,CCND1,CCND2,CD14,CD2,CD44,CD69,CDKN1A,CYLD,DAP,DCN,DNAJC3,DPYD,EGR3,F2R,FAS,FASLG,FDXR,GADD45A,GCH1,GNA15,GSN,GSR,HGF,IER3,IFNGR1,IL18,IL1A,IL1B,KRT18,LEF1,LGALS3,LUM,MADD,MMP2,PAK1,PDCD4,PDGFRB,PPP2R5B,PRF1,RARA,RELA,RETSAT,RHOB,RNASEL,SAT1,SATB1,SLC20A1,TSPO,TXNIP,XIAP
HALLMARK_XENOBIOTIC_METABOLISM	3.9e-12	2.2e-11	3926	200	74	23467	ABCC2,ABCC3,ABCD2,ABHD6,ACOX1,ACOX3,ACSM1,ADH1C,ADH5,ALDH2,ALDH3A1,ALDH9A1,AP4B1,ATP2A2,BCAR1,CASP6,CAT,CNDP2,COMT,CYP2J2,DHRS7,ELOVL5,EPHX1,ESR1,ETFDH,ETS2,FAS,FBLN1,FBP1,FMO1,GAD1,GCH1,GCLC,GCNT2,GNMT,GSR,GSS,GSTA3,HES6,HSD11B1,HSD17B2,ID2,IDH1,IGF1,IGFBP4,IL1R1,IRF8,ITIH4,KYNU,MAN1A1,MCCC2,NDRG2,NINJ1,NQO1,PDLIM5,PEMT,PLG,PMM1,PPARD,PSMB10,PYCR1,RETSAT,SAR1B,SERPINA6,SERPINE1,SLC35B1,SLC46A3,SLC6A6,SSR3,TMBIM6,TNFRSF1A,TTPA,UGDH,VNN1
HALLMARK_ESTROGEN_RESPONSE_LATE	1.2e-11	5.8e-11	3926	200	73	23467	ABHD2,ADD3,AFF1,AGR2,ALDH3A2,AMFR,BAG1,BATF,BCL2,BTG3,CA12,CAV1,CCNA1,CCND1,CD44,CISH,CXCL14,DLG5,DNAJC1,DYNLT3,EGR3,ELOVL5,FAM102A,FDFT1,FOS,HOMER2,HSPA4L,HSPB8,ID2,IGFBP4,IL17RB,ITPK1,JAK2,KLF4,KLK11,LAMC2,LTF,MAPK13,MOCS2,MYB,MYOF,NRIP1,PDCD4,PERP,PGR,PRLR,RAPGEFL1,RBBP8,SERPINA1,SERPINA3,SERPINA5,SFN,SIAH2,SLC1A4,SLC22A5,SLC26A2,SLC27A2,SLC7A5,SLC9A3R1,ST6GALNAC2,SULT2B1,TFF1,TFF3,TFPI2,TPBG,TPSAB1,TSPAN13,TST,UGDH,UNC13B,WFS1,XBP1,ZFP36
