#hypeR	v1.3.1
#Signature Head	A1BG,AADACL2,AAK1,AAMP,AANAT,AARS
#Signature Size	4337
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_E2F_TARGETS	8.2e-47	4.1e-45	4337	200	129	23467	AK2,ASF1B,ATAD2,AURKA,AURKB,BIRC5,BRMS1L,BUB1B,CBX5,CCNB2,CCNE1,CDC20,CDC25A,CDC25B,CDCA3,CDCA8,CDK1,CDK4,CDKN1B,CDKN2A,CDKN3,CENPE,CHEK1,CHEK2,CIT,CKS1B,CKS2,CSE1L,DCTPP1,DEK,DEPDC1,DIAPH3,DLGAP5,DSCC1,E2F8,EED,ESPL1,EZH2,GINS1,GINS4,H2AFZ,HELLS,HMGA1,HMGB2,HMGB3,HMMR,HNRNPD,KIF18B,KIF22,KIF2C,KIF4A,KPNA2,LBR,LIG1,LMNB1,LYAR,MAD2L1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MELK,MKI67,MLH1,MSH2,MTHFD2,MYBL2,NASP,NCAPD2,NME1,NOLC1,NOP56,NUP107,NUP205,PA2G4,PAN2,PHF5A,PLK1,POLD1,POLD2,POLE,POP7,PRIM2,PRKDC,PRPS1,PSIP1,PSMC3IP,PTTG1,RACGAP1,RAD21,RAD51AP1,RAD51C,RAN,RANBP1,RFC1,RFC2,RFC3,RNASEH2A,RPA1,RPA2,RPA3,SMC3,SMC4,SMC6,SNRPB,SPAG5,SPC24,SPC25,SSRP1,STMN1,SUV39H1,TACC3,TBRG4,TIMELESS,TK1,TMPO,TOP2A,TRA2B,TRIP13,TUBB,UBE2S,UBE2T,UNG,USP1,XPO1,XRCC6,ZW10
HALLMARK_G2M_CHECKPOINT	7.8e-32	1.9e-30	4337	200	111	23467	ATF5,AURKA,AURKB,BIRC5,BUB1,CBX1,CCNA2,CCNB2,CCNF,CDC20,CDC25A,CDC25B,CDC45,CDC7,CDK1,CDK4,CDKN1B,CDKN3,CENPA,CENPE,CENPF,CHAF1A,CHEK1,CKS1B,CKS2,CUL1,CUL3,DKC1,E2F1,E2F2,E2F3,E2F4,ESPL1,EXO1,EZH2,FBXO5,G3BP1,H2AFV,H2AFZ,HIRA,HIST1H2BK,HMGA1,HMGB3,HMGN2,HMMR,HNRNPD,HNRNPU,INCENP,KATNA1,KIF11,KIF15,KIF20B,KIF22,KIF2C,KIF4A,KPNA2,KPNB1,LBR,LIG3,LMNB1,MAD2L1,MAPK14,MCM2,MCM3,MCM5,MCM6,MKI67,MTF2,MYBL2,NASP,NCL,NDC80,NEK2,NOLC1,NUP50,NUSAP1,ODC1,PBK,PLK1,POLE,POLQ,PRC1,PRIM2,PRMT5,PTTG1,PTTG3P,RACGAP1,RAD21,RAD54L,RPA2,SFPQ,SLC38A1,SMAD3,SMC4,SNRPD1,STIL,STMN1,SUV39H1,TACC3,TMPO,TOP2A,TPX2,TRA2B,TRAIP,TROAP,TTK,UBE2C,UBE2S,UCK2,XPO1,YTHDC1
HALLMARK_MYC_TARGETS_V1	2.4e-30	3.9e-29	4337	200	109	23467	AIMP2,C1QBP,CAD,CBX3,CCNA2,CCT2,CCT3,CCT4,CCT5,CDC20,CDC45,CDK2,CDK4,CLNS1A,CNBP,CSTF2,CUL1,DDX18,DEK,DHX15,EIF2S2,EIF3B,EIF3J,EIF4A1,ETF1,EXOSC7,FBL,G3BP1,GLO1,GNL3,H2AFZ,HDAC2,HDGF,HNRNPA2B1,HNRNPA3,HNRNPD,HNRNPR,HNRNPU,HSP90AB1,HSPD1,HSPE1,ILF2,IMPDH2,KARS,KPNA2,KPNB1,MAD2L1,MCM2,MCM4,MCM5,MCM6,MCM7,MRPL9,NCBP2,NDUFAB1,NHP2,NME1,NOLC1,NOP16,NOP56,ODC1,PA2G4,PABPC4,PHB,POLD2,PRPF31,PSMA1,PSMA2,PSMA4,PSMA6,PSMA7,PSMB2,PSMB3,PSMC4,PSMC6,PSMD1,PSMD14,PSMD3,PSMD7,PWP1,RAN,RANBP1,RFC4,RNPS1,RRP9,SET,SF3B3,SLC25A3,SNRPA1,SNRPB2,SNRPD1,SNRPD2,SNRPD3,SNRPG,SSB,SSBP1,STARD7,TARDBP,TCP1,TRA2B,TRIM28,TXNL4A,U2AF1,UBA2,UBE2E1,USP1,XPO1,XPOT,XRCC6
HALLMARK_MYC_TARGETS_V2	3.8e-20	4.8e-19	4337	58	43	23467	AIMP2,BYSL,CBX3,CDK4,DCTPP1,DDX18,EXOSC5,FARSA,GNL3,GRWD1,HSPD1,HSPE1,IMP4,IPO4,LAS1L,MCM4,MCM5,MRTO4,MYBBP1A,NDUFAF4,NIP7,NOLC1,NOP16,NOP2,NOP56,PA2G4,PES1,PHB,PLK1,PPAN,PPRC1,PUS1,RABEPK,RRP12,RRP9,SLC29A2,SUPV3L1,TBRG4,TCOF1,TFB2M,UNG,WDR43,WDR74
HALLMARK_MITOTIC_SPINDLE	2.1e-07	2.1e-06	4337	199	67	23467	ANLN,ARAP3,ARHGAP29,ARHGAP4,ATG4B,AURKA,BIRC5,BUB1,CCDC88A,CCNB2,CDK1,CDK5RAP2,CENPE,CENPF,CEP72,CKAP5,CLIP2,CNTROB,CSNK1D,DLGAP5,ESPL1,FBXO5,FLNA,GEMIN4,HDAC6,INCENP,ITSN1,KATNA1,KIF11,KIF15,KIF1B,KIF20B,KIF22,KIF2C,KIF3C,KIF4A,KLC1,KNTC1,LLGL1,LMNB1,LRPPRC,MAPRE1,MARK4,MYH10,NDC80,NEK2,NUSAP1,PCNT,PIF1,PLK1,PRC1,PREX1,RACGAP1,RAPGEF5,RFC1,RHOF,SAC3D1,SASS6,SMC3,SMC4,SPTAN1,TIAM1,TOP2A,TPX2,TSC1,TTK,WASF1
HALLMARK_DNA_REPAIR	1.7e-06	1.5e-05	4337	150	52	23467	ADA,ARL6IP1,BCAM,BCAP31,BOLA2,BRF2,CLP1,CMPK2,DDB1,EIF1B,ERCC3,ERCC8,FEN1,IMPDH2,ITPA,LIG1,NCBP2,NME1,POLB,POLD1,POLR1C,POLR2C,POLR2D,POLR2F,POLR2K,POLR3C,PRIM1,RAD51,RAD52,RAE1,RALA,RBX1,RFC2,RFC3,RFC4,RFC5,RNMT,RPA2,RPA3,SAC3D1,SF3A3,SSRP1,SUPT4H1,SUPT5H,TARBP2,TSG101,UMPS,UPF3B,USP11,VPS37D,ZNF707,ZWINT
HALLMARK_INTERFERON_ALPHA_RESPONSE	4.3e-06	3.1e-05	4337	97	37	23467	ADAR,BST2,CD47,CMPK2,CNP,EIF2AK2,EPSTI1,HERC6,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIT2,IFIT3,IFITM1,IFITM3,IRF7,IRF9,ISG15,LGALS3BP,LY6E,MX1,NCOA7,OASL,PARP12,PARP14,PLSCR1,PNPT1,PSME1,RNF31,RSAD2,SP110,STAT2,TRAFD1,UBE2L6,USP18
HALLMARK_UV_RESPONSE_UP	9.7e-06	6.1e-05	4337	158	52	23467	ARRB2,ASNS,ATP6V1F,BAK1,CCNE1,CDC34,CDC5L,CDK2,CDKN1C,CDKN2B,CEBPG,CLCN2,CNP,CREG1,DLG4,DNAJA1,EIF5,FEN1,FGF18,FKBP4,GAL,GGH,GLS,GPX3,HNRNPU,IGFBP2,IL6,KCNH2,KLHDC3,MGAT1,NPTX2,NPTXR,PARP2,PDAP1,POLG2,PPAT,PPIF,PPT1,PRPF3,PSMC3,RET,RFC4,RXRB,SLC6A12,SLC6A8,STIP1,STK25,TACR3,TARS,TYRO3,UROD,YKT6
HALLMARK_MTORC1_SIGNALING	1.3e-05	7e-05	4337	200	62	23467	ABCF2,ACTR3,ADIPOR2,ARPC5L,ASNS,AURKA,BUB1,CALR,CCNF,CCT6A,CDC25A,DDIT3,DHCR24,EBP,EEF1E1,EIF2S2,ENO1,ETF1,GMPS,HSP90B1,HSPA4,HSPA5,HSPA9,HSPD1,HSPE1,IFI30,IMMT,LGMN,LTA4H,MCM2,MCM4,ME1,MLLT11,MTHFD2,NFIL3,NMT1,NUFIP1,NUP205,PDAP1,PHGDH,PLK1,PNO1,PSAT1,PSMA4,PSMC2,PSMC4,PSMC6,PSMD12,PSMD13,PSMD14,RPA1,RRP9,SERPINH1,SHMT2,SLC2A1,SRD5A1,STIP1,TOMM40,TRIB3,UCHL5,UNG,YKT6
HALLMARK_MYOGENESIS	5e-05	0.00025	4337	200	60	23467	ACHE,ACTN2,ACTN3,ADCY9,AGRN,AKT2,ANKRD2,ATP6AP1,CAMK2B,CASQ1,CHRNB1,CKMT2,COX6A2,CRYAB,DTNA,EFS,ENO3,FABP3,FDPS,FKBP1B,FOXO4,FST,GAA,GPX3,HDAC5,HSPB2,ITGA7,KCNH2,KIFC3,MRAS,MYH3,MYH7,MYH8,MYL4,MYLPF,MYOM1,MYOZ1,NOS1,PC,PDLIM7,PFKM,PGAM2,PKIA,PRNP,PTP4A3,PVALB,PYGM,RYR1,SCHIP1,SGCG,SLC6A8,SLN,SPEG,SPHK1,SPTAN1,TEAD4,TNNC1,TNNT1,TNNT3,WWTR1
