#hypeR	v1.3.1
#Signature Head	ARMCX1,ASB11,ATG4A,ATP10A,BMF,C9orf40
#Signature Size	69
#Signature Type	symbols
#Genesets	H v7.0.1
#Background	23467
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
HALLMARK_PROTEIN_SECRETION	0.033	0.73	69	96	2	23467	OCRL,RAB9A
HALLMARK_UV_RESPONSE_UP	0.079	0.73	69	158	2	23467	CDKN2B,EIF2S3
HALLMARK_APOPTOSIS	0.081	0.73	69	161	2	23467	BMF,EBP
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.12	0.73	69	200	2	23467	SLC24A3,TMEM164
HALLMARK_HEME_METABOLISM	0.12	0.73	69	200	2	23467	ATG4A,LPIN2
HALLMARK_MYOGENESIS	0.12	0.73	69	200	2	23467	HBEGF,KIFC3
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.12	0.73	69	200	2	23467	HCCS,SLC25A5
HALLMARK_P53_PATHWAY	0.12	0.73	69	200	2	23467	CDKN2B,HBEGF
HALLMARK_MYC_TARGETS_V2	0.16	0.87	69	58	1	23467	LAS1L
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.2	0.98	69	74	1	23467	EBP
HALLMARK_FATTY_ACID_METABOLISM	0.37	1	69	158	1	23467	HCCS
HALLMARK_APICAL_JUNCTION	0.45	1	69	200	1	23467	IKBKG
HALLMARK_E2F_TARGETS	0.45	1	69	200	1	23467	PRPS1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.45	1	69	200	1	23467	SLC24A3
HALLMARK_GLYCOLYSIS	0.45	1	69	200	1	23467	PRPS1
HALLMARK_HYPOXIA	0.45	1	69	200	1	23467	IDS
HALLMARK_INFLAMMATORY_RESPONSE	0.45	1	69	200	1	23467	HBEGF
HALLMARK_KRAS_SIGNALING_UP	0.45	1	69	200	1	23467	HBEGF
HALLMARK_MTORC1_SIGNALING	0.45	1	69	200	1	23467	EBP
HALLMARK_MYC_TARGETS_V1	0.45	1	69	200	1	23467	PRPS2
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.45	1	69	200	1	23467	HBEGF
HALLMARK_XENOBIOTIC_METABOLISM	0.45	1	69	200	1	23467	LPIN2
HALLMARK_ADIPOGENESIS	1	1	69	200	0	23467	
HALLMARK_ALLOGRAFT_REJECTION	1	1	69	200	0	23467	
HALLMARK_ANDROGEN_RESPONSE	1	1	69	100	0	23467	
HALLMARK_ANGIOGENESIS	1	1	69	36	0	23467	
HALLMARK_APICAL_SURFACE	1	1	69	44	0	23467	
HALLMARK_BILE_ACID_METABOLISM	1	1	69	112	0	23467	
HALLMARK_COAGULATION	1	1	69	138	0	23467	
HALLMARK_COMPLEMENT	1	1	69	200	0	23467	
HALLMARK_DNA_REPAIR	1	1	69	150	0	23467	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	69	200	0	23467	
HALLMARK_G2M_CHECKPOINT	1	1	69	200	0	23467	
HALLMARK_HEDGEHOG_SIGNALING	1	1	69	36	0	23467	
HALLMARK_IL2_STAT5_SIGNALING	1	1	69	200	0	23467	
HALLMARK_IL6_JAK_STAT3_SIGNALING	1	1	69	87	0	23467	
HALLMARK_INTERFERON_ALPHA_RESPONSE	1	1	69	97	0	23467	
HALLMARK_INTERFERON_GAMMA_RESPONSE	1	1	69	200	0	23467	
HALLMARK_KRAS_SIGNALING_DN	1	1	69	200	0	23467	
HALLMARK_MITOTIC_SPINDLE	1	1	69	199	0	23467	
HALLMARK_NOTCH_SIGNALING	1	1	69	32	0	23467	
HALLMARK_PANCREAS_BETA_CELLS	1	1	69	40	0	23467	
HALLMARK_PEROXISOME	1	1	69	104	0	23467	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1	1	69	105	0	23467	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1	1	69	49	0	23467	
HALLMARK_SPERMATOGENESIS	1	1	69	135	0	23467	
HALLMARK_TGF_BETA_SIGNALING	1	1	69	54	0	23467	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1	1	69	113	0	23467	
HALLMARK_UV_RESPONSE_DN	1	1	69	144	0	23467	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1	1	69	42	0	23467	
