Gene	WGD_Estimate	WGD_Zvalue	WGD_Pvalue	WGD_FDR
TP53	1.07945843356484	18.7856983922769	9.88767714704482e-79	6.22923660263824e-76
PTEN	-0.767238704412443	-7.01100299760196	2.36615664925573e-12	7.45339344515554e-10
PIK3CA	-0.478668989035229	-6.38423224530052	1.72259494241045e-10	3.61744937906195e-08
ARID1A	-0.576885249238415	-5.66053444123513	1.50902298336873e-08	2.37671119880575e-06
FGFR3	-1.03981058887853	-4.82617917353651	1.39177306948538e-06	0.000175363406755158
CTNNB1	-0.615828577191937	-4.43851884455505	9.05800549719519e-06	0.000951090577205495
PPP2R1A	0.845658353204878	4.36178594621753	1.29005051467938e-05	0.00116104546321144
KMT2B	-0.621418087938266	-4.24194828318559	2.21587760169382e-05	0.00174500361133388
CHD1	-0.896812379525648	-4.06326036878781	4.83919990339945e-05	0.00338743993237962
HRAS	-0.999219337688553	-3.88384460447892	0.000102817634197825	0.0060679096465031
AKT1	-1.14630761126068	-3.85928221096086	0.000113720552528793	0.0060679096465031
SMAD4	-0.624474998825618	-3.85531812535993	0.000115579231361964	0.0060679096465031
KMT2C	-0.340876958172305	-3.76335859949892	0.000167646535561195	0.00812440903104252
CTCF	-0.702948532048735	-3.6494427907232	0.000262809759331749	0.0118264391699287
RNF43	-0.677947621183105	-3.3357520347864	0.000850690043103408	0.0357289818103431
JAK1	-0.766842169964235	-3.29745668019687	0.000975647235641284	0.0384161099033756
CDH1	-0.444939838350699	-3.05858718012437	0.00222383363031436	0.0824126580645909
FAS	-1.37590400833776	-2.93328912103265	0.00335391407215626	0.107977212162643
BCOR	-0.462677747080121	-2.92906172752826	0.00339986897330119	0.107977212162643
HLA-A	-0.853687547588501	-2.9005000328743	0.00372567799129344	0.107977212162643
EIF1AX	-1.79961054069466	-2.88112398097782	0.00396259735341501	0.107977212162643
BRAF	-0.370914756697155	-2.87732274787433	0.00401065158698681	0.107977212162643
C1orf168	-0.641235486049377	-2.87408941769126	0.0040519422739909	0.107977212162643
TGFBR2	-0.609860865325413	-2.86933048107171	0.00411341760619593	0.107977212162643
MAP2K4	-0.598983629086835	-2.81185468540349	0.00492567507641758	0.124127011925723
CHD8	-0.441357682396974	-2.78414092440743	0.00536697099280565	0.130045835594906
CREBBP	-0.349935626606793	-2.75405499976011	0.00588618755437225	0.137344376268686
ZEB2	0.424042041283238	2.73458315767875	0.00624593164770213	0.138435152039973
RBM10	-0.565072555945785	-2.72797665528661	0.0063724117605702	0.138435152039973
KANSL1	-0.499947703693371	-2.67650748857261	0.00743939032516985	0.149644891832117
BTBD11	-0.540226791343365	-2.67366374487626	0.00750276382937136	0.149644891832117
MPP7	-0.628404131391055	-2.66228409125014	0.00776123431569388	0.149644891832117
MAP3K1	-0.426896060917836	-2.65894645508642	0.00783854195311091	0.149644891832117
RHOA	-0.63983399430333	-2.64676760098545	0.00812651797272584	0.15057959772992
FOXA2	0.691230321475333	2.56941054500427	0.0101871689452979	0.183369041015362
BCORL1	-0.415418405768164	-2.55951882863534	0.0104817177684259	0.183430060947454
MAP7D3	-0.659112956266595	-2.52356111673008	0.0116172864748822	0.195974201229654
PIK3R1	-0.38274010169984	-2.51745323332198	0.0118206661059157	0.195974201229654
CCAR1	-0.588273125443893	-2.50827964718916	0.0121320610334365	0.195979447463206
NF1	-0.265215571383447	-2.4870905445839	0.0128792615078903	0.201161616351637
ADNP2	-0.577479729130307	-2.46964564080906	0.0135246952034973	0.201161616351637
ZMYM2	-0.565513697914501	-2.46468235604055	0.0137134762431957	0.201161616351637
RPL22	-0.813678772279202	-2.46424875285958	0.0137300785763816	0.201161616351637
SPTA1	0.217019161528599	2.44006260512565	0.014684716786565	0.208457350775299
LZTR1	-0.539578637635873	-2.43219786918008	0.0150075062648517	0.208457350775299
SYNE1	0.19226345541267	2.42339916881018	0.0153760210798881	0.208457350775299
KMT2D	-0.220504087468111	-2.41927261812386	0.0155515801372048	0.208457350775299
CIC	-0.354950483603442	-2.40641816084568	0.0161098130645455	0.21144129647216
SPTAN1	-0.373749478699835	-2.3810835607603	0.0172617958271163	0.221937374920067
FAT1	-0.241779631891916	-2.30780772906462	0.0210098328561507	0.257524889526599
HLA-B	-0.571743392364455	-2.29658282560287	0.0216425793049966	0.257524889526599
CASP8	-0.411792174563807	-2.2919759684163	0.0219070299422396	0.257524889526599
IRF2	-0.635672826895838	-2.27803940001433	0.0227242302463559	0.257524889526599
STAT4	0.469327825811445	2.27335433002506	0.0230048359494284	0.257524889526599
