Gene	WGD_Estimate	WGD_Zvalue	WGD_Pvalue	WGD_FDR
CREBBP	-0.757387186462799	-3.33035231573386	0.000867361610730201	0.201433375299895
RNF43	-1.39910707663987	-3.32076338770174	0.00089771608882284	0.201433375299895
SMAD4	-1.01492649166682	-3.23303838608726	0.00122481103779373	0.201433375299895
PTEN	-0.528073253134702	-3.16760537949121	0.00153699994940002	0.201433375299895
PIK3CA	-0.351118780721751	-3.15006145330022	0.00163236122609315	0.201433375299895
ADNP2	-1.2013344931835	-3.02119265679333	0.00251781103209364	0.258914901133629
HRAS	-1.06988539355515	-2.83750505705357	0.00454676265341986	0.400764651022865
RHOA	-1.17292716982713	-2.74792490877565	0.00599737427302941	0.438183557442793
PPP2R2D	1.99001740199672	2.64543852921344	0.00815851088655106	0.438183557442793
DNAH7	-0.455123859330684	-2.6150063594649	0.00892257941579672	0.438183557442793
BRSK1	-1.47252028532667	-2.61269493533541	0.00898314467583756	0.438183557442793
FGFR3	-0.729825337960136	-2.56127466856583	0.0104288868698326	0.438183557442793
JAK1	-0.886076416527325	-2.51821211800923	0.0117952262284259	0.438183557442793
MTOR	-0.591176578164019	-2.49623263732502	0.0125520251730551	0.438183557442793
MYO9A	-0.608833262696234	-2.49354476317567	0.0126474635992687	0.438183557442793
BTBD11	-0.732388363365034	-2.44981969185539	0.0142927767239507	0.438183557442793
C1orf168	-0.771151738719116	-2.43180866485094	0.0150236413032676	0.438183557442793
EPAS1	0.811003875839144	2.38932101916474	0.0168795461300304	0.438183557442793
SMARCA4	-0.556879019183246	-2.38598816830467	0.0170332990540355	0.438183557442793
RBM10	-0.744982755534771	-2.3637043420923	0.0180932455268105	0.438183557442793
IGSF9	0.685433131894554	2.34961782007545	0.0187926955225841	0.438183557442793
PIK3R1	-0.64349242397021	-2.34327354937763	0.0191153622414921	0.438183557442793
BAP1	0.492015216164802	2.32292766172901	0.0201830388317257	0.438183557442793
GPS2	-1.2829478208026	-2.31285110719464	0.0207308267591217	0.438183557442793
CUBN	0.378720365779822	2.30577401868335	0.021123262696816	0.438183557442793
ZMYM2	-0.882476362188324	-2.29385040840437	0.0217990927994371	0.438183557442793
USP9X	-0.626242232988122	-2.29053287374264	0.0219904451608946	0.438183557442793
KANSL1	-0.668392862647617	-2.28312422087655	0.0224230522152704	0.438183557442793
XYLT2	-1.46783711975248	-2.28196672513129	0.0224913048525221	0.438183557442793
ME3	-1.02616740897347	-2.28191579497054	0.0224943121324378	0.438183557442793
GTF2I	-0.981003567423638	-2.28092185728261	0.0225530713130663	0.438183557442793
KMT2C	-0.314178076958709	-2.27646021688323	0.0228184791057141	0.438183557442793
STK11	0.645132350946318	2.26625011918137	0.0234360735747361	0.438183557442793
KMT2B	-0.510937829006749	-2.2451483909904	0.0247586079424941	0.440006650321044
HIST1H3B	-1.0435388340032	-2.24202342151359	0.0249598586081629	0.440006650321044
PPP2R1A	0.765645939299508	2.20470813441776	0.027474581957904	0.470883807445188
RASA1	-0.787864013419211	-2.18376551544048	0.0289794827889092	0.483252456236675
EEF1A1	-0.790035328029346	-2.13636420919654	0.0326497389628259	0.529193444166292
CHD1	-0.701080316759388	-2.12031687213261	0.0339793317409111	0.529193444166292
COL7A1	-0.43568940007588	-2.11643866395409	0.03430751663963	0.529193444166292
LMAN1	-1.32882440156526	-2.09747101285327	0.0359519005819123	0.541032259976583
CDH11	0.543824766553145	2.07562359033441	0.037928777871941	0.547585855440146
ARID1A	-0.303579633874559	-2.07113584642907	0.0383461027785029	0.547585855440146
MAX	-1.58971972270274	-2.06366086111633	0.0390498827218256	0.547585855440146
ALYREF	1.29966940203786	2.05078036867074	0.0402883401732189	0.552397908597246
CTCF	-0.607597204622399	-2.03902259614462	0.0414477724295225	0.555940773674248
ELMSAN1	-0.855066740224192	-2.00640098725165	0.0448134830794746	0.588296150213529
HLA-A	-1.12697873517983	-1.98811956648398	0.0467984678637077	0.596891661551657
RPL22	-1.02627165428627	-1.98268106892573	0.0474030655041024	0.596891661551657
